Web,Site,M_D_T,Habitat,Lower_Taxon,Upper_Taxon,Freq,Lower_Guild,Upper_Guild,TL_lower_taxon,TL_upper_taxon,LS_lower_taxon,LS_upper_taxon
PL_FV,Walborough,dyad,salt_marsh,Cochlearia_officinalis,Phaedon_cochleariae,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Armeria_maritima,Rhamphomyia_laevipes,2,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Armeria_maritima,Scathophaga_stercoraria,6,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Armeria_maritima,Symplecta_stictica,2,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Cochlearia_officinalis,Symplecta_stictica,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Cochlearia_officinalis,Rhamphomyia_laevipes,5,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Cochlearia_officinalis,Symplecta_sp.,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Cochlearia_officinalis,Lasioglossum_calceatum,2,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Cochlearia_officinalis,Eupeodes_corollae,2,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Armeria_maritima,Cricotopus_sp._2,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Armeria_maritima,Chironomidae_sp.,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Armeria_maritima,Siphona_urbana,3,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Armeria_maritima,Empis_tessellata,4,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,salt_marsh,Armeria_maritima,Empis_caudatula,2,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,grassland,Ranunculus_acris,Cheilosia_ranunculi,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,grassland,Oenanthe_crocata,Cantharis_fusca,2,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,grassland,Ranunculus_acris,Scathophaga_stercoraria,16,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,grassland,Ranunculus_acris,Lotophila_atra,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,grassland,Bellis_perennis,Scathophaga_stercoraria,5,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,grassland,Bellis_perennis,Spelobia_clunipes,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,grassland,Bellis_perennis,Siphona_urbana,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,grassland,Ranunculus_acris,Hydrellia_maura,1,PL,FV,1,2,NA,adult
PL_FV,Walborough,dyad,grassland,Ranunculus_acris,Empis_sp.,1,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Oenanthe_crocata,Scathophaga_stercoraria,13,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Oenanthe_crocata,Meligethes_sp.,4,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Oenanthe_crocata,Helophilus_pendulus,1,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Raphanus_raphanistrum,Scathophaga_stercoraria,3,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Oenanthe_crocata,Tenthredo_sp.,1,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Oenanthe_crocata,Melanum_laterale,1,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Oenanthe_crocata,Anthomyia_liturata,1,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Raphanus_raphanistrum,Eristalis_tenax,1,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Armeria_maritima,Scathophaga_calida,8,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Cochlearia_officinalis,Scathophaga_stercoraria,18,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Cochlearia_officinalis,Lasius_brunneus,1,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Armeria_maritima,Scathophaga_stercoraria,25,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Armeria_maritima,Oscinella_frit,1,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Armeria_maritima,Paregle_audacula,1,PL,FV,1,2,NA,adult
PL_FV,Burnham-on-Sea,monad,salt_marsh,Cochlearia_officinalis,Lispe_pygmaea,1,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,scrub,Potentilla_erecta,P1,1,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,scrub,Potentilla_erecta,Scathophaga_stercoraria,1,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,scrub,Potentilla_erecta,Rhamphomyia_hybotina,1,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,scrub,Potentilla_erecta,Siphona_urbana,1,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,scrub,Potentilla_erecta,Bombus_bohemicus,1,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,heathland,Potentilla_erecta,Sphaerophoria_sp.,1,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,heathland,Potentilla_erecta,Cerodontha_denticornis,2,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,heathland,Potentilla_erecta,Scathophaga_stercoraria,1,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,heathland,Potentilla_erecta,Coenosia_tigrina,1,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,heathland,Rhododendron_sp.,Scathophaga_stercoraria,3,PL,FV,1,2,NA,adult
PL_FV,Haddon_Hill,triad,heathland,Vaccinium_myrtillus,Rhamphomyia_hybotina,1,PL,FV,1,2,NA,adult
