Web,Site,M_D_T,Lower_Taxon,Upper_Taxon,Lower_Guild,Upper_Guild,TL_lower_taxon,TL_upper_taxon,LS_lower_taxon,LS_upper_taxon,Freq
PL_FV,Walborough,dyad,Cochlearia_officinalis,Phaedon_cochleariae,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Armeria_maritima,Rhamphomyia_laevipes,PL,FV,1,2,NA,adult,2
PL_FV,Walborough,dyad,Armeria_maritima,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,6
PL_FV,Walborough,dyad,Armeria_maritima,Symplecta_stictica,PL,FV,1,2,NA,adult,2
PL_FV,Walborough,dyad,Cochlearia_officinalis,Symplecta_stictica,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Cochlearia_officinalis,Rhamphomyia_laevipes,PL,FV,1,2,NA,adult,5
PL_FV,Walborough,dyad,Cochlearia_officinalis,Symplecta_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Cochlearia_officinalis,Lasioglossum_calceatum,PL,FV,1,2,NA,adult,2
PL_FV,Walborough,dyad,Cochlearia_officinalis,Eupeodes_corollae,PL,FV,1,2,NA,adult,2
PL_FV,Walborough,dyad,Armeria_maritima,Cricotopus_sp._2,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Armeria_maritima,Chironomidae_sp.,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Armeria_maritima,Siphona_urbana,PL,FV,1,2,NA,adult,3
PL_FV,Walborough,dyad,Armeria_maritima,Empis_tessellata,PL,FV,1,2,NA,adult,4
PL_FV,Walborough,dyad,Armeria_maritima,Empis_caudatula,PL,FV,1,2,NA,adult,2
PL_FV,Walborough,dyad,Ranunculus_acris,Cheilosia_ranunculi,PL,FV,1,2,NA,adult,1
PL_FV,Walborough,dyad,Oenanthe_crocata,Cantharis_fusca,PL,FV,1,2,NA,adult,2
PL_FV,Walborough,dyad,Ranunculus_acris,Scathophaga_stercoraria,PL,FV,1,2,NA,adult,16
