Upper.Taxon	N individuals observed	Obs spp	Estimated total spp (Chao1)	Chao1 SE	Sampling completeness
Adscita_geryon	5	3	4	2.121320344	0.75
Aglais_io	2	2	3	2.041241452	0.666666667
Aglais_urticae	8	7	14.5	8.064529616	0.482758621
Agriotes_acuminatus	1	1	1	0	1
Agriotes_pallidulus	22	7	22	13.48231164	0.318181818
Agromyza_nigrociliata	1	1	1	0	1
Agromyza_pulla	1	1	1	0	1
Agrypnus_murinus	2	1	1	0	1
Anaspis_frontalis	16	2	2	0.353553391	1
Anaspis_maculata	7	1	1	0	1
Anaspis_pulicaria	1	1	1	0	1
Anaspis_sp.	1	1	1	0	1
Andia_cinerella	13	5	5.5	1.259058089	0.909090909
Andrena_barbilabris	21	4	7	4.342481187	0.571428571
Andrena_bucephala	1	1	1	0	1
Andrena_cineraria	5	2	2	0	1
Andrena_coitana	1	1	1	0	1
Andrena_denticulata	2	2	3	2.041241452	0.666666667
Andrena_dorsata	7	5	6	1.786005267	0.833333333
Andrena_flavipes	2	2	3	2.041241452	0.666666667
Andrena_fulvago	2	2	3	2.041241452	0.666666667
Andrena_haemorrhoa	12	4	7	4.342481187	0.571428571
Andrena_humilis	1	1	1	0	1
Andrena_minuta	1	1	1	0	1
Andrena_minutula	3	2	2	0.176776695	1
Andrena_nigroaenea	5	3	4	2.121320344	0.75
Andrena_ovatula	5	3	4	2.121320344	0.75
Andrena_pubescens	21	4	7	4.342481187	0.571428571
Andrena_scotica	3	3	6	4.28660705	0.5
Anoplius_infuscatus	1	1	1	0	1
Anthomyia_liturata	3	2	2	0.176776695	1
Anthomyiidae_sp.	5	5	15	10.04158022	0.333333333
Anthonomus_rubi	2	1	1	0	1
Aphanotrigonum_femorella	4	2	2	0.353553391	1
Aphantopus_hyperantus	1	1	1	0	1
Apis_mellifera	380	26	37	8.86429217	0.702702703
Aprostocetus_sp._X	8	1	1	0	1
Argynnis_aglaja	2	2	3	2.041241452	0.666666667
Athalia_rosae	2	2	3	2.041241452	0.666666667
Athalia_sp.	1	1	1	0	1
Athous_haemorrhoidalis	1	1	1	0	1
Autographa_gamma	4	3	3.5	1.235631707	0.857142857
Baccha_elongata	2	1	1	0	1
Ballardia_sp.	1	1	1	0	1
Bellardia_viarum	5	5	15	10.04158022	0.333333333
Bellardia_vulgaris	6	4	7	4.342481187	0.571428571
Belytinae_sp.	1	1	1	0	1
Bibio_marci	1	1	1	0	1
Bibio_nigriventris	24	4	4	0	1
Bibio_pomonae	7	2	2	0.353553391	1
Bicellaria_intermedia	1	1	1	0	1
Bicellaria_nigra	1	1	1	0	1
Bithia_spreta	4	2	2	0.353553391	1
Boloria_selene	3	1	1	0	1
Bombus_bohemicus	7	5	6	1.786005267	0.833333333
Bombus_hortorum	22	10	31	17.2449151	0.322580645
Bombus_humilis	26	12	19	7.078507128	0.631578947
Bombus_hypnorum	4	2	2	0.353553391	1
Bombus_jonellus	149	13	14.5	2.568039639	0.896551724
Bombus_lapidarius	127	27	40.75	11.15471857	0.662576687
Bombus_lucorum	155	24	37.75	11.15269383	0.635761589
Bombus_monticola	15	4	4	0.144337567	1
Bombus_pascuorum	136	34	41.33333333	5.673113051	0.822580645
Bombus_pratorum	35	15	33	16.05388653	0.454545455
Bombus_rupestris	6	6	21	13.45627841	0.285714286
Bombus_sp.	4	4	10	6.971370023	0.4
Bombus_sylvestris	2	2	3	2.041241452	0.666666667
Bombus_terrestris	329	30	60	20.91640106	0.5
Bombylius_major	2	2	3	2.041241452	0.666666667
Botanophila_fugax	2	2	3	2.041241452	0.666666667
Botanophila_phreniola	1	1	1	0	1
Botanophila_sonchi	4	2	2	0.353553391	1
Botanophila_sp.	5	3	4	2.121320344	0.75
Botanophila_striolata	23	7	17	10.10241672	0.411764706
Brachicheta_strigata	2	1	1	0	1
Brachypalpoides_lenta	1	1	1	0	1
Braconidae_sp._FV	7	5	6	1.786005267	0.833333333
Byturus_tomentosus	6	3	3	0.204124145	1
C10	1	1	1	0	1
C32	2	2	3	2.041241452	0.666666667
Calliphora_vicina	2	2	3	2.041241452	0.666666667
Calliphora_vomitoria	1	1	1	0	1
Callophrys_rubi	4	2	2	0.353553391	1
Campiglossa_plantaginis	7	1	1	0	1
Campopleginae_sp._A	2	2	3	2.041241452	0.666666667
Cantharis_decipiens	2	1	1	0	1
Cantharis_fusca	2	1	1	0	1
Cantharis_nigra	1	1	1	0	1
Cauchas_rufimitrella	1	1	1	0	1
Cecidomyiidae_sp._FV	1	1	1	0	1
Celastrina_argiolus	1	1	1	0	1
Ceononympha_pamphilus	2	2	3	2.041241452	0.666666667
Cerapteryx_graminis	1	1	1	0	1
Ceratopogonidae_sp.	1	1	1	0	1
Cerodontha_denticornis	6	4	7	4.342481187	0.571428571
Chalcidoidea_sp._FV	1	1	1	0	1
Chamaemyia_sp.	1	1	1	0	1
Cheilosia_albitarsis	16	5	8	4.383919479	0.625
Cheilosia_bergenstammi	1	1	1	0	1
Cheilosia_illustrata	2	2	3	2.041241452	0.666666667
Cheilosia_impressa	1	1	1	0	1
Cheilosia_pagana	1	1	1	0	1
Cheilosia_pubera	1	1	1	0	1
Cheilosia_ranunculi	1	1	1	0	1
Chironomidae_sp.	7	3	4	2.121320344	0.75
Chloromyia_formosa	4	4	10	6.971370023	0.4
Chloropidae_sp.	1	1	1	0	1
Chlorops_hypostigma	2	2	3	2.041241452	0.666666667
Chrysogaster_solstitialis	1	1	1	0	1
Chrysops_caecutiens	1	1	1	0	1
Chrysotoxum_bicinctum	1	1	1	0	1
Chrysotoxum_festivum	1	1	1	0	1
Chrysotus_laesus	1	1	1	0	1
Chrysotus_pulchellus	1	1	1	0	1
Chrysotus_sp.	3	3	6	4.28660705	0.5
Cidnopus_aeruginosus	3	1	1	0	1
Clytus_arietis	1	1	1	0	1
Coccinella_septempunctata	1	1	1	0	1
Cochylis_sp._A	3	1	1	0	1
Cochylis_sp._B	1	1	1	0	1
Coenosia_brevisquama	4	1	1	0	1
Coenosia_distinguens	3	1	1	0	1
Coenosia_dubiosa	1	1	1	0	1
Coenosia_femoralis	8	3	3	0.40824829	1
Coenosia_mollicula	1	1	1	0	1
Coenosia_pedella	4	4	10	6.971370023	0.4
Coenosia_puderosa	1	1	1	0	1
Coenosia_sp.	7	5	11	7.012974988	0.454545455
Coenosia_sp._1	1	1	1	0	1
Coenosia_sp._2	1	1	1	0	1
Coenosia_sp._3	1	1	1	0	1
Coenosia_sp._4	1	1	1	0	1
Coenosia_tigrina	8	6	8	2.848001248	0.75
Coenosia_verralli	6	4	4.333333333	0.901354894	0.923076923
Coenosia_vibrissata	1	1	1	0	1
Coenossinae_sp.	1	1	1	0	1
Colius_croceus	1	1	1	0	1
Colletes_fodiens	17	6	9	4.099457959	0.666666667
Colletes_succinctus	4	1	1	0	1
Cricotopus_sp._1	2	1	1	0	1
Cricotopus_sp._2	2	2	3	2.041241452	0.666666667
Crossocerus_sp.	1	1	1	0	1
Cryptinae_A	1	1	1	0	1
Cryptocephalus_aureolus	13	2	2	0	1
Cteniopus_sulphureus	22	5	6	2.198484326	0.833333333
Cupido_minimus	2	2	3	2.041241452	0.666666667
Curculio_venosus	1	1	1	0	1
Cyclophora_linearia	1	1	1	0	1
Cynipoidea_sp.__A	1	1	1	0	1
Dasusyrphus_sp.	1	1	1	0	1
Dasysyrphus_lunulatus	1	1	1	0	1
Dasysyrphus_trincinctus	1	1	1	0	1
Delia_frontella	1	1	1	0	1
