Site,Habitat,PlSpecies,CP,FU
Arne,heathland,Anthriscus_sylvestris,0,0
Arne,salt_marsh,Anthriscus_sylvestris,0,0
Arne,woodland,Anthriscus_sylvestris,1,0
Arne,heathland,Armeria_maritima,0,0
Arne,salt_marsh,Armeria_maritima,11,0
Arne,woodland,Armeria_maritima,0,0
Arne,heathland,Aster_tripolium,0,0
Arne,salt_marsh,Aster_tripolium,1.66666666666667,0
Arne,woodland,Aster_tripolium,0,0
Arne,heathland,Betula_pendula,1.66666666666667,0
Arne,salt_marsh,Betula_pendula,0,0
Arne,woodland,Betula_pendula,2.33333333333333,0
Arne,heathland,Calluna_vulgaris,27.1612903225806,1759.03225806452
Arne,salt_marsh,Calluna_vulgaris,0,0
Arne,woodland,Calluna_vulgaris,0,0
Arne,heathland,Castanea_sativa,0,0
Arne,salt_marsh,Castanea_sativa,0,0
Arne,woodland,Castanea_sativa,1,0
Arne,heathland,Cochlearia_anglica,0,0
Arne,salt_marsh,Cochlearia_anglica,1,0
Arne,woodland,Cochlearia_anglica,0,0
Arne,heathland,Cochlearia_officinalis,0,0
Arne,salt_marsh,Cochlearia_officinalis,2.5,3
Arne,woodland,Cochlearia_officinalis,0,0
Arne,heathland,Cuscuta_epithymum,17,0
Arne,salt_marsh,Cuscuta_epithymum,0,0
Arne,woodland,Cuscuta_epithymum,0,0
Arne,heathland,Digitalis_purpurea,0,0
Arne,salt_marsh,Digitalis_purpurea,0,0
Arne,woodland,Digitalis_purpurea,1,0
Arne,heathland,Dryopteris_sp.,11,0
Arne,salt_marsh,Dryopteris_sp.,0,0
Arne,woodland,Dryopteris_sp.,14.75,0
Arne,heathland,Erica_cinerea,6.40909090909091,23.2272727272727
Arne,salt_marsh,Erica_cinerea,0,0
Arne,woodland,Erica_cinerea,0,0
Arne,heathland,Erica_tetralix,4,0
Arne,salt_marsh,Erica_tetralix,0,0
Arne,woodland,Erica_tetralix,3,0
Arne,heathland,Fraxinus_excelsior,0,0
Arne,salt_marsh,Fraxinus_excelsior,0,0
Arne,woodland,Fraxinus_excelsior,1,0
Arne,heathland,Galium_saxatile,2,41
Arne,salt_marsh,Galium_saxatile,0,0
Arne,woodland,Galium_saxatile,0,0
Arne,heathland,Glaux_maritima,0,0
Arne,salt_marsh,Glaux_maritima,1,0
Arne,woodland,Glaux_maritima,0,0
Arne,heathland,Grass,1,0
Arne,salt_marsh,Grass,1,0
Arne,woodland,Grass,1,0
Arne,heathland,Halimione_portulacoides,0,0
Arne,salt_marsh,Halimione_portulacoides,5.2,0
Arne,woodland,Halimione_portulacoides,0,0
Arne,heathland,Hedera_helix,0,0
Arne,salt_marsh,Hedera_helix,0,0
Arne,woodland,Hedera_helix,1,0
Arne,heathland,Holcus_lanatus,0,0
Arne,salt_marsh,Holcus_lanatus,1,1
Arne,woodland,Holcus_lanatus,0,0
Arne,heathland,Ilex_aquifolium,0,0
Arne,salt_marsh,Ilex_aquifolium,0,0
Arne,woodland,Ilex_aquifolium,1,0
Arne,heathland,Limonium_vulgare,0,0
Arne,salt_marsh,Limonium_vulgare,4.41176470588235,0
Arne,woodland,Limonium_vulgare,0,0
Arne,heathland,Lonicera_periclymenum,1,0
Arne,salt_marsh,Lonicera_periclymenum,0,0
Arne,woodland,Lonicera_periclymenum,1.5,0
Arne,heathland,Pinus_nigra,30,0
Arne,salt_marsh,Pinus_nigra,0,0
Arne,woodland,Pinus_nigra,1,0
Arne,heathland,Plantago_maritima,0,0
Arne,salt_marsh,Plantago_maritima,1,0
Arne,woodland,Plantago_maritima,0,0
Arne,heathland,Potentilla_erecta,1,0
Arne,salt_marsh,Potentilla_erecta,0,0
Arne,woodland,Potentilla_erecta,0,0
Arne,heathland,Quercus_petraea,0,0
Arne,salt_marsh,Quercus_petraea,0,0
Arne,woodland,Quercus_petraea,1,0
Arne,heathland,Rubus_fruiticosus,6,0
Arne,salt_marsh,Rubus_fruiticosus,0,0
Arne,woodland,Rubus_fruiticosus,8,0
Arne,heathland,Rumex_acetosa,1,45
Arne,salt_marsh,Rumex_acetosa,0,0
Arne,woodland,Rumex_acetosa,0,0
Arne,heathland,Rumex_acetosella,1,4
