Site,Habitat,PlSpecies,CP,FU
Bodmin_Moor,scrub,Acer_pseudoplatanus,0,0
Bodmin_Moor,woodland,Acer_pseudoplatanus,0,0
Bodmin_Moor,scrub,Aethusa_cynapium,1,0
Bodmin_Moor,woodland,Aethusa_cynapium,0,0
Bodmin_Moor,scrub,Ajuga_reptans,0,0
Bodmin_Moor,woodland,Ajuga_reptans,1,0
Bodmin_Moor,scrub,Anemone_nemorosa,7,1.6
Bodmin_Moor,woodland,Anemone_nemorosa,9.5,0
Bodmin_Moor,scrub,Bare_ground_only,0,0
Bodmin_Moor,woodland,Bare_ground_only,0,0
Bodmin_Moor,scrub,Betula_pendula,0,0
Bodmin_Moor,woodland,Betula_pendula,20,0
Bodmin_Moor,scrub,Cirsium_palustre,1,0
Bodmin_Moor,woodland,Cirsium_palustre,0,0
Bodmin_Moor,scrub,Corylus_avellana,0,0
Bodmin_Moor,woodland,Corylus_avellana,9.33333333333333,0
Bodmin_Moor,scrub,Crataegus_monogyna,27,0
Bodmin_Moor,woodland,Crataegus_monogyna,3,0
Bodmin_Moor,scrub,Dryopteris_sp.,33.9130434782609,0
Bodmin_Moor,woodland,Dryopteris_sp.,11.1428571428571,0
Bodmin_Moor,scrub,Euphrasia_nemorosa,1,4
Bodmin_Moor,woodland,Euphrasia_nemorosa,0,0
Bodmin_Moor,scrub,Fagus_sylvatica,0,0
Bodmin_Moor,woodland,Fagus_sylvatica,23.75,0
Bodmin_Moor,scrub,Ficaria_verna,0,0
Bodmin_Moor,woodland,Ficaria_verna,1,1
Bodmin_Moor,scrub,Fragaria_vesca,1,0
Bodmin_Moor,woodland,Fragaria_vesca,0,0
Bodmin_Moor,scrub,Fraxinus_excelsior,0,0
Bodmin_Moor,woodland,Fraxinus_excelsior,3,0
Bodmin_Moor,scrub,Galium_mollugo,0.5,0
Bodmin_Moor,woodland,Galium_mollugo,0,0
Bodmin_Moor,scrub,Galium_sp,3,0
Bodmin_Moor,woodland,Galium_sp,0,0
Bodmin_Moor,scrub,Grass,1,0
Bodmin_Moor,woodland,Grass,1,0
Bodmin_Moor,scrub,Grass_1,0,0
Bodmin_Moor,woodland,Grass_1,1,1
Bodmin_Moor,scrub,Hedera_helix,1,0
Bodmin_Moor,woodland,Hedera_helix,3.27272727272727,0
Bodmin_Moor,scrub,Holcus_lanatus,0,0
Bodmin_Moor,woodland,Holcus_lanatus,1,1
Bodmin_Moor,scrub,Hyacinthoides_non-scripta,1.66666666666667,0.666666666666667
Bodmin_Moor,woodland,Hyacinthoides_non-scripta,1,0
Bodmin_Moor,scrub,Ilex_aquifolium,0,0
Bodmin_Moor,woodland,Ilex_aquifolium,20.2857142857143,0.466666666666667
Bodmin_Moor,scrub,Leontodon_hispidus,0,0
Bodmin_Moor,woodland,Leontodon_hispidus,1,1
Bodmin_Moor,scrub,Lonicera_periclymenum,5,0
Bodmin_Moor,woodland,Lonicera_periclymenum,2.84615384615385,0
Bodmin_Moor,scrub,Luzula_campestris,2.75,0.5
Bodmin_Moor,woodland,Luzula_campestris,0,0
Bodmin_Moor,scrub,Melampyrum_pratense,0,0
Bodmin_Moor,woodland,Melampyrum_pratense,0,0
Bodmin_Moor,scrub,moss,1,1
Bodmin_Moor,woodland,moss,0,0
Bodmin_Moor,scrub,Oxalis_acetosella,0.5,0
Bodmin_Moor,woodland,Oxalis_acetosella,4,0.333333333333333
Bodmin_Moor,scrub,Poa_nemoralis,0,0
Bodmin_Moor,woodland,Poa_nemoralis,1,1
Bodmin_Moor,scrub,Polygala_serpyllifolia,15.5,14.5
Bodmin_Moor,woodland,Polygala_serpyllifolia,0,0
Bodmin_Moor,scrub,Potentilla_erecta,11.2058823529412,3.97058823529412
Bodmin_Moor,woodland,Potentilla_erecta,4,1.66666666666667
Bodmin_Moor,scrub,Pteridium_aquilinum,1,1
Bodmin_Moor,woodland,Pteridium_aquilinum,1,1
Bodmin_Moor,scrub,Quercus_robur,1,0
Bodmin_Moor,woodland,Quercus_robur,6,0
Bodmin_Moor,scrub,Rubus_fruiticosus,1,0
Bodmin_Moor,woodland,Rubus_fruiticosus,5.57142857142857,0
Bodmin_Moor,scrub,Rubus_fruticosus,0,0
Bodmin_Moor,woodland,Rubus_fruticosus,4.33333333333333,0
Bodmin_Moor,scrub,Rubus_fruticosus_agg.,0,0
Bodmin_Moor,woodland,Rubus_fruticosus_agg.,1,1
Bodmin_Moor,scrub,Rumex_acetosella,10,0
Bodmin_Moor,woodland,Rumex_acetosella,0,0
Bodmin_Moor,scrub,Sedge,1,0
Bodmin_Moor,woodland,Sedge,1,0
Bodmin_Moor,scrub,Sorbus_aucuparia,0,0
Bodmin_Moor,woodland,Sorbus_aucuparia,20,0
Bodmin_Moor,scrub,Stellaria_graminea,0,0
Bodmin_Moor,woodland,Stellaria_graminea,1,1
Bodmin_Moor,scrub,Stellaria_holostea,0,0
Bodmin_Moor,woodland,Stellaria_holostea,1,0
Bodmin_Moor,scrub,Teucrium_scorodonia,1,0
Bodmin_Moor,woodland,Teucrium_scorodonia,0,0
Bodmin_Moor,scrub,Ulex_europaeus,9,0
Bodmin_Moor,woodland,Ulex_europaeus,0,0
Bodmin_Moor,scrub,Umbilicus_rupestris,0,0
Bodmin_Moor,woodland,Umbilicus_rupestris,1,0
Bodmin_Moor,scrub,Unidentified_D,0,0
Bodmin_Moor,woodland,Unidentified_D,5,0
Bodmin_Moor,scrub,Vaccinium_myrtillus,0,0
Bodmin_Moor,woodland,Vaccinium_myrtillus,8.5,0
Bodmin_Moor,scrub,Veronica_chamaedrys,3,0
Bodmin_Moor,woodland,Veronica_chamaedrys,0,0
Bodmin_Moor,scrub,Veronica_officinalis,1,0
Bodmin_Moor,woodland,Veronica_officinalis,1,0
Bodmin_Moor,scrub,Viola_reichenbachiana,13.6666666666667,1.33333333333333
Bodmin_Moor,woodland,Viola_reichenbachiana,0,0
Bodmin_Moor,scrub,Viola_riviniana,4.5,0
Bodmin_Moor,woodland,Viola_riviniana,0,0
