Site,Habitat,PlSpecies,CP,FU
Braunton_Burrows,grassland,Achillea_millefolium,6.6,0.6
Braunton_Burrows,sand_dune,Achillea_millefolium,1,0
Braunton_Burrows,grassland,Agrimonia_eupatoria,1,0.5
Braunton_Burrows,sand_dune,Agrimonia_eupatoria,0.333333333333333,0
Braunton_Burrows,grassland,Ammophila_sp.,0,0
Braunton_Burrows,sand_dune,Ammophila_sp.,1,0
Braunton_Burrows,grassland,Anacamptis_pyramidalis,1,0
Braunton_Burrows,sand_dune,Anacamptis_pyramidalis,0.75,54.75
Braunton_Burrows,grassland,Arrhenatherum_elatius,1,1
Braunton_Burrows,sand_dune,Arrhenatherum_elatius,0,0
Braunton_Burrows,grassland,Bellis_perennis,1,1
Braunton_Burrows,sand_dune,Bellis_perennis,2.5,0
Braunton_Burrows,grassland,Centaurea_nigra,1,0
Braunton_Burrows,sand_dune,Centaurea_nigra,0,0
Braunton_Burrows,grassland,Centaurium_erythraea,0,0
Braunton_Burrows,sand_dune,Centaurium_erythraea,2,1
Braunton_Burrows,grassland,Cerastium_fontanum,0.5,0.833333333333333
Braunton_Burrows,sand_dune,Cerastium_fontanum,1.53846153846154,5
Braunton_Burrows,grassland,Crataegus_monogyna,6.5,0
Braunton_Burrows,sand_dune,Crataegus_monogyna,1,0
Braunton_Burrows,grassland,Crepis_capillaris,1,0.333333333333333
Braunton_Burrows,sand_dune,Crepis_capillaris,4.66666666666667,2
Braunton_Burrows,grassland,Crepis_vesicaria,1,0.5
Braunton_Burrows,sand_dune,Crepis_vesicaria,1.5,5.5
Braunton_Burrows,grassland,Dactylorhiza_praetermissa,1,0
Braunton_Burrows,sand_dune,Dactylorhiza_praetermissa,0,0
Braunton_Burrows,grassland,Daucus_carota,2.75,0
Braunton_Burrows,sand_dune,Daucus_carota,1.6,6.2
Braunton_Burrows,grassland,Digitalis_purpurea,2.5,0
Braunton_Burrows,sand_dune,Digitalis_purpurea,0,0
Braunton_Burrows,grassland,Echium_vulgare,1,0
Braunton_Burrows,sand_dune,Echium_vulgare,0.75,48
Braunton_Burrows,grassland,Epipactis_palustris,1,0
Braunton_Burrows,sand_dune,Epipactis_palustris,0,0
Braunton_Burrows,grassland,Erodium_cicutarium,0,0
Braunton_Burrows,sand_dune,Erodium_cicutarium,2,3.5
Braunton_Burrows,grassland,Euphorbia_portlandica,0,0
Braunton_Burrows,sand_dune,Euphorbia_portlandica,0.5,5.5
Braunton_Burrows,grassland,Euphrasia_nemorosa,5,126.6
Braunton_Burrows,sand_dune,Euphrasia_nemorosa,4.35714285714286,87.7142857142857
Braunton_Burrows,grassland,Filipendula_ulmaria,4,0
Braunton_Burrows,sand_dune,Filipendula_ulmaria,0,0
Braunton_Burrows,grassland,Fragaria_vesca,2,0
Braunton_Burrows,sand_dune,Fragaria_vesca,3,0
Braunton_Burrows,grassland,Galeopsis_angustifolia,4.16666666666667,23.6666666666667
Braunton_Burrows,sand_dune,Galeopsis_angustifolia,0,0
Braunton_Burrows,grassland,Galeopsis_angustifolium,1,1
Braunton_Burrows,sand_dune,Galeopsis_angustifolium,0,0
Braunton_Burrows,grassland,Galium_verum,8.125,815.333333333333
Braunton_Burrows,sand_dune,Galium_verum,7.71428571428571,382.302325581395
Braunton_Burrows,grassland,Geranium_columbinum,1,1
Braunton_Burrows,sand_dune,Geranium_columbinum,0,0
Braunton_Burrows,grassland,Geranium_molle,0,0
Braunton_Burrows,sand_dune,Geranium_molle,5.875,0
Braunton_Burrows,grassland,Grass,5.9,0
Braunton_Burrows,sand_dune,Grass,1,0
Braunton_Burrows,grassland,Grass_3,1,1
Braunton_Burrows,sand_dune,Grass_3,1,1
Braunton_Burrows,grassland,Grass_34,1,1
Braunton_Burrows,sand_dune,Grass_34,0,0
Braunton_Burrows,grassland,Grass_B,0,0
Braunton_Burrows,sand_dune,Grass_B,1,1
Braunton_Burrows,grassland,Hippurus_vulgaris,2.41666666666667,0
Braunton_Burrows,sand_dune,Hippurus_vulgaris,0,0
Braunton_Burrows,grassland,Holcus_lanatus,1,1
Braunton_Burrows,sand_dune,Holcus_lanatus,1,1
Braunton_Burrows,grassland,Hypericum_perforatum,0,0
Braunton_Burrows,sand_dune,Hypericum_perforatum,0,0
Braunton_Burrows,grassland,Hypochaeris_radicata,1,2
Braunton_Burrows,sand_dune,Hypochaeris_radicata,2.125,1.125
Braunton_Burrows,grassland,Iris_foetidissima,1,0
Braunton_Burrows,sand_dune,Iris_foetidissima,0,0
Braunton_Burrows,grassland,Lamium_purpureum,1.66666666666667,0
Braunton_Burrows,sand_dune,Lamium_purpureum,0,0
Braunton_Burrows,grassland,Leontodon_hispidus,1,0
Braunton_Burrows,sand_dune,Leontodon_hispidus,1,0.666666666666667
Braunton_Burrows,grassland,Leontodon_saxatilis,1,1
Braunton_Burrows,sand_dune,Leontodon_saxatilis,0.571428571428571,0.285714285714286
Braunton_Burrows,grassland,Ligustrum_vulgare,0,0
Braunton_Burrows,sand_dune,Ligustrum_vulgare,1,1
Braunton_Burrows,grassland,Limonium_vulgare,12,0
Braunton_Burrows,sand_dune,Limonium_vulgare,12.6,0.6
Braunton_Burrows,grassland,Linum_catharticum,1,0.5
Braunton_Burrows,sand_dune,Linum_catharticum,1.75,1
Braunton_Burrows,grassland,Lotus_corniculatus,4,0.666666666666667
Braunton_Burrows,sand_dune,Lotus_corniculatus,4.66666666666667,1
Braunton_Burrows,grassland,Lotus_subbiflorus,1.5,0
Braunton_Burrows,sand_dune,Lotus_subbiflorus,8,1
Braunton_Burrows,grassland,Luzula_campestris,0.25,1.25
Braunton_Burrows,sand_dune,Luzula_campestris,2.2,5.8
Braunton_Burrows,grassland,Lythrum_salicaria,2,0
Braunton_Burrows,sand_dune,Lythrum_salicaria,0,0
Braunton_Burrows,grassland,Medicago_lupulina,4,2.66666666666667
Braunton_Burrows,sand_dune,Medicago_lupulina,1,0
Braunton_Burrows,grassland,Melilotus_officinalis,13.7647058823529,96.3529411764706
Braunton_Burrows,sand_dune,Melilotus_officinalis,1,0
Braunton_Burrows,grassland,Mentha_aquatica,1,0
Braunton_Burrows,sand_dune,Mentha_aquatica,0,0
Braunton_Burrows,grassland,Myosotis_ramosissima,0,0
Braunton_Burrows,sand_dune,Myosotis_ramosissima,1,1
Braunton_Burrows,grassland,Narcissus_pseudonarcissus,1,1
Braunton_Burrows,sand_dune,Narcissus_pseudonarcissus,0,0
Braunton_Burrows,grassland,Oenothera_glasiovana,1,0
Braunton_Burrows,sand_dune,Oenothera_glasiovana,0,0
Braunton_Burrows,grassland,Oenothera_glazioviana,1,0
Braunton_Burrows,sand_dune,Oenothera_glazioviana,2,0.666666666666667
Braunton_Burrows,grassland,Ononis_repens,7.56521739130435,21.125
Braunton_Burrows,sand_dune,Ononis_repens,12.9111111111111,77.7826086956522
Braunton_Burrows,grassland,Otanthus_maritimus,1,0
Braunton_Burrows,sand_dune,Otanthus_maritimus,0,0
Braunton_Burrows,grassland,Pilosella_officinarum,0,0
Braunton_Burrows,sand_dune,Pilosella_officinarum,0.25,0
Braunton_Burrows,grassland,Plantago_lanceolata,5,0.0333333333333333
Braunton_Burrows,sand_dune,Plantago_lanceolata,2.90625,0.15625
Braunton_Burrows,grassland,Polygala_serpyllifolia,0,0
Braunton_Burrows,sand_dune,Polygala_serpyllifolia,1,0
Braunton_Burrows,grassland,Potentilla_anserina,2,0
Braunton_Burrows,sand_dune,Potentilla_anserina,0,0
Braunton_Burrows,grassland,Potentilla_erecta,1,1
Braunton_Burrows,sand_dune,Potentilla_erecta,0,0
Braunton_Burrows,grassland,Potentilla_reptans,2.41666666666667,0.25
Braunton_Burrows,sand_dune,Potentilla_reptans,0,0
Braunton_Burrows,grassland,Primula_vulgaris,0,0
Braunton_Burrows,sand_dune,Primula_vulgaris,17,0
Braunton_Burrows,grassland,Prunella_vulgaris,1,0
Braunton_Burrows,sand_dune,Prunella_vulgaris,1,0
Braunton_Burrows,grassland,Pulicaria_dysenterica,1,1
Braunton_Burrows,sand_dune,Pulicaria_dysenterica,0,0
Braunton_Burrows,grassland,Ranunculus_acris,6.5,0
Braunton_Burrows,sand_dune,Ranunculus_acris,0,0
Braunton_Burrows,grassland,Ranunculus_bulbosus,4.4,0
Braunton_Burrows,sand_dune,Ranunculus_bulbosus,0,0
Braunton_Burrows,grassland,Ranunculus_repens,0,0
Braunton_Burrows,sand_dune,Ranunculus_repens,2,0
Braunton_Burrows,grassland,Rhinanthus_minor,7.125,2.375
Braunton_Burrows,sand_dune,Rhinanthus_minor,6.58333333333333,2.41666666666667
Braunton_Burrows,grassland,Rubus_fruiticosus,10.4,0
Braunton_Burrows,sand_dune,Rubus_fruiticosus,14.2,1
Braunton_Burrows,grassland,Rubus_fruticosus,7.25,0
Braunton_Burrows,sand_dune,Rubus_fruticosus,0,0
Braunton_Burrows,grassland,Rubus_fruticosus_agg.,1,1
Braunton_Burrows,sand_dune,Rubus_fruticosus_agg.,1,1
Braunton_Burrows,grassland,Rumex_acetosa,0,0
Braunton_Burrows,sand_dune,Rumex_acetosa,1,0
Braunton_Burrows,grassland,Rumex_acetosella,2,0
Braunton_Burrows,sand_dune,Rumex_acetosella,0,0
Braunton_Burrows,grassland,Salix_caprea,1,0
Braunton_Burrows,sand_dune,Salix_caprea,0,0
Braunton_Burrows,grassland,Salix_repens,5.5,0
Braunton_Burrows,sand_dune,Salix_repens,0,0
Braunton_Burrows,grassland,Sanguisorba_minor,0,0
Braunton_Burrows,sand_dune,Sanguisorba_minor,1,18
Braunton_Burrows,grassland,Sedge,0,0
Braunton_Burrows,sand_dune,Sedge,1,0
Braunton_Burrows,grassland,Sedum_acre,0,0
Braunton_Burrows,sand_dune,Sedum_acre,2.5,0
Braunton_Burrows,grassland,Senecio_crassifolius,3,0
Braunton_Burrows,sand_dune,Senecio_crassifolius,1,0
Braunton_Burrows,grassland,Senecio_jacobaea,1.75,0
Braunton_Burrows,sand_dune,Senecio_jacobaea,1.57142857142857,9.57142857142857
Braunton_Burrows,grassland,Solidago_virgaurea,0,0
Braunton_Burrows,sand_dune,Solidago_virgaurea,1,6
Braunton_Burrows,grassland,Stellaria_graminea,0,0
Braunton_Burrows,sand_dune,Stellaria_graminea,0.5,3
Braunton_Burrows,grassland,Taraxacum_agg.,1,0.2
Braunton_Burrows,sand_dune,Taraxacum_agg.,1,0.0714285714285714
Braunton_Burrows,grassland,Teucrium_scorodonia,0,0
Braunton_Burrows,sand_dune,Teucrium_scorodonia,1.6,0
Braunton_Burrows,grassland,Thymus_polytrichus,10.6666666666667,61.6666666666667
Braunton_Burrows,sand_dune,Thymus_polytrichus,1.75,8.5
Braunton_Burrows,grassland,Trifolium_arvense,10,0
Braunton_Burrows,sand_dune,Trifolium_arvense,1,4
Braunton_Burrows,grassland,Trifolium_dubium,1,1
Braunton_Burrows,sand_dune,Trifolium_dubium,0,0
Braunton_Burrows,grassland,Trifolium_pratense,3.25,0.25
Braunton_Burrows,sand_dune,Trifolium_pratense,1,0
Braunton_Burrows,grassland,Trifolium_repens,5.23809523809524,0.363636363636364
Braunton_Burrows,sand_dune,Trifolium_repens,4,6
Braunton_Burrows,grassland,Veronica_chamaedrys,2,0
Braunton_Burrows,sand_dune,Veronica_chamaedrys,2,0
Braunton_Burrows,grassland,Veronica_filiformis,0,0
Braunton_Burrows,sand_dune,Veronica_filiformis,1,1
Braunton_Burrows,grassland,Veronica_persica,2,0
Braunton_Burrows,sand_dune,Veronica_persica,0,0
Braunton_Burrows,grassland,Viccia_sativa,1,1
Braunton_Burrows,sand_dune,Viccia_sativa,0,0
Braunton_Burrows,grassland,Vicia_cracca,1,0
Braunton_Burrows,sand_dune,Vicia_cracca,0,0
Braunton_Burrows,grassland,Vicia_sativa,4,0
Braunton_Burrows,sand_dune,Vicia_sativa,0,0
Braunton_Burrows,grassland,Viola_canina,0,0
Braunton_Burrows,sand_dune,Viola_canina,2.8,0.2
Braunton_Burrows,grassland,Viola_tricolor,0,0
Braunton_Burrows,sand_dune,Viola_tricolor,0,0
