Site,Habitat,PlSpecies,CP,FU
Burnham-on-Sea,salt_marsh,Armeria_maritima,1,0
Burnham-on-Sea,salt_marsh,Aster_tripolium,5.17543859649123,0
Burnham-on-Sea,salt_marsh,Atriplex_hastata,1,0
Burnham-on-Sea,salt_marsh,Beta_vulgaris,1,0
Burnham-on-Sea,salt_marsh,Cochlearia_anglica,1.25,2.5
Burnham-on-Sea,salt_marsh,Cochlearia_officinalis,1,1
Burnham-on-Sea,salt_marsh,Glaux_maritima,2.11111111111111,0
Burnham-on-Sea,salt_marsh,Grass,23.1290322580645,0
Burnham-on-Sea,salt_marsh,Halimione_portulacoides,2.33333333333333,0
Burnham-on-Sea,salt_marsh,Limonium_vulgare,2.11111111111111,0
Burnham-on-Sea,salt_marsh,Oenanthe_crocata,1,1
Burnham-on-Sea,salt_marsh,Plantago_maritima,8.30612244897959,0.102040816326531
Burnham-on-Sea,salt_marsh,Raphanus_raphanistrum,1,1
Burnham-on-Sea,salt_marsh,Salicornia_perennis,0.444444444444444,0
Burnham-on-Sea,salt_marsh,Sarcocornia_perennis,1,0
Burnham-on-Sea,salt_marsh,Spartina_anglica,11.6363636363636,2.4
Burnham-on-Sea,salt_marsh,Spergularia_media,0.625,0.125
Burnham-on-Sea,salt_marsh,Triglochin_anglicum,1,0
Burnham-on-Sea,salt_marsh,Triglochin_maritima,11.175,0.025
