Site,Habitat,PlSpecies,CP,FU
Bystock,grassland,Acer_campestre,0,0
Bystock,heathland,Acer_campestre,0,0
Bystock,woodland,Acer_campestre,1,1
Bystock,grassland,Acer_pseudoplatanus,0,0
Bystock,heathland,Acer_pseudoplatanus,0,0
Bystock,woodland,Acer_pseudoplatanus,4,0
Bystock,grassland,Achillea_millefolium,1,0
Bystock,heathland,Achillea_millefolium,0,0
Bystock,woodland,Achillea_millefolium,0,0
Bystock,grassland,Ajuga_reptans,0,0
Bystock,heathland,Ajuga_reptans,0,0
Bystock,woodland,Ajuga_reptans,1,0
Bystock,grassland,Arum_maculatum,0,0
Bystock,heathland,Arum_maculatum,0,0
Bystock,woodland,Arum_maculatum,1,0
Bystock,grassland,Betula_pendula,1,0
Bystock,heathland,Betula_pendula,1,0
Bystock,woodland,Betula_pendula,18,0
Bystock,grassland,Calluna_vulgaris,9,0
Bystock,heathland,Calluna_vulgaris,9.77777777777778,1.66666666666667
Bystock,woodland,Calluna_vulgaris,0,0
Bystock,grassland,Centaurium_eritrea,1,1
Bystock,heathland,Centaurium_eritrea,0,0
Bystock,woodland,Centaurium_eritrea,1,1
Bystock,grassland,Centaurium_erythraea,1,0
Bystock,heathland,Centaurium_erythraea,0,0
Bystock,woodland,Centaurium_erythraea,1,0
Bystock,grassland,Centaurium_pulchellum,1,0
Bystock,heathland,Centaurium_pulchellum,0,0
Bystock,woodland,Centaurium_pulchellum,0,0
Bystock,grassland,Cerastium_fontanum,1,0.666666666666667
Bystock,heathland,Cerastium_fontanum,0,0
Bystock,woodland,Cerastium_fontanum,0,0
Bystock,grassland,Circaea_lutetiana,0,0
Bystock,heathland,Circaea_lutetiana,0,0
Bystock,woodland,Circaea_lutetiana,1,0
Bystock,grassland,Cirsium_vulgare,0,0
Bystock,heathland,Cirsium_vulgare,0,0
Bystock,woodland,Cirsium_vulgare,1,0
Bystock,grassland,Corylus_avellana,0,0
Bystock,heathland,Corylus_avellana,0,0
Bystock,woodland,Corylus_avellana,4.5,0
Bystock,grassland,Crataegus_monogyna,4,0
Bystock,heathland,Crataegus_monogyna,0,0
Bystock,woodland,Crataegus_monogyna,2.4,0
Bystock,grassland,Crataegus_sp.,0,0
Bystock,heathland,Crataegus_sp.,0,0
Bystock,woodland,Crataegus_sp.,1,1
Bystock,grassland,Crepis_capillaris,1,0
Bystock,heathland,Crepis_capillaris,0,0
Bystock,woodland,Crepis_capillaris,0,0
Bystock,grassland,Crepis_vesicaria,1,5
Bystock,heathland,Crepis_vesicaria,0,0
Bystock,woodland,Crepis_vesicaria,0,0
Bystock,grassland,Dactylorhiza_fuchsii,0,0
Bystock,heathland,Dactylorhiza_fuchsii,1,0
Bystock,woodland,Dactylorhiza_fuchsii,0,0
Bystock,grassland,Dryopteris_sp.,0,0
Bystock,heathland,Dryopteris_sp.,0,0
Bystock,woodland,Dryopteris_sp.,5.66666666666667,0
Bystock,grassland,Erica_cinerea,1,0
Bystock,heathland,Erica_cinerea,14.0344827586207,529.758620689655
Bystock,woodland,Erica_cinerea,0,0
Bystock,grassland,Erica_tetralix,0,0
Bystock,heathland,Erica_tetralix,6.72727272727273,4.77272727272727
Bystock,woodland,Erica_tetralix,0,0
Bystock,grassland,Eupatorium_cannabinum,0,0
Bystock,heathland,Eupatorium_cannabinum,0,0
Bystock,woodland,Eupatorium_cannabinum,1,0
Bystock,grassland,Euphrasia_nemorosa,1,5.5
Bystock,heathland,Euphrasia_nemorosa,0,0
Bystock,woodland,Euphrasia_nemorosa,0,0
Bystock,grassland,Fagus_sylvatica,0,0
Bystock,heathland,Fagus_sylvatica,0,0
Bystock,woodland,Fagus_sylvatica,13,0
Bystock,grassland,Festuca_rubra,0,0
Bystock,heathland,Festuca_rubra,1,1
Bystock,woodland,Festuca_rubra,0,0
Bystock,grassland,Fragaria_vesca,4,0
Bystock,heathland,Fragaria_vesca,0,0
Bystock,woodland,Fragaria_vesca,1,1
Bystock,grassland,Fraxinus_excelsior,0,0
Bystock,heathland,Fraxinus_excelsior,0,0
Bystock,woodland,Fraxinus_excelsior,0.5,0
Bystock,grassland,Galium_mollugo,0,0
Bystock,heathland,Galium_mollugo,0,0
Bystock,woodland,Galium_mollugo,1,0
Bystock,grassland,Grass,1,0
Bystock,heathland,Grass,1,0
Bystock,woodland,Grass,0,0
Bystock,grassland,Grass_9,0,0
Bystock,heathland,Grass_9,1,1
Bystock,woodland,Grass_9,0,0
Bystock,grassland,Hedera_helix,0,0
Bystock,heathland,Hedera_helix,0,0
Bystock,woodland,Hedera_helix,6.73333333333333,0
Bystock,grassland,Holcus_lanatus,1,1
Bystock,heathland,Holcus_lanatus,0,0
Bystock,woodland,Holcus_lanatus,0,0
Bystock,grassland,Hyacinthoides_non-scripta,0,0
Bystock,heathland,Hyacinthoides_non-scripta,0,0
Bystock,woodland,Hyacinthoides_non-scripta,1,0
Bystock,grassland,Hypericum_pulchrum,1,0
Bystock,heathland,Hypericum_pulchrum,0,0
Bystock,woodland,Hypericum_pulchrum,0,0
Bystock,grassland,Hypochaeris_radicata,1,0
Bystock,heathland,Hypochaeris_radicata,0,0
Bystock,woodland,Hypochaeris_radicata,0,0
Bystock,grassland,Ilex_aquifolium,0,0
Bystock,heathland,Ilex_aquifolium,0,0
Bystock,woodland,Ilex_aquifolium,1,0
Bystock,grassland,Iris_sp.,0,0
Bystock,heathland,Iris_sp.,0,0
Bystock,woodland,Iris_sp.,7,0
Bystock,grassland,Leontodon_hispidus,0.5,0
Bystock,heathland,Leontodon_hispidus,0,0
Bystock,woodland,Leontodon_hispidus,0,0
Bystock,grassland,Lonicera_periclymenum,0,0
Bystock,heathland,Lonicera_periclymenum,0,0
Bystock,woodland,Lonicera_periclymenum,1,0
Bystock,grassland,Lotus_corniculatus,8.35,2
Bystock,heathland,Lotus_corniculatus,0,0
Bystock,woodland,Lotus_corniculatus,0,0
Bystock,grassland,Lotus_pedunculatus,7.14285714285714,3.28571428571429
Bystock,heathland,Lotus_pedunculatus,0,0
Bystock,woodland,Lotus_pedunculatus,0,0
Bystock,grassland,Lotus_pendunculatus,1,1
Bystock,heathland,Lotus_pendunculatus,0,0
Bystock,woodland,Lotus_pendunculatus,0,0
Bystock,grassland,Lotus_subbiflorus,1.2,0
Bystock,heathland,Lotus_subbiflorus,0,0
Bystock,woodland,Lotus_subbiflorus,0,0
Bystock,grassland,Mercurialis_perennis,0,0
Bystock,heathland,Mercurialis_perennis,0,0
Bystock,woodland,Mercurialis_perennis,20,61
Bystock,grassland,moss,1,1
Bystock,heathland,moss,0,0
Bystock,woodland,moss,0,0
Bystock,grassland,Pinus_sylvestris,0,0
Bystock,heathland,Pinus_sylvestris,3,0
Bystock,woodland,Pinus_sylvestris,0,0
Bystock,grassland,Plantago_lanceolata,5.55555555555556,0.0740740740740741
Bystock,heathland,Plantago_lanceolata,0,0
Bystock,woodland,Plantago_lanceolata,1,1
Bystock,grassland,Polygala_calcarea,1,0
Bystock,heathland,Polygala_calcarea,0,0
Bystock,woodland,Polygala_calcarea,0,0
Bystock,grassland,Polygala_serpyllifolia,1,0.5
Bystock,heathland,Polygala_serpyllifolia,1.33333333333333,5
Bystock,woodland,Polygala_serpyllifolia,0,0
Bystock,grassland,Polygala_vulgaris,0.2,1
Bystock,heathland,Polygala_vulgaris,0,0
Bystock,woodland,Polygala_vulgaris,0,0
Bystock,grassland,Potentilla_erecta,1,0
Bystock,heathland,Potentilla_erecta,0,0
Bystock,woodland,Potentilla_erecta,0,0
Bystock,grassland,Potentilla_reptans,2,0
Bystock,heathland,Potentilla_reptans,0,0
Bystock,woodland,Potentilla_reptans,0,0
Bystock,grassland,Prunella_vulgaris,1,5
Bystock,heathland,Prunella_vulgaris,0,0
Bystock,woodland,Prunella_vulgaris,1,1
