Site,Habitat,PlSpecies,CP,FU
Chagford_Common,grassland,Calluna_vulgaris,5.2,20.4
Chagford_Common,heathland,Calluna_vulgaris,23.1363636363636,636.755555555556
Chagford_Common,grassland,Cirsium_palustre,1,0
Chagford_Common,heathland,Cirsium_palustre,0,0
Chagford_Common,grassland,Cirsium_vulgare,1,1
Chagford_Common,heathland,Cirsium_vulgare,0,0
Chagford_Common,grassland,Convolvulus_sp.,14,0
Chagford_Common,heathland,Convolvulus_sp.,0,0
Chagford_Common,grassland,Drosera_rotundifolia,5,0
Chagford_Common,heathland,Drosera_rotundifolia,0,0
Chagford_Common,grassland,Erica_cinerea,6,0
Chagford_Common,heathland,Erica_cinerea,22,0
Chagford_Common,grassland,Erica_tetralix,2.83333333333333,2.33333333333333
Chagford_Common,heathland,Erica_tetralix,2.25,1.25
Chagford_Common,grassland,Eriophorum angustifolium,0,0
Chagford_Common,heathland,Eriophorum angustifolium,0,0
Chagford_Common,grassland,Festuca_rubra,0,0
Chagford_Common,heathland,Festuca_rubra,1,1
Chagford_Common,grassland,Galium_mollugo,1,0
Chagford_Common,heathland,Galium_mollugo,2.33333333333333,0
Chagford_Common,grassland,Galium_saxatile,12.4,5324.4
Chagford_Common,heathland,Galium_saxatile,11.8333333333333,4.14285714285714
Chagford_Common,grassland,Grass,1,0
Chagford_Common,heathland,Grass,1,0
Chagford_Common,grassland,Hedera_helix,1,0
Chagford_Common,heathland,Hedera_helix,0,0
Chagford_Common,grassland,Hypericum_elodes,1,0
Chagford_Common,heathland,Hypericum_elodes,0,0
Chagford_Common,grassland,Molinia_caerulea,0,0
Chagford_Common,heathland,Molinia_caerulea,1,1
Chagford_Common,grassland,Narthecium_ossifragum,4,0
Chagford_Common,heathland,Narthecium_ossifragum,0,0
Chagford_Common,grassland,Pedicularis_palustris,0,0
Chagford_Common,heathland,Pedicularis_palustris,1,0
Chagford_Common,grassland,Polygala_serpyllifolia,0.5,2
Chagford_Common,heathland,Polygala_serpyllifolia,1,0
Chagford_Common,grassland,Potentilla_erecta,2.25,1
Chagford_Common,heathland,Potentilla_erecta,2.39130434782609,1.1304347826087
Chagford_Common,grassland,Rush,1,0
Chagford_Common,heathland,Rush,0,0
Chagford_Common,grassland,Sedge,1,0
Chagford_Common,heathland,Sedge,0,0
Chagford_Common,grassland,Solidago_virgaurea,0,0
Chagford_Common,heathland,Solidago_virgaurea,0,0
Chagford_Common,grassland,Sorbus_aucuparia,0,0
Chagford_Common,heathland,Sorbus_aucuparia,1,0
Chagford_Common,grassland,Ulex_europaeus,19.0666666666667,6.4
Chagford_Common,heathland,Ulex_europaeus,11.25,4.5
Chagford_Common,grassland,Vaccinium_myrtillus,3.85714285714286,0.428571428571429
Chagford_Common,heathland,Vaccinium_myrtillus,12.4285714285714,2.5
Chagford_Common,grassland,Viola_canina,1,0
Chagford_Common,heathland,Viola_canina,0,0
Chagford_Common,grassland,Viola_palustris,4.25,0
Chagford_Common,heathland,Viola_palustris,1,0
