Site,Habitat,PlSpecies,CP,FU
Cloud_Hill,heathland,Calluna_vulgaris,26.0888888888889,2.02222222222222
Cloud_Hill,woodland,Calluna_vulgaris,6.5,0
Cloud_Hill,heathland,Cardamine_flexuosa,0,0
Cloud_Hill,woodland,Cardamine_flexuosa,2,8
Cloud_Hill,heathland,Carex_nigra,8,0
Cloud_Hill,woodland,Carex_nigra,0,0
Cloud_Hill,heathland,Corylus_avellana,0,0
Cloud_Hill,woodland,Corylus_avellana,1,0
Cloud_Hill,heathland,Dactylorhiza_fuchsii,1,0
Cloud_Hill,woodland,Dactylorhiza_fuchsii,0,0
Cloud_Hill,heathland,Deschampia_flexuosa,0,0
Cloud_Hill,woodland,Deschampia_flexuosa,1,1
Cloud_Hill,heathland,Dryopteris_sp.,7,0
Cloud_Hill,woodland,Dryopteris_sp.,6.91666666666667,0
Cloud_Hill,heathland,Erica_cinerea,7.12903225806452,68.0967741935484
Cloud_Hill,woodland,Erica_cinerea,3,11
Cloud_Hill,heathland,Erica_tetralix,5.25,0
Cloud_Hill,woodland,Erica_tetralix,0,0
Cloud_Hill,heathland,Galium_mollugo,0,0
Cloud_Hill,woodland,Galium_mollugo,10,0
Cloud_Hill,heathland,Grass,10.3846153846154,0
Cloud_Hill,woodland,Grass,17,0
Cloud_Hill,heathland,Grass_11,1,1
Cloud_Hill,woodland,Grass_11,0,0
Cloud_Hill,heathland,Holcus_lanatus,0,0
Cloud_Hill,woodland,Holcus_lanatus,1,1
Cloud_Hill,heathland,Hyacinthoides_non-scripta,0,0
Cloud_Hill,woodland,Hyacinthoides_non-scripta,1,1
Cloud_Hill,heathland,Ilex_aquifolium,1,0
Cloud_Hill,woodland,Ilex_aquifolium,0,0
Cloud_Hill,heathland,Melampyrum_pratense,0,0
Cloud_Hill,woodland,Melampyrum_pratense,8.36363636363636,7.09090909090909
Cloud_Hill,heathland,moss,0,0
Cloud_Hill,woodland,moss,1,1
Cloud_Hill,heathland,Oxalis_acetosella,0,0
Cloud_Hill,woodland,Oxalis_acetosella,3.81818181818182,0
Cloud_Hill,heathland,Potentilla_erecta,2.8,2.2
Cloud_Hill,woodland,Potentilla_erecta,5.57142857142857,1.57142857142857
Cloud_Hill,heathland,Quercus_petraea,1,0
Cloud_Hill,woodland,Quercus_petraea,12,0
Cloud_Hill,heathland,Quercus_robur,2,0
Cloud_Hill,woodland,Quercus_robur,0.6,0
Cloud_Hill,heathland,Rhododendron_ponticum,1,0
Cloud_Hill,woodland,Rhododendron_ponticum,0,0
Cloud_Hill,heathland,Rubus_fruiticosus,0,0
Cloud_Hill,woodland,Rubus_fruiticosus,1,0
Cloud_Hill,heathland,Rubus_fruticosus,0,0
Cloud_Hill,woodland,Rubus_fruticosus,0,0
Cloud_Hill,heathland,Rubus_fruticosus_agg.,0,0
Cloud_Hill,woodland,Rubus_fruticosus_agg.,1,1
Cloud_Hill,heathland,Rumex_acetosa,0,0
Cloud_Hill,woodland,Rumex_acetosa,2.5,0
Cloud_Hill,heathland,Sorbus_aucuparia,1,0
Cloud_Hill,woodland,Sorbus_aucuparia,1,0
Cloud_Hill,heathland,Stellaria_sp.,0,0
Cloud_Hill,woodland,Stellaria_sp.,1,0
Cloud_Hill,heathland,Ulex_europaeus,5,0
Cloud_Hill,woodland,Ulex_europaeus,0,0
Cloud_Hill,heathland,Vaccinium_myrtillus,12.3548387096774,0
Cloud_Hill,woodland,Vaccinium_myrtillus,18.8709677419355,0
