Site,Habitat,PlSpecies,CP,FU
Dartmoor_Scrub,scrub,Betula_pendula,1,0
Dartmoor_Scrub,scrub,Calluna_vulgaris,9.85714285714286,997.224489795918
Dartmoor_Scrub,scrub,Cuscuta_epithymum,7,48.5
Dartmoor_Scrub,scrub,Dryopteris_sp.,15.8333333333333,0
Dartmoor_Scrub,scrub,Erica,8,0
Dartmoor_Scrub,scrub,Erica_cinerea,5.09302325581395,251.767441860465
Dartmoor_Scrub,scrub,Erica_tetralix,2.09090909090909,4.36363636363636
Dartmoor_Scrub,scrub,Euphrasia_nemorosa,6,6
Dartmoor_Scrub,scrub,Galium_saxatile,1,0
Dartmoor_Scrub,scrub,Grass,1,0
Dartmoor_Scrub,scrub,Ilex_aquifolium,1,0
Dartmoor_Scrub,scrub,Leontodon_hispidus,1,0
Dartmoor_Scrub,scrub,Polygala_serpyllifolia,0.3,1.7
Dartmoor_Scrub,scrub,Potentilla_erecta,4.25,2
Dartmoor_Scrub,scrub,Pteridium_aquilinum,1,1
Dartmoor_Scrub,scrub,Pteridium_sp.,4,0
Dartmoor_Scrub,scrub,Rubus_fruiticosus,5.2,0
Dartmoor_Scrub,scrub,Rubus_fruticosus,7.25,0
Dartmoor_Scrub,scrub,Rubus_fruticosus_agg.,1,1
Dartmoor_Scrub,scrub,Senecio_jacobaea,1,0
Dartmoor_Scrub,scrub,Taraxacum_agg.,1,0
Dartmoor_Scrub,scrub,Ulex_europaeus,25.0952380952381,59.6666666666667
Dartmoor_Scrub,scrub,Vaccinium_myrtillus,2.5,0
