Site,Habitat,PlSpecies,CP,FU
Dolebury_Warren,grassland,Achillea_millefolium,3.11111111111111,0
Dolebury_Warren,scrub,Achillea_millefolium,0,0
Dolebury_Warren,woodland,Achillea_millefolium,0,0
Dolebury_Warren,grassland,Ajuga_reptans,2,0
Dolebury_Warren,scrub,Ajuga_reptans,0,0
Dolebury_Warren,woodland,Ajuga_reptans,0,0
Dolebury_Warren,grassland,Arum_maculatum,0,0
Dolebury_Warren,scrub,Arum_maculatum,0,0
Dolebury_Warren,woodland,Arum_maculatum,1,0
Dolebury_Warren,grassland,Bellis_perennis,0.5,1
Dolebury_Warren,scrub,Bellis_perennis,0,0
Dolebury_Warren,woodland,Bellis_perennis,0,0
Dolebury_Warren,grassland,Blackstonia_perfoliata,1,0
Dolebury_Warren,scrub,Blackstonia_perfoliata,1,0
Dolebury_Warren,woodland,Blackstonia_perfoliata,0,0
Dolebury_Warren,grassland,Campanula_rotundifolia,0,0
Dolebury_Warren,scrub,Campanula_rotundifolia,1,1
Dolebury_Warren,woodland,Campanula_rotundifolia,0,0
Dolebury_Warren,grassland,Centaurium_erythraea,1,0
Dolebury_Warren,scrub,Centaurium_erythraea,1,0
Dolebury_Warren,woodland,Centaurium_erythraea,0,0
Dolebury_Warren,grassland,Cerastium_fontanum,1.375,0.25
Dolebury_Warren,scrub,Cerastium_fontanum,2,0
Dolebury_Warren,woodland,Cerastium_fontanum,0,0
Dolebury_Warren,grassland,Circaea_lutetiana,0,0
Dolebury_Warren,scrub,Circaea_lutetiana,0,0
Dolebury_Warren,woodland,Circaea_lutetiana,7.5,0
Dolebury_Warren,grassland,Cirsium_arvense,0.75,0
Dolebury_Warren,scrub,Cirsium_arvense,2,0
Dolebury_Warren,woodland,Cirsium_arvense,0,0
Dolebury_Warren,grassland,Cirsium_eriophorum,1,0
Dolebury_Warren,scrub,Cirsium_eriophorum,1,1
Dolebury_Warren,woodland,Cirsium_eriophorum,0,0
Dolebury_Warren,grassland,Cirsium_palustre,3.16666666666667,0
Dolebury_Warren,scrub,Cirsium_palustre,1,0
Dolebury_Warren,woodland,Cirsium_palustre,0,0
Dolebury_Warren,grassland,Cirsium_vulgare,1,0
Dolebury_Warren,scrub,Cirsium_vulgare,2.5,0
Dolebury_Warren,woodland,Cirsium_vulgare,0,0
Dolebury_Warren,grassland,Convolvulus_arvensis,0,0
Dolebury_Warren,scrub,Convolvulus_arvensis,0,0
Dolebury_Warren,woodland,Convolvulus_arvensis,1,0
Dolebury_Warren,grassland,Crataegus_monogyna,5.25,0
Dolebury_Warren,scrub,Crataegus_monogyna,11.3888888888889,0
Dolebury_Warren,woodland,Crataegus_monogyna,11.5,0
Dolebury_Warren,grassland,Crepis_capillaris,3,0.5
Dolebury_Warren,scrub,Crepis_capillaris,1,1
Dolebury_Warren,woodland,Crepis_capillaris,0,0
Dolebury_Warren,grassland,Dryopteris_sp.,0,0
Dolebury_Warren,scrub,Dryopteris_sp.,23.8333333333333,0
Dolebury_Warren,woodland,Dryopteris_sp.,11.3333333333333,0
Dolebury_Warren,grassland,Erica_cinerea,0,0
Dolebury_Warren,scrub,Erica_cinerea,7.83333333333333,127.166666666667
Dolebury_Warren,woodland,Erica_cinerea,0,0
Dolebury_Warren,grassland,Euphrasia_nemorosa,6.75,19.5
Dolebury_Warren,scrub,Euphrasia_nemorosa,0,0
Dolebury_Warren,woodland,Euphrasia_nemorosa,0,0
Dolebury_Warren,grassland,Fragaria_vesca,1,0
Dolebury_Warren,scrub,Fragaria_vesca,6.72727272727273,0.545454545454545
Dolebury_Warren,woodland,Fragaria_vesca,8.66666666666667,0
Dolebury_Warren,grassland,Fraxinus_excelsior,0,0
Dolebury_Warren,scrub,Fraxinus_excelsior,13.3333333333333,0
Dolebury_Warren,woodland,Fraxinus_excelsior,10.9130434782609,0
Dolebury_Warren,grassland,Galium_aparine,0,0
Dolebury_Warren,scrub,Galium_aparine,0,0
Dolebury_Warren,woodland,Galium_aparine,2,0
Dolebury_Warren,grassland,Galium_verum,6.23529411764706,5.17647058823529
Dolebury_Warren,scrub,Galium_verum,2.71428571428571,0
Dolebury_Warren,woodland,Galium_verum,0,0
Dolebury_Warren,grassland,Geranium_columbinum,1,0
Dolebury_Warren,scrub,Geranium_columbinum,0,0
Dolebury_Warren,woodland,Geranium_columbinum,0,0
Dolebury_Warren,grassland,Geranium_robertianum,0,0
Dolebury_Warren,scrub,Geranium_robertianum,0,0
Dolebury_Warren,woodland,Geranium_robertianum,4,0
