Site,Habitat,PlSpecies,CP,FU
Dunkery_Hill,heathland,Betula_pendula,1,0
Dunkery_Hill,heathland,Calluna_vulgaris,23.8202247191011,370.966666666667
Dunkery_Hill,heathland,Erica_cinerea,8.36507936507937,106.174603174603
Dunkery_Hill,heathland,Erica_tetralix,5.83333333333333,1.66666666666667
Dunkery_Hill,heathland,Galium_saxatile,1,0
Dunkery_Hill,heathland,Grass,6.66666666666667,0
Dunkery_Hill,heathland,Grass_10,1,1
Dunkery_Hill,heathland,Hypochaeris_radicata,1,1
Dunkery_Hill,heathland,Melampyrum_pratense,1,1
Dunkery_Hill,heathland,moss,1,1
Dunkery_Hill,heathland,Polygala_serpyllifolia,1,4
Dunkery_Hill,heathland,Potentilla_erecta,5,10.4
Dunkery_Hill,heathland,Rumex_acetosella,1,20
Dunkery_Hill,heathland,Rush,1,0
Dunkery_Hill,heathland,Ulex_europaeus,12,0
Dunkery_Hill,heathland,Ulex_minor,5,0
Dunkery_Hill,heathland,Vaccinium_myrtillus,10.2820512820513,2.6875
Dunkery_Hill,heathland,Veronica_officinalis,1,0
