Site,Habitat,PlSpecies,CP,FU
Forest_of_Dean,woodland,Anemone_nemorosa,11.3333333333333,0
Forest_of_Dean,woodland,Betula_pendula,5.5,0
Forest_of_Dean,woodland,Corylus_avellana,18,0
Forest_of_Dean,woodland,Crataegus_monogyna,1,0
Forest_of_Dean,woodland,Deschampsia_cespitosa,1,1
Forest_of_Dean,woodland,Digitalis_purpurea,1.5,0
Forest_of_Dean,woodland,Dryopteris_sp.,5.42857142857143,0
Forest_of_Dean,woodland,Euphorbia_amygdaloides,12,160
Forest_of_Dean,woodland,Fagus_sylvatica,20.4444444444444,0
Forest_of_Dean,woodland,Fraxinus_excelsior,1,0
Forest_of_Dean,woodland,Galium_aparine,1,13
Forest_of_Dean,woodland,Galium_mollugo,3,0
Forest_of_Dean,woodland,Galium_sp,2,0
Forest_of_Dean,woodland,Geranium_robertianum,1,0
Forest_of_Dean,woodland,Grass,1,0
Forest_of_Dean,woodland,Hedera_helix,0.916666666666667,0
Forest_of_Dean,woodland,Hieracium_agg.,1,1
Forest_of_Dean,woodland,Holcus_lanatus,1,1
Forest_of_Dean,woodland,Hyacinthoides_non-scripta,1.73076923076923,0.703703703703704
Forest_of_Dean,woodland,Hypericum_perforatum,2,1
Forest_of_Dean,woodland,Ilex_aquifolium,0.5,0
Forest_of_Dean,woodland,Larix_decidua,1,0
Forest_of_Dean,woodland,Lonicera_periclymenum,1.08333333333333,0
Forest_of_Dean,woodland,Luzula_campestris,1,0
Forest_of_Dean,woodland,Lysimachia_nemorum,2,1.66666666666667
Forest_of_Dean,woodland,Medicago_lupulina,2,0
Forest_of_Dean,woodland,Melampyrum_pratense,1,0
Forest_of_Dean,woodland,moss,1,1
Forest_of_Dean,woodland,Oxalis_acetosella,1.46153846153846,0
Forest_of_Dean,woodland,Pinus_nigra,1,0
Forest_of_Dean,woodland,Pinus_sylvestris,2,0
Forest_of_Dean,woodland,Potentilla_erecta,8.5,0.5
Forest_of_Dean,woodland,Potentilla_sterilis,1,0
Forest_of_Dean,woodland,Pteridium_aquilinum,1,1
Forest_of_Dean,woodland,Quercus_petraea,0.5,0
Forest_of_Dean,woodland,Quercus_robur,2.61538461538462,0
Forest_of_Dean,woodland,Quercus_sp.,1,0
Forest_of_Dean,woodland,Ranunculus_flammula,1,1
Forest_of_Dean,woodland,Ranunculus_repens,1,0
Forest_of_Dean,woodland,Rosa_arvensis,2.5,0
Forest_of_Dean,woodland,Rubus_fruiticosus,2.55555555555556,0
Forest_of_Dean,woodland,Rubus_fruticosus,1.46153846153846,0
Forest_of_Dean,woodland,Rubus_fruticosus_agg.,1,1
Forest_of_Dean,woodland,Rush,1,0
Forest_of_Dean,woodland,Sedge,1,0
Forest_of_Dean,woodland,Stellaria_holostea,3,0
Forest_of_Dean,woodland,Taraxacum_agg.,1,0
Forest_of_Dean,woodland,Taxus_baccata,36,0
Forest_of_Dean,woodland,Teucrium_scorodonia,1,0
Forest_of_Dean,woodland,Vaccinium_myrtillus,2.33333333333333,0
Forest_of_Dean,woodland,Veronica_persica,1,0
Forest_of_Dean,woodland,Viola_riviniana,3,0
