Site,Habitat,PlSpecies,CP,FU
Haddon_Hill,heathland,Betula_pendula,1,0
Haddon_Hill,scrub,Betula_pendula,18.2857142857143,0
Haddon_Hill,woodland,Betula_pendula,24.5,0
Haddon_Hill,heathland,Calluna_vulgaris,9,0
Haddon_Hill,scrub,Calluna_vulgaris,7.5625,0
Haddon_Hill,woodland,Calluna_vulgaris,0,0
Haddon_Hill,heathland,Cardamine_flexuosa,0,0
Haddon_Hill,scrub,Cardamine_flexuosa,0,0
Haddon_Hill,woodland,Cardamine_flexuosa,0,0
Haddon_Hill,heathland,Carpinus_betulus,0,0
Haddon_Hill,scrub,Carpinus_betulus,0,0
Haddon_Hill,woodland,Carpinus_betulus,36,0
Haddon_Hill,heathland,Corylus_avellana,0,0
Haddon_Hill,scrub,Corylus_avellana,0,0
Haddon_Hill,woodland,Corylus_avellana,0,0
Haddon_Hill,heathland,Digitalis_purpurea,0,0
Haddon_Hill,scrub,Digitalis_purpurea,0,0
Haddon_Hill,woodland,Digitalis_purpurea,1,0
Haddon_Hill,heathland,Dryopteris_sp.,9,0
Haddon_Hill,scrub,Dryopteris_sp.,2.5,0
Haddon_Hill,woodland,Dryopteris_sp.,2,0
Haddon_Hill,heathland,Erica_cinerea,22,0
Haddon_Hill,scrub,Erica_cinerea,4,0
Haddon_Hill,woodland,Erica_cinerea,0,0
Haddon_Hill,heathland,Erica_tetralix,2.875,0.647058823529412
Haddon_Hill,scrub,Erica_tetralix,2.1,0
Haddon_Hill,woodland,Erica_tetralix,0,0
Haddon_Hill,heathland,Fagus_sylvatica,0,0
Haddon_Hill,scrub,Fagus_sylvatica,0,0
Haddon_Hill,woodland,Fagus_sylvatica,23,0
Haddon_Hill,heathland,Fraxinus_excelsior,0,0
Haddon_Hill,scrub,Fraxinus_excelsior,1,0
Haddon_Hill,woodland,Fraxinus_excelsior,1,0
Haddon_Hill,heathland,Grass,21.0909090909091,0
Haddon_Hill,scrub,Grass,26.1111111111111,0
Haddon_Hill,woodland,Grass,5.2,0
Haddon_Hill,heathland,Grass_10,1,1
Haddon_Hill,scrub,Grass_10,0,0
Haddon_Hill,woodland,Grass_10,0,0
Haddon_Hill,heathland,Hedera_helix,0,0
Haddon_Hill,scrub,Hedera_helix,0,0
Haddon_Hill,woodland,Hedera_helix,1,0
Haddon_Hill,heathland,Hyacinthoides_non-scripta,0,0
Haddon_Hill,scrub,Hyacinthoides_non-scripta,0,0
Haddon_Hill,woodland,Hyacinthoides_non-scripta,4,0
Haddon_Hill,heathland,Ilex_aquifolium,0,0
Haddon_Hill,scrub,Ilex_aquifolium,0,0
Haddon_Hill,woodland,Ilex_aquifolium,28,0
Haddon_Hill,heathland,Lonicera_periclymenum,0,0
Haddon_Hill,scrub,Lonicera_periclymenum,0,0
Haddon_Hill,woodland,Lonicera_periclymenum,1,0
Haddon_Hill,heathland,Melampyrum_pratense,2,2
Haddon_Hill,scrub,Melampyrum_pratense,1,0
Haddon_Hill,woodland,Melampyrum_pratense,0,0
Haddon_Hill,heathland,Oxalis_acetosella,0,0
Haddon_Hill,scrub,Oxalis_acetosella,0,0
Haddon_Hill,woodland,Oxalis_acetosella,3.07692307692308,0.0769230769230769
Haddon_Hill,heathland,Pedicularis_palustris,0,0
Haddon_Hill,scrub,Pedicularis_palustris,2,5
Haddon_Hill,woodland,Pedicularis_palustris,0,0
Haddon_Hill,heathland,Polygala_calcarea,0,0
Haddon_Hill,scrub,Polygala_calcarea,0,0
Haddon_Hill,woodland,Polygala_calcarea,0,0
Haddon_Hill,heathland,Polygala_serpyllifolia,1,1
Haddon_Hill,scrub,Polygala_serpyllifolia,0,0
Haddon_Hill,woodland,Polygala_serpyllifolia,0,0
Haddon_Hill,heathland,Potentilla_erecta,1,1.33333333333333
Haddon_Hill,scrub,Potentilla_erecta,2.25,1
Haddon_Hill,woodland,Potentilla_erecta,0,0
Haddon_Hill,heathland,Pteridium_aquilinum,0,0
Haddon_Hill,scrub,Pteridium_aquilinum,1,1
Haddon_Hill,woodland,Pteridium_aquilinum,0,0
Haddon_Hill,heathland,Pteridium_sp.,2.5,0
Haddon_Hill,scrub,Pteridium_sp.,8,0
Haddon_Hill,woodland,Pteridium_sp.,0,0
Haddon_Hill,heathland,Quercus_robur,0,0
Haddon_Hill,scrub,Quercus_robur,1,0
Haddon_Hill,woodland,Quercus_robur,3.66666666666667,0
Haddon_Hill,heathland,Ranunculus_bulbosus,0,0
Haddon_Hill,scrub,Ranunculus_bulbosus,0,0
Haddon_Hill,woodland,Ranunculus_bulbosus,0,0
Haddon_Hill,heathland,Ranunculus_repens,0,0
Haddon_Hill,scrub,Ranunculus_repens,0,0
Haddon_Hill,woodland,Ranunculus_repens,1,1
Haddon_Hill,heathland,Rhododendron_ponticum,1,0
Haddon_Hill,scrub,Rhododendron_ponticum,1,0
Haddon_Hill,woodland,Rhododendron_ponticum,0,0
Haddon_Hill,heathland,Rhododendron_sp.,1,1
Haddon_Hill,scrub,Rhododendron_sp.,0,0
Haddon_Hill,woodland,Rhododendron_sp.,0,0
Haddon_Hill,heathland,Rubus_fruiticosus,1,0
Haddon_Hill,scrub,Rubus_fruiticosus,3.5,0
Haddon_Hill,woodland,Rubus_fruiticosus,6,0
Haddon_Hill,heathland,Rubus_fruticosus,0,0
Haddon_Hill,scrub,Rubus_fruticosus,0,0
Haddon_Hill,woodland,Rubus_fruticosus,2,0
Haddon_Hill,heathland,Rubus_fruticosus_agg.,0,0
