Site,Habitat,PlSpecies,CP,FU
Hangman_Hill,grassland,Achillea_millefolium,0,0
Hangman_Hill,heathland,Achillea_millefolium,0,0
Hangman_Hill,scrub,Achillea_millefolium,1,0
Hangman_Hill,grassland,Calluna_vulgaris,14.8636363636364,215.545454545455
Hangman_Hill,heathland,Calluna_vulgaris,27.96875,429.75
Hangman_Hill,scrub,Calluna_vulgaris,12.6,130
Hangman_Hill,grassland,Cerastium_fontanum,1,0
Hangman_Hill,heathland,Cerastium_fontanum,0,0
Hangman_Hill,scrub,Cerastium_fontanum,0,0
Hangman_Hill,grassland,Cirsium_arvense,1,0
Hangman_Hill,heathland,Cirsium_arvense,0,0
Hangman_Hill,scrub,Cirsium_arvense,1,0
Hangman_Hill,grassland,Cirsium_palustre,3,0
Hangman_Hill,heathland,Cirsium_palustre,0,0
Hangman_Hill,scrub,Cirsium_palustre,1,0
Hangman_Hill,grassland,Crataegus_monogyna,0,0
Hangman_Hill,heathland,Crataegus_monogyna,0,0
Hangman_Hill,scrub,Crataegus_monogyna,2,0
Hangman_Hill,grassland,Crepis_vesicaria,0,0
Hangman_Hill,heathland,Crepis_vesicaria,0,0
Hangman_Hill,scrub,Crepis_vesicaria,1,0
Hangman_Hill,grassland,Dactylorhiza_fuchsii,1,0
Hangman_Hill,heathland,Dactylorhiza_fuchsii,0,0
Hangman_Hill,scrub,Dactylorhiza_fuchsii,0,0
Hangman_Hill,grassland,Daucus_carota,1,0
Hangman_Hill,heathland,Daucus_carota,0,0
Hangman_Hill,scrub,Daucus_carota,0,0
Hangman_Hill,grassland,Digitalis_purpurea,1,0
Hangman_Hill,heathland,Digitalis_purpurea,0,0
Hangman_Hill,scrub,Digitalis_purpurea,1,0
Hangman_Hill,grassland,Dryopteris_sp.,11.5,0
Hangman_Hill,heathland,Dryopteris_sp.,11,0
Hangman_Hill,scrub,Dryopteris_sp.,15.875,0
Hangman_Hill,grassland,Erica_cinerea,2.64705882352941,13.5882352941176
Hangman_Hill,heathland,Erica_cinerea,3.53125,49.0625
Hangman_Hill,scrub,Erica_cinerea,7.7,39.3
Hangman_Hill,grassland,Erica_tetralix,1,0
Hangman_Hill,heathland,Erica_tetralix,0.666666666666667,0
Hangman_Hill,scrub,Erica_tetralix,0,0
Hangman_Hill,grassland,Euphrasia_nemorosa,0,0
Hangman_Hill,heathland,Euphrasia_nemorosa,0,0
Hangman_Hill,scrub,Euphrasia_nemorosa,1,3
Hangman_Hill,grassland,Festuca_ovina,1,1
Hangman_Hill,heathland,Festuca_ovina,0,0
Hangman_Hill,scrub,Festuca_ovina,0,0
Hangman_Hill,grassland,Galium_mollugo,5.5,43.5
Hangman_Hill,heathland,Galium_mollugo,0,0
Hangman_Hill,scrub,Galium_mollugo,3.66666666666667,252
Hangman_Hill,grassland,Galium_saxatile,5.5,0
Hangman_Hill,heathland,Galium_saxatile,0,0
Hangman_Hill,scrub,Galium_saxatile,7.69230769230769,0
Hangman_Hill,grassland,Grass,26,0
Hangman_Hill,heathland,Grass,0,0
Hangman_Hill,scrub,Grass,16.0555555555556,0
Hangman_Hill,grassland,Holcus_lanatus,1,1
