Site,Habitat,PlSpecies,CP,FU
Haytor,grassland,Calluna_vulgaris,4,192.857142857143
Haytor,scrub,Calluna_vulgaris,17.3030303030303,600.30303030303
Haytor,grassland,Crataegus_monogyna,1,0
Haytor,scrub,Crataegus_monogyna,0,0
Haytor,grassland,Cuscuta_epithymum,1,1
Haytor,scrub,Cuscuta_epithymum,1,0
Haytor,grassland,Dryopteris_sp.,19.8695652173913,0
Haytor,scrub,Dryopteris_sp.,1,0
Haytor,grassland,Erica_cinerea,3.6,32.4
Haytor,scrub,Erica_cinerea,7.45454545454545,35.25
Haytor,grassland,Erica_tetralix,3.75,14
Haytor,scrub,Erica_tetralix,5.25,1.75
Haytor,grassland,Galium_mollugo,22.5454545454545,142.181818181818
Haytor,scrub,Galium_mollugo,16.375,1
Haytor,grassland,Galium_saxatile,16.6521739130435,0
Haytor,scrub,Galium_saxatile,1,0
Haytor,grassland,Grass,1,0
Haytor,scrub,Grass,1,0
Haytor,grassland,Hypochaeris_radicata,1,1
Haytor,scrub,Hypochaeris_radicata,0,0
Haytor,grassland,Ilex_aquifolium,0,0
Haytor,scrub,Ilex_aquifolium,0,0
Haytor,grassland,Molinia_caerulea,1,1
Haytor,scrub,Molinia_caerulea,1,1
Haytor,grassland,Oxalis_acetosella,0,0
Haytor,scrub,Oxalis_acetosella,7.33333333333333,0
Haytor,grassland,Polygala_serpyllifolia,4.33333333333333,0.833333333333333
Haytor,scrub,Polygala_serpyllifolia,1,1
Haytor,grassland,Potentilla_erecta,3.27272727272727,1.95454545454545
Haytor,scrub,Potentilla_erecta,1.625,1.125
Haytor,grassland,Rubus_fruticosus,0,0
Haytor,scrub,Rubus_fruticosus,5,0
Haytor,grassland,Rumex_acetosa,1,0
Haytor,scrub,Rumex_acetosa,0,0
Haytor,grassland,Rumex_acetosella,0,0
Haytor,scrub,Rumex_acetosella,0,0
Haytor,grassland,Sedum_anglicum,1,0
Haytor,scrub,Sedum_anglicum,0,0
Haytor,grassland,Sorbus_aucuparia,0,0
Haytor,scrub,Sorbus_aucuparia,0,0
Haytor,grassland,Ulex_europaeus,6.83333333333333,33.5
Haytor,scrub,Ulex_europaeus,22.7272727272727,90.8529411764706
Haytor,grassland,Ulex_galii,1,1
Haytor,scrub,Ulex_galii,0,0
Haytor,grassland,Vaccinium_myrtillus,8.55555555555556,0
Haytor,scrub,Vaccinium_myrtillus,4.2,0.35
Haytor,grassland,Veronica_officinalis,3,0
Haytor,scrub,Veronica_officinalis,0,0
