Site,Habitat,PlSpecies,CP,FU
Hells_Mouth,scrub,Achillea_millefolium,2.25,0
Hells_Mouth,scrub,Arctium_minus,1,0
Hells_Mouth,scrub,Armeria_maritima,3,6
Hells_Mouth,scrub,Calluna_vulgaris,11,780.625
Hells_Mouth,scrub,Centaurea_nigra,0.5,2
Hells_Mouth,scrub,Chamerion_angustifolium,1,0
Hells_Mouth,scrub,Cirsium_arvense,2,0
Hells_Mouth,scrub,Cirsium_palustre,1,0
Hells_Mouth,scrub,Cirsium_vulgare,1,0
Hells_Mouth,scrub,Crataegus_monogyna,7.5,0
Hells_Mouth,scrub,Crepis_vesicaria,1,1
Hells_Mouth,scrub,Daucus_carota,2,0
Hells_Mouth,scrub,Digitalis_purpurea,2,0
Hells_Mouth,scrub,Erica_cinerea,17.955223880597,1453.22388059701
Hells_Mouth,scrub,Festuca_rubra,1,1
Hells_Mouth,scrub,Galium_saxatile,5.13333333333333,3.13333333333333
Hells_Mouth,scrub,Galium_verum,1,0
Hells_Mouth,scrub,Grass,1,0
Hells_Mouth,scrub,Hedera_helix,4,0
Hells_Mouth,scrub,Heracleum_sphondylium,3.5,0
Hells_Mouth,scrub,Holcus_lanatus,1,1
Hells_Mouth,scrub,Hyacinthoides_non-scripta,4,0
Hells_Mouth,scrub,Hypericum_linarifolium,1,0
Hells_Mouth,scrub,Hypochaeris_radicata,4,0
Hells_Mouth,scrub,Ilex_aquifolium,4,0
Hells_Mouth,scrub,Knautia_arvensis,2.33333333333333,0
Hells_Mouth,scrub,Leontodon_hispidus,1,0
Hells_Mouth,scrub,Lonicera_periclymenum,8.55555555555556,0
Hells_Mouth,scrub,Lotus_corniculatus,5,2.33333333333333
Hells_Mouth,scrub,Ononis_repens,1,0
Hells_Mouth,scrub,Oxalis_perennis,1,1
Hells_Mouth,scrub,Pedicularis_palustris,1,0
Hells_Mouth,scrub,Plantago_lanceolata,3.9375,0.1875
Hells_Mouth,scrub,Polygala_serpyllifolia,4,11
Hells_Mouth,scrub,Potentilla_anserina,1,0
Hells_Mouth,scrub,Potentilla_erecta,1.81818181818182,1.54545454545455
Hells_Mouth,scrub,Primula_veris,1,0
Hells_Mouth,scrub,Prunus_spinosa,6.71428571428571,0
Hells_Mouth,scrub,Ranunculus_bulbosus,1,0
Hells_Mouth,scrub,Rosa_rugosa,2,0
Hells_Mouth,scrub,Rosa_spinosissima,3.86666666666667,0.2
Hells_Mouth,scrub,Rubia_peregrina,3.32352941176471,0
Hells_Mouth,scrub,Rubus_fruiticosus,9.15625,0.0625
Hells_Mouth,scrub,Rubus_fruticosus,6.2,1.4
Hells_Mouth,scrub,Rubus_fruticosus_agg.,1,1
Hells_Mouth,scrub,Rumex_acetosa,1.2,12.4
Hells_Mouth,scrub,Rumex_acetosella,4,0
Hells_Mouth,scrub,Sanguisorba_minor,1,0
Hells_Mouth,scrub,Scilla_verna,1,0
Hells_Mouth,scrub,Sedum_sp.,1,0
Hells_Mouth,scrub,Senecio_jacobaea,1,0
Hells_Mouth,scrub,Serratula_tinctoria,3.5,0
Hells_Mouth,scrub,Silene_dioica,1,0
Hells_Mouth,scrub,Silene_uniflora,1,0.5
Hells_Mouth,scrub,Silene_vulgaris,2.5,3
Hells_Mouth,scrub,Solanum_dulcamara,3,4
Hells_Mouth,scrub,Solidago_virgaurea,4.4,0
Hells_Mouth,scrub,Stachys_officinalis,1,0
Hells_Mouth,scrub,Stellaria_holostea,1,1
Hells_Mouth,scrub,Succisa_pratensis,2,1
Hells_Mouth,scrub,Taraxacum_agg.,1,0
Hells_Mouth,scrub,Teucrium_scorodonia,3.96774193548387,3.03125
Hells_Mouth,scrub,Thymus_polytrichus,1,0
Hells_Mouth,scrub,Ulex_europaeus,22.6666666666667,7.15942028985507
Hells_Mouth,scrub,Vicia_cracca,1,0
Hells_Mouth,scrub,Viola_canina,5.61764705882353,0.285714285714286
Hells_Mouth,scrub,Viola_riviniana,2.33333333333333,0
