Site,Habitat,PlSpecies,CP,FU
Leigh_Woods,woodland,Acer_campestre,1.2,0
Leigh_Woods,woodland,Acer_pseudoplatanus,1.42857142857143,0
Leigh_Woods,woodland,Anemone_nemorosa,1,0
Leigh_Woods,woodland,Arum_maculatum,1,0
Leigh_Woods,woodland,Betula_pendula,4,0
Leigh_Woods,woodland,Carpinus_betulus,0,0
Leigh_Woods,woodland,Circaea_lutetiana,6,0
Leigh_Woods,woodland,Corylus_avellana,21.7142857142857,0
Leigh_Woods,woodland,Crataegus_monogyna,1,0
Leigh_Woods,woodland,Dryopteris_sp.,3.25,0
Leigh_Woods,woodland,Euphorbia_amygdaloides,1,0
Leigh_Woods,woodland,Fagus_sylvatica,7.33333333333333,0
Leigh_Woods,woodland,Fraxinus_excelsior,1.96363636363636,0
Leigh_Woods,woodland,Geum_urbanum,3,0
Leigh_Woods,woodland,Grass,1,0
Leigh_Woods,woodland,Hedera_helix,7.75925925925926,0
Leigh_Woods,woodland,Hyacinthoides_non-scripta,6.80952380952381,1.61904761904762
Leigh_Woods,woodland,Ilex_aquifolium,11.1818181818182,0
Leigh_Woods,woodland,Lamiastrum_galeobdolon,1,0
Leigh_Woods,woodland,Lathraea_squamaria,1,0
Leigh_Woods,woodland,Ligustrum_ovalifolium,1,0
Leigh_Woods,woodland,Lonicera_periclymenum,2.5,0
Leigh_Woods,woodland,Mercurialis_perennis,10,0
Leigh_Woods,woodland,Pteridium_aquilinum,1,1
Leigh_Woods,woodland,Quercus_robur,5.2,0
Leigh_Woods,woodland,Rhododendron_ponticum,0,0
Leigh_Woods,woodland,Rubus_fruiticosus,1.375,0
Leigh_Woods,woodland,Rubus_fruticosus,1.28571428571429,0
Leigh_Woods,woodland,Rubus_fruticosus_agg.,1,1
Leigh_Woods,woodland,Sanicula_europaea,1,1
Leigh_Woods,woodland,Taraxacum_agg.,1,0
Leigh_Woods,woodland,Taxus_baccata,21.3939393939394,0
Leigh_Woods,woodland,Tilia_cordata,8.4,0
Leigh_Woods,woodland,Tiliax_europaea,14.5,0
Leigh_Woods,woodland,Ulmus_glabra,1,0
Leigh_Woods,woodland,Viola_riviniana,3.44444444444444,0
