Site,Habitat,PlSpecies,CP,FU
Lytchett_Bay,salt_marsh,America_maritima,1,0
Lytchett_Bay,scrub,America_maritima,0,0
Lytchett_Bay,woodland,America_maritima,0,0
Lytchett_Bay,salt_marsh,Armeria_maritima,1,0
Lytchett_Bay,scrub,Armeria_maritima,0,0
Lytchett_Bay,woodland,Armeria_maritima,0,0
Lytchett_Bay,salt_marsh,Aster_tripolium,4.5,0
Lytchett_Bay,scrub,Aster_tripolium,0,0
Lytchett_Bay,woodland,Aster_tripolium,0,0
Lytchett_Bay,salt_marsh,Betula_pendula,0,0
Lytchett_Bay,scrub,Betula_pendula,8.5,0
Lytchett_Bay,woodland,Betula_pendula,4,0
Lytchett_Bay,salt_marsh,Calluna_vulgaris,0,0
Lytchett_Bay,scrub,Calluna_vulgaris,11.4285714285714,0
Lytchett_Bay,woodland,Calluna_vulgaris,0,0
Lytchett_Bay,salt_marsh,Castanea_sativa,0,0
Lytchett_Bay,scrub,Castanea_sativa,0,0
Lytchett_Bay,woodland,Castanea_sativa,1,0
Lytchett_Bay,salt_marsh,Cirsium_arvense,0,0
Lytchett_Bay,scrub,Cirsium_arvense,1,0
Lytchett_Bay,woodland,Cirsium_arvense,0,0
Lytchett_Bay,salt_marsh,Cochlearia_anglica,1.5,1
Lytchett_Bay,scrub,Cochlearia_anglica,0,0
Lytchett_Bay,woodland,Cochlearia_anglica,0,0
Lytchett_Bay,salt_marsh,Convolvulus_arvensis,0,0
Lytchett_Bay,scrub,Convolvulus_arvensis,6.66666666666667,0
Lytchett_Bay,woodland,Convolvulus_arvensis,0,0
Lytchett_Bay,salt_marsh,Corylus_avellana,0,0
Lytchett_Bay,scrub,Corylus_avellana,0,0
Lytchett_Bay,woodland,Corylus_avellana,1,0
Lytchett_Bay,salt_marsh,Dryopteris_sp.,0,0
Lytchett_Bay,scrub,Dryopteris_sp.,4,0
Lytchett_Bay,woodland,Dryopteris_sp.,0,0
Lytchett_Bay,salt_marsh,Epilobium_montanum,0,0
Lytchett_Bay,scrub,Epilobium_montanum,2,1
Lytchett_Bay,woodland,Epilobium_montanum,0,0
Lytchett_Bay,salt_marsh,Erica_cinerea,0,0
Lytchett_Bay,scrub,Erica_cinerea,7.5,209
Lytchett_Bay,woodland,Erica_cinerea,0,0
Lytchett_Bay,salt_marsh,Erica_tetralix,0,0
Lytchett_Bay,scrub,Erica_tetralix,4.75,9.25
Lytchett_Bay,woodland,Erica_tetralix,0,0
Lytchett_Bay,salt_marsh,Fraxinus_excelsior,0,0
Lytchett_Bay,scrub,Fraxinus_excelsior,0,0
Lytchett_Bay,woodland,Fraxinus_excelsior,1,0
Lytchett_Bay,salt_marsh,Galium_aparine,0,0
Lytchett_Bay,scrub,Galium_aparine,0,0
Lytchett_Bay,woodland,Galium_aparine,1,3
Lytchett_Bay,salt_marsh,Galium_mollugo,0,0
Lytchett_Bay,scrub,Galium_mollugo,2,25
Lytchett_Bay,woodland,Galium_mollugo,0,0
Lytchett_Bay,salt_marsh,Grass,1,0
Lytchett_Bay,scrub,Grass,1,0
Lytchett_Bay,woodland,Grass,1,0
Lytchett_Bay,salt_marsh,Halimione_portulacoides,10.9473684210526,13.3157894736842
Lytchett_Bay,scrub,Halimione_portulacoides,0,0
Lytchett_Bay,woodland,Halimione_portulacoides,0,0
Lytchett_Bay,salt_marsh,Hedera_helix,0,0
Lytchett_Bay,scrub,Hedera_helix,2.66666666666667,0
Lytchett_Bay,woodland,Hedera_helix,1.5,0
Lytchett_Bay,salt_marsh,Hyacinthoides_non-scripta,0,0
Lytchett_Bay,scrub,Hyacinthoides_non-scripta,0,0
Lytchett_Bay,woodland,Hyacinthoides_non-scripta,1,0
Lytchett_Bay,salt_marsh,Ilex_aquifolium,0,0
Lytchett_Bay,scrub,Ilex_aquifolium,0,0
Lytchett_Bay,woodland,Ilex_aquifolium,8.55555555555556,0
Lytchett_Bay,salt_marsh,Juncaceae_sp.,0,0
Lytchett_Bay,scrub,Juncaceae_sp.,0,0
Lytchett_Bay,woodland,Juncaceae_sp.,1,0
Lytchett_Bay,salt_marsh,Juncus_sp.,0,0
Lytchett_Bay,scrub,Juncus_sp.,0,0
Lytchett_Bay,woodland,Juncus_sp.,1,1
Lytchett_Bay,salt_marsh,Limonium_vulgare,1,0
Lytchett_Bay,scrub,Limonium_vulgare,2,0
Lytchett_Bay,woodland,Limonium_vulgare,0,0
Lytchett_Bay,salt_marsh,Lonicera_periclymenum,0,0
Lytchett_Bay,scrub,Lonicera_periclymenum,1,0
Lytchett_Bay,woodland,Lonicera_periclymenum,4.22222222222222,0
Lytchett_Bay,salt_marsh,Phragmites_australis,1,0
Lytchett_Bay,scrub,Phragmites_australis,0,0
Lytchett_Bay,woodland,Phragmites_australis,0,0
Lytchett_Bay,salt_marsh,Plantago_maritima,11.1333333333333,0.266666666666667
Lytchett_Bay,scrub,Plantago_maritima,0,0
Lytchett_Bay,woodland,Plantago_maritima,0,0
Lytchett_Bay,salt_marsh,Potentilla_erecta,0,0
Lytchett_Bay,scrub,Potentilla_erecta,1,0
Lytchett_Bay,woodland,Potentilla_erecta,0,0
Lytchett_Bay,salt_marsh,Potentilla_reptans,0,0
Lytchett_Bay,scrub,Potentilla_reptans,20.5,5.5
Lytchett_Bay,woodland,Potentilla_reptans,0,0
Lytchett_Bay,salt_marsh,Quercus_robur,0,0
Lytchett_Bay,scrub,Quercus_robur,1,0
Lytchett_Bay,woodland,Quercus_robur,1,0
Lytchett_Bay,salt_marsh,Ranunculus_acris,0,0
Lytchett_Bay,scrub,Ranunculus_acris,1,1
Lytchett_Bay,woodland,Ranunculus_acris,0,0
Lytchett_Bay,salt_marsh,Rubus_fruiticosus,0,0
Lytchett_Bay,scrub,Rubus_fruiticosus,15.375,0.666666666666667
Lytchett_Bay,woodland,Rubus_fruiticosus,4.47058823529412,0
Lytchett_Bay,salt_marsh,Rubus_fruticosus,0,0
Lytchett_Bay,scrub,Rubus_fruticosus,3,0
Lytchett_Bay,woodland,Rubus_fruticosus,8.42857142857143,0
Lytchett_Bay,salt_marsh,Rubus_fruticosus_agg.,0,0
Lytchett_Bay,scrub,Rubus_fruticosus_agg.,1,1
Lytchett_Bay,woodland,Rubus_fruticosus_agg.,1,1
Lytchett_Bay,salt_marsh,Rush,1,0
Lytchett_Bay,scrub,Rush,1,0
Lytchett_Bay,woodland,Rush,1,0
Lytchett_Bay,salt_marsh,Salicornia_europaea,2.66666666666667,0
Lytchett_Bay,scrub,Salicornia_europaea,0,0
Lytchett_Bay,woodland,Salicornia_europaea,0,0
Lytchett_Bay,salt_marsh,Salicornia_perennis,4.4,0
Lytchett_Bay,scrub,Salicornia_perennis,0,0
Lytchett_Bay,woodland,Salicornia_perennis,0,0
Lytchett_Bay,salt_marsh,Sarcocornia_perennis,0.5,0
Lytchett_Bay,scrub,Sarcocornia_perennis,0,0
Lytchett_Bay,woodland,Sarcocornia_perennis,0,0
Lytchett_Bay,salt_marsh,Sedge,0,0
Lytchett_Bay,scrub,Sedge,1,0
Lytchett_Bay,woodland,Sedge,0,0
Lytchett_Bay,salt_marsh,Sedum_anglicum,0,0
Lytchett_Bay,scrub,Sedum_anglicum,0,0
Lytchett_Bay,woodland,Sedum_anglicum,0,0
Lytchett_Bay,salt_marsh,Senecio_jacobaea,0,0
Lytchett_Bay,scrub,Senecio_jacobaea,1,0
Lytchett_Bay,woodland,Senecio_jacobaea,0,0
Lytchett_Bay,salt_marsh,Spartina_anglica,19.6,0
Lytchett_Bay,scrub,Spartina_anglica,0,0
Lytchett_Bay,woodland,Spartina_anglica,0,0
Lytchett_Bay,salt_marsh,Spergularia_media,1.3,0.3
