Site,Habitat,PlSpecies,CP,FU
Merthyr_Mawr,grassland,Achillea_millefolium,0,0
Merthyr_Mawr,salt_marsh,Achillea_millefolium,0,0
Merthyr_Mawr,sand_dune,Achillea_millefolium,1,0
Merthyr_Mawr,grassland,Agrimonia_eupatoria,1,0
Merthyr_Mawr,salt_marsh,Agrimonia_eupatoria,0,0
Merthyr_Mawr,sand_dune,Agrimonia_eupatoria,0,0
Merthyr_Mawr,grassland,Ammophila_sp.,0,0
Merthyr_Mawr,salt_marsh,Ammophila_sp.,0,0
Merthyr_Mawr,sand_dune,Ammophila_sp.,1,0
Merthyr_Mawr,grassland,Anacamptis_pyramidalis,1,36
Merthyr_Mawr,salt_marsh,Anacamptis_pyramidalis,0,0
Merthyr_Mawr,sand_dune,Anacamptis_pyramidalis,1,0
Merthyr_Mawr,grassland,Anagallis_arvensis,1,0
Merthyr_Mawr,salt_marsh,Anagallis_arvensis,0,0
Merthyr_Mawr,sand_dune,Anagallis_arvensis,0,0
Merthyr_Mawr,grassland,Armeria_maritima,0,0
Merthyr_Mawr,salt_marsh,Armeria_maritima,5.625,6
Merthyr_Mawr,sand_dune,Armeria_maritima,0,0
Merthyr_Mawr,grassland,Aster_tripolium,0,0
Merthyr_Mawr,salt_marsh,Aster_tripolium,11.4333333333333,0
Merthyr_Mawr,sand_dune,Aster_tripolium,0,0
Merthyr_Mawr,grassland,Calystegia_soldanella,1,0
Merthyr_Mawr,salt_marsh,Calystegia_soldanella,0,0
Merthyr_Mawr,sand_dune,Calystegia_soldanella,0,0
Merthyr_Mawr,grassland,Carlina_vulgaris,1,0
Merthyr_Mawr,salt_marsh,Carlina_vulgaris,0,0
Merthyr_Mawr,sand_dune,Carlina_vulgaris,0,0
Merthyr_Mawr,grassland,Centaurea_nigra,1,0
Merthyr_Mawr,salt_marsh,Centaurea_nigra,0,0
Merthyr_Mawr,sand_dune,Centaurea_nigra,0,0
Merthyr_Mawr,grassland,Centaurium_erythraea,0.75,0
Merthyr_Mawr,salt_marsh,Centaurium_erythraea,0,0
