Site,Habitat,PlSpecies,CP,FU
North_Hill,heathland,Betula_pendula,0,0
North_Hill,scrub,Betula_pendula,2,0
North_Hill,heathland,Calluna_vulgaris,26.5238095238095,94.2558139534884
North_Hill,scrub,Calluna_vulgaris,8.375,0.291666666666667
North_Hill,heathland,Cuscuta_epithymum,1,0
North_Hill,scrub,Cuscuta_epithymum,1.75,0
North_Hill,heathland,Digitalis_purpurea,0,0
North_Hill,scrub,Digitalis_purpurea,1,0
North_Hill,heathland,Dryopteris_sp.,0,0
North_Hill,scrub,Dryopteris_sp.,2,0
North_Hill,heathland,Erica_cinerea,8.21428571428571,177.488888888889
North_Hill,scrub,Erica_cinerea,12.5,695.571428571429
North_Hill,heathland,Erica_tetralix,1,1.88888888888889
North_Hill,scrub,Erica_tetralix,1,0
North_Hill,heathland,Galium_mollugo,0,0
North_Hill,scrub,Galium_mollugo,2,84
North_Hill,heathland,Galium_saxatile,1,0
North_Hill,scrub,Galium_saxatile,33,5130
North_Hill,heathland,Grass,4.6,0
North_Hill,scrub,Grass,7,0
North_Hill,heathland,Heracleum_sp.,0,0
North_Hill,scrub,Heracleum_sp.,1,1
North_Hill,heathland,Leontodon_hispidus,0,0
North_Hill,scrub,Leontodon_hispidus,1,0
North_Hill,heathland,Polygala_serpyllifolia,1,5
North_Hill,scrub,Polygala_serpyllifolia,1,3
North_Hill,heathland,Potentilla_erecta,1.33333333333333,0.333333333333333
North_Hill,scrub,Potentilla_erecta,1,0
North_Hill,heathland,Rubus_fruiticosus,0,0
North_Hill,scrub,Rubus_fruiticosus,8.14285714285714,0
North_Hill,heathland,Rubus_fruticosus,0,0
North_Hill,scrub,Rubus_fruticosus,2.5,0
North_Hill,heathland,Rubus_fruticosus_agg.,0,0
North_Hill,scrub,Rubus_fruticosus_agg.,1,1
North_Hill,heathland,Sorbus_aucuparia,1,0
North_Hill,scrub,Sorbus_aucuparia,1,0
North_Hill,heathland,Stellaria_holostea,0,0
North_Hill,scrub,Stellaria_holostea,1,1
North_Hill,heathland,Ulex_europaeus,9.89189189189189,0.230769230769231
North_Hill,scrub,Ulex_europaeus,25.3695652173913,10.6304347826087
North_Hill,heathland,Vaccinium_myrtillus,1,0
North_Hill,scrub,Vaccinium_myrtillus,3,0
