Site,Habitat,PlSpecies,CP,FU
Oxwich_Bay,grassland,Acer_pseudoplatanus,1,0
Oxwich_Bay,sand_dune,Acer_pseudoplatanus,0,0
Oxwich_Bay,scrub,Acer_pseudoplatanus,0,0
Oxwich_Bay,grassland,Achillea_millefolium,4,0
Oxwich_Bay,sand_dune,Achillea_millefolium,0,0
Oxwich_Bay,scrub,Achillea_millefolium,1,0
Oxwich_Bay,grassland,Agrimonia_eupatoria,2,0
Oxwich_Bay,sand_dune,Agrimonia_eupatoria,1,0
Oxwich_Bay,scrub,Agrimonia_eupatoria,1,0
Oxwich_Bay,grassland,Anacamptis_pyramidalis,1,0
Oxwich_Bay,sand_dune,Anacamptis_pyramidalis,0.5,1
Oxwich_Bay,scrub,Anacamptis_pyramidalis,1,0
Oxwich_Bay,grassland,Anthriscus_sylvestris,0,0
Oxwich_Bay,sand_dune,Anthriscus_sylvestris,0,0
Oxwich_Bay,scrub,Anthriscus_sylvestris,1,1
Oxwich_Bay,grassland,Anthyllis_vulneraria,1,0
Oxwich_Bay,sand_dune,Anthyllis_vulneraria,1,0
Oxwich_Bay,scrub,Anthyllis_vulneraria,0,0
Oxwich_Bay,grassland,Bellis_perennis,1,0
Oxwich_Bay,sand_dune,Bellis_perennis,1,0
Oxwich_Bay,scrub,Bellis_perennis,1,0
Oxwich_Bay,grassland,Betula_pendula,0,0
Oxwich_Bay,sand_dune,Betula_pendula,1,0
Oxwich_Bay,scrub,Betula_pendula,36,0
Oxwich_Bay,grassland,Calluna_vulgaris,0,0
Oxwich_Bay,sand_dune,Calluna_vulgaris,2,8
Oxwich_Bay,scrub,Calluna_vulgaris,0,0
Oxwich_Bay,grassland,Calystegia_soldanella,0,0
Oxwich_Bay,sand_dune,Calystegia_soldanella,0,0
Oxwich_Bay,scrub,Calystegia_soldanella,0,0
Oxwich_Bay,grassland,Centaurea_nigra,0,0
Oxwich_Bay,sand_dune,Centaurea_nigra,1,0
Oxwich_Bay,scrub,Centaurea_nigra,0,0
Oxwich_Bay,grassland,Centaurium_erythraea,0,0
Oxwich_Bay,sand_dune,Centaurium_erythraea,1,0
