Site,Habitat,PlSpecies,CP,FU
Pembrey,salt_marsh,Ammophila_arenaria,0,0
Pembrey,sand_dune,Ammophila_arenaria,1,1
Pembrey,salt_marsh,Ammophila_sp.,0,0
Pembrey,sand_dune,Ammophila_sp.,1,0
Pembrey,salt_marsh,Anacamptis_pyramidalis,0,0
Pembrey,sand_dune,Anacamptis_pyramidalis,1,0
Pembrey,salt_marsh,Anthyllis_vulneraria,0,0
Pembrey,sand_dune,Anthyllis_vulneraria,3.5,0.357142857142857
Pembrey,salt_marsh,Arabis_hirsuta,0,0
Pembrey,sand_dune,Arabis_hirsuta,1,1
Pembrey,salt_marsh,Arais_hirsuta,0,0
Pembrey,sand_dune,Arais_hirsuta,1,4
Pembrey,salt_marsh,Armeria_maritima,1.5,0
Pembrey,sand_dune,Armeria_maritima,0,0
Pembrey,salt_marsh,Aster_tripolium,6.25,3.2
Pembrey,sand_dune,Aster_tripolium,0,0
Pembrey,salt_marsh,Atriplex_hastata,1,0
Pembrey,sand_dune,Atriplex_hastata,0,0
Pembrey,salt_marsh,Calluna_vulgaris,0,0
Pembrey,sand_dune,Calluna_vulgaris,1,0
Pembrey,salt_marsh,Centaurium_eritrea,0,0
Pembrey,sand_dune,Centaurium_eritrea,1,1
Pembrey,salt_marsh,Centaurium_erythraea,0,0
Pembrey,sand_dune,Centaurium_erythraea,2,0
Pembrey,salt_marsh,Cerastium_fontanum,0,0
Pembrey,sand_dune,Cerastium_fontanum,1.5,0
Pembrey,salt_marsh,Chamerion_angustifolium,0,0
Pembrey,sand_dune,Chamerion_angustifolium,1,0
Pembrey,salt_marsh,Cirsium_arvense,0,0
Pembrey,sand_dune,Cirsium_arvense,1,0
Pembrey,salt_marsh,Cirsium_vulgare,0,0
Pembrey,sand_dune,Cirsium_vulgare,1,0
Pembrey,salt_marsh,Cochlearia_anglica,13,6
Pembrey,sand_dune,Cochlearia_anglica,0,0
Pembrey,salt_marsh,Crepis_capillaris,0,0
Pembrey,sand_dune,Crepis_capillaris,4.5,1
Pembrey,salt_marsh,Crepis_vesicaria,0,0
Pembrey,sand_dune,Crepis_vesicaria,1.125,1.5
Pembrey,salt_marsh,Daucus_carota,0,0
Pembrey,sand_dune,Daucus_carota,2.5,0
Pembrey,salt_marsh,Dead_grass,0,0
Pembrey,sand_dune,Dead_grass,1,1
Pembrey,salt_marsh,Dryopteris_sp.,0,0
Pembrey,sand_dune,Dryopteris_sp.,4,0
Pembrey,salt_marsh,Epilobium_montanum,0,0
Pembrey,sand_dune,Epilobium_montanum,1,0
Pembrey,salt_marsh,Eryngium maritimum,0,0
Pembrey,sand_dune,Eryngium maritimum,2,0
Pembrey,salt_marsh,Eryngium_maritimum,0,0
Pembrey,sand_dune,Eryngium_maritimum,1.4,0
Pembrey,salt_marsh,Euphrasia_nemorosa,0,0
Pembrey,sand_dune,Euphrasia_nemorosa,9,13
Pembrey,salt_marsh,Festuca_rubra,1,1
Pembrey,sand_dune,Festuca_rubra,0,0
Pembrey,salt_marsh,Galium_aparine,0,0
Pembrey,sand_dune,Galium_aparine,9.5,9
Pembrey,salt_marsh,Galium_verum,0,0
Pembrey,sand_dune,Galium_verum,1,0
Pembrey,salt_marsh,Geranium_lucidum,0,0
Pembrey,sand_dune,Geranium_lucidum,3,1.66666666666667
Pembrey,salt_marsh,Geranium_molle,0,0
Pembrey,sand_dune,Geranium_molle,2,2
Pembrey,salt_marsh,Geranium_robertianum,0,0
Pembrey,sand_dune,Geranium_robertianum,2.16666666666667,0.166666666666667
Pembrey,salt_marsh,Glaux_maritima,3.71428571428571,0
Pembrey,sand_dune,Glaux_maritima,0,0
Pembrey,salt_marsh,Grass,1,0
Pembrey,sand_dune,Grass,0.5,0
Pembrey,salt_marsh,Grass_15,0,0
Pembrey,sand_dune,Grass_15,1,1
Pembrey,salt_marsh,Halimione_portulacoides,2.6,0
Pembrey,sand_dune,Halimione_portulacoides,1,0
Pembrey,salt_marsh,Hieracium_agg.,0,0
Pembrey,sand_dune,Hieracium_agg.,1,1
Pembrey,salt_marsh,Hieracium_sp.,0,0
Pembrey,sand_dune,Hieracium_sp.,1.33333333333333,0.666666666666667
Pembrey,salt_marsh,Hippophae_rhamnoides,0,0
Pembrey,sand_dune,Hippophae_rhamnoides,10.9545454545455,0
Pembrey,salt_marsh,Hippurus_vulgaris,0,0
Pembrey,sand_dune,Hippurus_vulgaris,1,0
Pembrey,salt_marsh,Hypochaeris_radicata,0,0
Pembrey,sand_dune,Hypochaeris_radicata,3.33333333333333,0.19047619047619
Pembrey,salt_marsh,Leontodon_hispidus,0,0
Pembrey,sand_dune,Leontodon_hispidus,4.16666666666667,0.666666666666667
Pembrey,salt_marsh,Leontodon_saxatilis,0,0
Pembrey,sand_dune,Leontodon_saxatilis,4.8,0
Pembrey,salt_marsh,Leontodon_sp.,0,0
Pembrey,sand_dune,Leontodon_sp.,1,0
Pembrey,salt_marsh,Limonium_vulgare,8.48387096774194,14.5
Pembrey,sand_dune,Limonium_vulgare,0,0
Pembrey,salt_marsh,Linum_catharticum,0,0
Pembrey,sand_dune,Linum_catharticum,2.75,0
Pembrey,salt_marsh,Lotus_corniculatus,0,0
Pembrey,sand_dune,Lotus_corniculatus,2,0
Pembrey,salt_marsh,Lotus_subbiflorus,0,0
Pembrey,sand_dune,Lotus_subbiflorus,3,0
Pembrey,salt_marsh,Medicago_lupulina,0,0
Pembrey,sand_dune,Medicago_lupulina,1,0
Pembrey,salt_marsh,Oenothera glazioviana,0,0
Pembrey,sand_dune,Oenothera glazioviana,1,0
Pembrey,salt_marsh,Oenothera_biennis,0,0
Pembrey,sand_dune,Oenothera_biennis,3.33333333333333,0
Pembrey,salt_marsh,Oenothera_glazioviana,0,0
Pembrey,sand_dune,Oenothera_glazioviana,1,0
Pembrey,salt_marsh,Oenothera_sp.,0,0
Pembrey,sand_dune,Oenothera_sp.,2,0
Pembrey,salt_marsh,Ononis_repens,0,0
Pembrey,sand_dune,Ononis_repens,11.5,12.6666666666667
Pembrey,salt_marsh,Ononis_spinosa,0,0
Pembrey,sand_dune,Ononis_spinosa,13.25,0
Pembrey,salt_marsh,Pastinaca_sativa,0,0
Pembrey,sand_dune,Pastinaca_sativa,2,0
Pembrey,salt_marsh,Pilosella_officinarum,0,0
Pembrey,sand_dune,Pilosella_officinarum,3.4,0
Pembrey,salt_marsh,Plantago_lanceolata,0,0
Pembrey,sand_dune,Plantago_lanceolata,3.8,0
Pembrey,salt_marsh,Plantago_maritima,21.95,0.3
Pembrey,sand_dune,Plantago_maritima,0,0
Pembrey,salt_marsh,Polygala_sp.,0,0
Pembrey,sand_dune,Polygala_sp.,1,5
Pembrey,salt_marsh,Ranunculus_bulbosus,0,0
Pembrey,sand_dune,Ranunculus_bulbosus,1,0
Pembrey,salt_marsh,Ranunculus_repens,0,0
Pembrey,sand_dune,Ranunculus_repens,1.5,0
Pembrey,salt_marsh,Rhinanthus_minor,0,0
Pembrey,sand_dune,Rhinanthus_minor,1,0
Pembrey,salt_marsh,Rubus_caesius,0,0
Pembrey,sand_dune,Rubus_caesius,13.6666666666667,0
Pembrey,salt_marsh,Rubus_ceasius,0,0
Pembrey,sand_dune,Rubus_ceasius,1,1
Pembrey,salt_marsh,Rubus_fruiticosus,0,0
