Site,Habitat,PlSpecies,CP,FU
Seet_Bridge,salt_marsh,Acer_campestre,0,0
Seet_Bridge,woodland,Acer_campestre,1,0
Seet_Bridge,salt_marsh,Acer_pseudoplatanus,0,0
Seet_Bridge,woodland,Acer_pseudoplatanus,36,0
Seet_Bridge,salt_marsh,Angelica_sylvestris,1,0
Seet_Bridge,woodland,Angelica_sylvestris,0,0
Seet_Bridge,salt_marsh,Arrhenatherum_elatius,1,1
Seet_Bridge,woodland,Arrhenatherum_elatius,0,0
Seet_Bridge,salt_marsh,Arum_maculatum,0,0
Seet_Bridge,woodland,Arum_maculatum,1,0
Seet_Bridge,salt_marsh,Aster_tripolium,0,0
Seet_Bridge,woodland,Aster_tripolium,0,0
Seet_Bridge,salt_marsh,Atriplex_hastata,4.77777777777778,0.666666666666667
Seet_Bridge,woodland,Atriplex_hastata,0,0
Seet_Bridge,salt_marsh,Atriplex_prostrata,4.66666666666667,0
Seet_Bridge,woodland,Atriplex_prostrata,0,0
Seet_Bridge,salt_marsh,Beta_vulgaris,2,96
Seet_Bridge,woodland,Beta_vulgaris,0,0
Seet_Bridge,salt_marsh,Betula_pendula,0,0
Seet_Bridge,woodland,Betula_pendula,36,0
Seet_Bridge,salt_marsh,Calystegia_sepium,2.75,0
Seet_Bridge,woodland,Calystegia_sepium,0,0
Seet_Bridge,salt_marsh,Cardamine_pratensis,1,0
Seet_Bridge,woodland,Cardamine_pratensis,0,0
Seet_Bridge,salt_marsh,Castanea_sativa,0,0
Seet_Bridge,woodland,Castanea_sativa,1,0
Seet_Bridge,salt_marsh,Cirsium_palustre,1,0
Seet_Bridge,woodland,Cirsium_palustre,0,0
Seet_Bridge,salt_marsh,Conium maculatum,0,0
Seet_Bridge,woodland,Conium maculatum,0,0
Seet_Bridge,salt_marsh,Convolvulus_arvensis,2.25,0
Seet_Bridge,woodland,Convolvulus_arvensis,0,0
Seet_Bridge,salt_marsh,Corylus_avellana,0,0
Seet_Bridge,woodland,Corylus_avellana,11.4,0
Seet_Bridge,salt_marsh,Crataegus_monogyna,0,0
Seet_Bridge,woodland,Crataegus_monogyna,0,0
Seet_Bridge,salt_marsh,Dryopteris_sp.,0,0
Seet_Bridge,woodland,Dryopteris_sp.,8,0
Seet_Bridge,salt_marsh,Fagus_sylvatica,0,0
Seet_Bridge,woodland,Fagus_sylvatica,7.25,0
Seet_Bridge,salt_marsh,Festuca_ovina,1,1
Seet_Bridge,woodland,Festuca_ovina,0,0
Seet_Bridge,salt_marsh,Festuca_rubra,1,1
Seet_Bridge,woodland,Festuca_rubra,0,0
Seet_Bridge,salt_marsh,Fraxinus_excelsior,0,0
Seet_Bridge,woodland,Fraxinus_excelsior,0,0
Seet_Bridge,salt_marsh,Galium_mollugo,1,0
Seet_Bridge,woodland,Galium_mollugo,0,0
Seet_Bridge,salt_marsh,Galium_sp,3,0
Seet_Bridge,woodland,Galium_sp,0,0
Seet_Bridge,salt_marsh,Grass,1,0
Seet_Bridge,woodland,Grass,0,0
Seet_Bridge,salt_marsh,Halimione_portulacoides,1,1
Seet_Bridge,woodland,Halimione_portulacoides,1,1
Seet_Bridge,salt_marsh,Hedera_helix,0,0
Seet_Bridge,woodland,Hedera_helix,6.21212121212121,0
Seet_Bridge,salt_marsh,Holcus_lanatus,1,1
Seet_Bridge,woodland,Holcus_lanatus,0,0
Seet_Bridge,salt_marsh,Hyacinthoides_non-scripta,0,0
Seet_Bridge,woodland,Hyacinthoides_non-scripta,3.44444444444444,1.66666666666667
Seet_Bridge,salt_marsh,Ilex_aquifolium,0,0
Seet_Bridge,woodland,Ilex_aquifolium,14,0.0833333333333333
Seet_Bridge,salt_marsh,Iris_pseudacorus,13.5,0
Seet_Bridge,woodland,Iris_pseudacorus,0,0
Seet_Bridge,salt_marsh,Lonicera_periclymenum,0,0
Seet_Bridge,woodland,Lonicera_periclymenum,4.26315789473684,0
Seet_Bridge,salt_marsh,Lotus_corniculatus,1,0
Seet_Bridge,woodland,Lotus_corniculatus,0,0
Seet_Bridge,salt_marsh,Mercurialis_perennis,0,0
Seet_Bridge,woodland,Mercurialis_perennis,3,0
Seet_Bridge,salt_marsh,Oenanthe_crocata,32,0
Seet_Bridge,woodland,Oenanthe_crocata,0,0
Seet_Bridge,salt_marsh,Oenothera_glazioviana,1,1
Seet_Bridge,woodland,Oenothera_glazioviana,0,0
Seet_Bridge,salt_marsh,Potentilla_anserina,1.5,0
Seet_Bridge,woodland,Potentilla_anserina,0,0
Seet_Bridge,salt_marsh,Quercus_robur,0,0
Seet_Bridge,woodland,Quercus_robur,2,0
Seet_Bridge,salt_marsh,Rubus_fruiticosus,0,0
Seet_Bridge,woodland,Rubus_fruiticosus,9.76190476190476,0
Seet_Bridge,salt_marsh,Rubus_fruticosus,0,0
Seet_Bridge,woodland,Rubus_fruticosus,8.625,0
Seet_Bridge,salt_marsh,Rubus_fruticosus_agg.,0,0
Seet_Bridge,woodland,Rubus_fruticosus_agg.,1,1
Seet_Bridge,salt_marsh,Sonchus_arvensis,1,0
Seet_Bridge,woodland,Sonchus_arvensis,0,0
Seet_Bridge,salt_marsh,Sonchus_palustris,2,0
Seet_Bridge,woodland,Sonchus_palustris,0,0
Seet_Bridge,salt_marsh,Spergularia_media,1,1
Seet_Bridge,woodland,Spergularia_media,0,0
Seet_Bridge,salt_marsh,Taxus_baccata,0,0
Seet_Bridge,woodland,Taxus_baccata,3,0
Seet_Bridge,salt_marsh,Teucrium_scorodonia,0,0
Seet_Bridge,woodland,Teucrium_scorodonia,1,0
