Site,Habitat,PlSpecies,CP,FU
Studland,heathland,Anthriscus_sylvestris,0,0
Studland,sand_dune,Anthriscus_sylvestris,1,0
Studland,heathland,Bare_ground_only,0,0
Studland,sand_dune,Bare_ground_only,0,0
Studland,heathland,Betula_pendula,1,0
Studland,sand_dune,Betula_pendula,0,0
Studland,heathland,Betula_pubescens,1,0
Studland,sand_dune,Betula_pubescens,1,0
Studland,heathland,Calluna_vulgaris,30.8695652173913,39.8723404255319
Studland,sand_dune,Calluna_vulgaris,9.33333333333333,0.166666666666667
Studland,heathland,Centaurium_erythraea,0.333333333333333,0
Studland,sand_dune,Centaurium_erythraea,2.5,0
Studland,heathland,Centaurium_littorale,0,0
Studland,sand_dune,Centaurium_littorale,3,0
Studland,heathland,Cerastium_fontanum,0,0
Studland,sand_dune,Cerastium_fontanum,1,0
Studland,heathland,Cirsium_arvense,0,0
Studland,sand_dune,Cirsium_arvense,1,1
Studland,heathland,Crepis_vesicaria,1,0
Studland,sand_dune,Crepis_vesicaria,0,0
Studland,heathland,Cuscuta_epithymum,4.5,4
Studland,sand_dune,Cuscuta_epithymum,0,0
Studland,heathland,Daucus_carota,0,0
Studland,sand_dune,Daucus_carota,1,0
Studland,heathland,Erica_cinerea,3.7,250
Studland,sand_dune,Erica_cinerea,1,1
Studland,heathland,Erica_tetralix,8,256
Studland,sand_dune,Erica_tetralix,0,0
Studland,heathland,Grass,1,0
Studland,sand_dune,Grass,1,0
Studland,heathland,Holcus_lanatus,0,0
Studland,sand_dune,Holcus_lanatus,1,1
Studland,heathland,Hydrocotyle_vulgaris,0,0
Studland,sand_dune,Hydrocotyle_vulgaris,9.33333333333333,0
Studland,heathland,Hypochaeris_radicata,1.5,0
Studland,sand_dune,Hypochaeris_radicata,2.9047619047619,0
Studland,heathland,Jasione_montana,1.66666666666667,1.66666666666667
Studland,sand_dune,Jasione_montana,3.33333333333333,0
Studland,heathland,Leontodon_hispidus,1,0
Studland,sand_dune,Leontodon_hispidus,0.5,0
Studland,heathland,Leontodon_saxatilis,2,0
Studland,sand_dune,Leontodon_saxatilis,0.5,0
Studland,heathland,Leontodon_sp.,0,0
Studland,sand_dune,Leontodon_sp.,1,0
Studland,heathland,Lonicera_periclymenum,1,0
Studland,sand_dune,Lonicera_periclymenum,0,0
Studland,heathland,Lotus_pedunculatus,0,0
Studland,sand_dune,Lotus_pedunculatus,7,0
Studland,heathland,Lotus_subbiflorus,0,0
Studland,sand_dune,Lotus_subbiflorus,1,0
Studland,heathland,Luzula_campestris,0,0
Studland,sand_dune,Luzula_campestris,1,1
Studland,heathland,Medicago_lupulina,0,0
Studland,sand_dune,Medicago_lupulina,1,0
Studland,heathland,Myrica_gale,24.5,0
Studland,sand_dune,Myrica_gale,2,0
Studland,heathland,Pilosella_officinarum,0,0
Studland,sand_dune,Pilosella_officinarum,1,0
Studland,heathland,Pinus_sylvestris,1,0
Studland,sand_dune,Pinus_sylvestris,0,0
Studland,heathland,Potentilla_anserina,0,0
Studland,sand_dune,Potentilla_anserina,16.4,0.2
Studland,heathland,Rubus_fruiticosus,1,0
Studland,sand_dune,Rubus_fruiticosus,1,0
Studland,heathland,Rubus_fruticosus,0,0
Studland,sand_dune,Rubus_fruticosus,4,0
Studland,heathland,Rubus_fruticosus_agg.,1,1
Studland,sand_dune,Rubus_fruticosus_agg.,0,0
Studland,heathland,Rumex_acetosella,0,0
Studland,sand_dune,Rumex_acetosella,4,35
Studland,heathland,Rush,1,0
Studland,sand_dune,Rush,1,0
Studland,heathland,Salix_repens,1,0
Studland,sand_dune,Salix_repens,0,0
Studland,heathland,Scabiosa_columbaria,0,0
Studland,sand_dune,Scabiosa_columbaria,4.5,0.5
Studland,heathland,Sedge,0,0
Studland,sand_dune,Sedge,1,0
Studland,heathland,Senecio_jacobaea,0,0
Studland,sand_dune,Senecio_jacobaea,1,0
Studland,heathland,Taraxacum_agg.,1.6,0
Studland,sand_dune,Taraxacum_agg.,0.571428571428571,0
Studland,heathland,Trifolium_repens,0,0
Studland,sand_dune,Trifolium_repens,1,2
Studland,heathland,Trifolium_sp.,0,0
Studland,sand_dune,Trifolium_sp.,1,0
Studland,heathland,Ulex_europaeus,1,0
Studland,sand_dune,Ulex_europaeus,2.5,0
Studland,heathland,Umbilicus_sp.,0,0
Studland,sand_dune,Umbilicus_sp.,6,0
Studland,heathland,Unidentified_B,0,0
Studland,sand_dune,Unidentified_B,2,11
Studland,heathland,Unidentified_C,0,0
Studland,sand_dune,Unidentified_C,5.33333333333333,5
Studland,heathland,Valeranaria_sp.,0,0
Studland,sand_dune,Valeranaria_sp.,2,0
