Site,Habitat,PlSpecies,CP,FU
Walborough,grassland,Achillea_millefolium,0,0
Walborough,salt_marsh,Achillea_millefolium,1,0
Walborough,grassland,Anthyllis_vulneraria,0.666666666666667,0
Walborough,salt_marsh,Anthyllis_vulneraria,0,0
Walborough,grassland,Armeria_maritima,0,0
Walborough,salt_marsh,Armeria_maritima,0.5,2
Walborough,grassland,Aster_tripolium,0,0
Walborough,salt_marsh,Aster_tripolium,9.48148148148148,0.111111111111111
Walborough,grassland,Atriplex_laciniata,0,0
Walborough,salt_marsh,Atriplex_laciniata,10,0
Walborough,grassland,Atriplex_prostrata,0,0
Walborough,salt_marsh,Atriplex_prostrata,5,0
Walborough,grassland,Bellis_perennis,1.36363636363636,1.81818181818182
Walborough,salt_marsh,Bellis_perennis,0,0
Walborough,grassland,Bunium_bulbocastanum,1,0
Walborough,salt_marsh,Bunium_bulbocastanum,0,0
Walborough,grassland,Centaurea_nigra,1,0
Walborough,salt_marsh,Centaurea_nigra,0,0
Walborough,grassland,Centaurium_erythraea,1,0
Walborough,salt_marsh,Centaurium_erythraea,0,0
Walborough,grassland,Cerastium_fontanum,1,1.66666666666667
Walborough,salt_marsh,Cerastium_fontanum,0,0
Walborough,grassland,Cirsium_aculae,1,0
Walborough,salt_marsh,Cirsium_aculae,0,0
Walborough,grassland,Cirsium_arvense,6,0
Walborough,salt_marsh,Cirsium_arvense,2.5,0
Walborough,grassland,Cirsium_palustre,4,0
Walborough,salt_marsh,Cirsium_palustre,0,0
Walborough,grassland,Cochlearia_anglica,0,0
Walborough,salt_marsh,Cochlearia_anglica,6.33333333333333,45.8888888888889
Walborough,grassland,Cochlearia_officinalis,0,0
Walborough,salt_marsh,Cochlearia_officinalis,3.16666666666667,20.5
Walborough,grassland,Convolvulus_arvensis,12.3333333333333,0
Walborough,salt_marsh,Convolvulus_arvensis,0,0
Walborough,grassland,Convolvulus_vulgaria,1,1
Walborough,salt_marsh,Convolvulus_vulgaria,0,0
Walborough,grassland,Daucus_carota,2,0
Walborough,salt_marsh,Daucus_carota,1,0
Walborough,grassland,Epilobium_hirsutum,1,0
Walborough,salt_marsh,Epilobium_hirsutum,0,0
Walborough,grassland,Festuca_ovina,1,1
Walborough,salt_marsh,Festuca_ovina,0,0
Walborough,grassland,Festuca_rubra,0,0
Walborough,salt_marsh,Festuca_rubra,1,1
Walborough,grassland,Galium_verum,2,0
Walborough,salt_marsh,Galium_verum,0,0
Walborough,grassland,Geranium_pusillum,1,0
Walborough,salt_marsh,Geranium_pusillum,0,0
Walborough,grassland,Glaux_maritima,0,0
Walborough,salt_marsh,Glaux_maritima,3.25,15.75
Walborough,grassland,Grass,18.7037037037037,0
Walborough,salt_marsh,Grass,28.7777777777778,0
Walborough,grassland,Grass_4,1,1
Walborough,salt_marsh,Grass_4,0,0
Walborough,grassland,Halimione_portulacoides,0,0
Walborough,salt_marsh,Halimione_portulacoides,3.33333333333333,0
Walborough,grassland,Heracleum_sphondylium,1,0
Walborough,salt_marsh,Heracleum_sphondylium,0,0
Walborough,grassland,Holcus_lanatus,1,1
Walborough,salt_marsh,Holcus_lanatus,0,0
Walborough,grassland,Hypochaeris_radicata,1,0
Walborough,salt_marsh,Hypochaeris_radicata,0,0
Walborough,grassland,Knautia_arvensis,1,0
Walborough,salt_marsh,Knautia_arvensis,0,0
Walborough,grassland,Lathyrus_pratensis,6.66666666666667,0
Walborough,salt_marsh,Lathyrus_pratensis,3,0
Walborough,grassland,Leontodon_hispidus,4.5,0
Walborough,salt_marsh,Leontodon_hispidus,0,0
Walborough,grassland,Linum_catharticum,0.75,2
Walborough,salt_marsh,Linum_catharticum,0,0
Walborough,grassland,Lotus_corniculatus,9.71428571428571,4.71428571428571
Walborough,salt_marsh,Lotus_corniculatus,0,0
Walborough,grassland,Medicago_lupulina,1.57142857142857,1.71428571428571
Walborough,salt_marsh,Medicago_lupulina,0,0
Walborough,grassland,Oenanthe_crocata,1,1
Walborough,salt_marsh,Oenanthe_crocata,0,0
Walborough,grassland,Ononis_spinosa,5,0
Walborough,salt_marsh,Ononis_spinosa,0,0
Walborough,grassland,Pilosella_officinarum,2.14285714285714,0.142857142857143
Walborough,salt_marsh,Pilosella_officinarum,0,0
Walborough,grassland,Plantago_lanceolata,3.88888888888889,0.222222222222222
Walborough,salt_marsh,Plantago_lanceolata,1,1
Walborough,grassland,Plantago_maritima,0,0
Walborough,salt_marsh,Plantago_maritima,11.9565217391304,0.0434782608695652
Walborough,grassland,Plantago_media,1.5,0
Walborough,salt_marsh,Plantago_media,0,0
Walborough,grassland,Polygala_vulgaris,1,5
Walborough,salt_marsh,Polygala_vulgaris,0,0
Walborough,grassland,Potentilla_anserina,0,0
Walborough,salt_marsh,Potentilla_anserina,1,0
Walborough,grassland,Ranunculus_acris,1.66666666666667,0.666666666666667
Walborough,salt_marsh,Ranunculus_acris,0,0
Walborough,grassland,Ranunculus_bulbosus,5.78571428571429,8.92857142857143
Walborough,salt_marsh,Ranunculus_bulbosus,0,0
Walborough,grassland,Ranunculus_repens,3.83333333333333,0
Walborough,salt_marsh,Ranunculus_repens,0,0
Walborough,grassland,Ranunculus_sp.,1,1
