Site,Habitat,PlSpecies,CP,FU
Wheal_Coates,heathland,Calluna_vulgaris,11.2941176470588,651.676470588235
Wheal_Coates,heathland,Centaurea_nigra,1.625,0
Wheal_Coates,heathland,Cirsium_sp.,1,1
Wheal_Coates,heathland,Cuscuta_epithymum,1,0
Wheal_Coates,heathland,Erica_cinerea,19.9784946236559,214.075268817204
Wheal_Coates,heathland,Euphrasia_nemorosa,1,4
Wheal_Coates,heathland,Grass,1,0
Wheal_Coates,heathland,Hieracium_agg.,1,1
Wheal_Coates,heathland,Hieracium_sp.,1,0.4
Wheal_Coates,heathland,Hypericum_calycinum,1,0
Wheal_Coates,heathland,Hypochaeris_radicata,0.5,0
Wheal_Coates,heathland,Leontodon_hispidus,1,0
Wheal_Coates,heathland,Pedicularis_sylvatica,0.2,0.4
Wheal_Coates,heathland,Polygala_serpyllifolia,0.181818181818182,0.545454545454545
Wheal_Coates,heathland,Polygala_vulgaris,0.125,1.25
Wheal_Coates,heathland,Potentilla_erecta,2.30188679245283,0.679245283018868
Wheal_Coates,heathland,Potentilla_reptans,1.5,0
Wheal_Coates,heathland,Rosa_spinosissima,1,0
Wheal_Coates,heathland,Rubus_fruiticosus,4,0
Wheal_Coates,heathland,Scilla_verna,1.77777777777778,1.22222222222222
Wheal_Coates,heathland,Solidago_virgaurea,0.846153846153846,1.07692307692308
Wheal_Coates,heathland,Stachys_officinalis,2,0
Wheal_Coates,heathland,Thymus_polytrichus,2.72727272727273,0.818181818181818
Wheal_Coates,heathland,Ulex_europaeus,21.7065217391304,18.9255319148936
Wheal_Coates,heathland,Vaccinium_myrtillus,1,0
Wheal_Coates,heathland,Viola_canina,1.16666666666667,0
Wheal_Coates,heathland,Viola_riviniana,0.3,0
Wheal_Coates,heathland,Viola_sp.,1,0
