Site,Habitat,PlSpecies,CP,FU
Woodland_Hill,heathland,Arum_maculatum,0,0
Woodland_Hill,scrub,Arum_maculatum,0,0
Woodland_Hill,woodland,Arum_maculatum,0,0
Woodland_Hill,heathland,Betula_pendula,0,0
Woodland_Hill,scrub,Betula_pendula,2.8,0
Woodland_Hill,woodland,Betula_pendula,5,0
Woodland_Hill,heathland,Calluna_vulgaris,9.26666666666667,0.666666666666667
Woodland_Hill,scrub,Calluna_vulgaris,14,528
Woodland_Hill,woodland,Calluna_vulgaris,0,0
Woodland_Hill,heathland,Chelidonium_majus,0,0
Woodland_Hill,scrub,Chelidonium_majus,0,0
Woodland_Hill,woodland,Chelidonium_majus,1,1
Woodland_Hill,heathland,Crataegus_monogyna,0,0
Woodland_Hill,scrub,Crataegus_monogyna,0,0
Woodland_Hill,woodland,Crataegus_monogyna,0,0
Woodland_Hill,heathland,Cuscuta_epithymum,2.5,9
Woodland_Hill,scrub,Cuscuta_epithymum,0,0
Woodland_Hill,woodland,Cuscuta_epithymum,0,0
Woodland_Hill,heathland,Dryopteris_sp.,1,0
Woodland_Hill,scrub,Dryopteris_sp.,1,0
Woodland_Hill,woodland,Dryopteris_sp.,1,0
Woodland_Hill,heathland,Erica_cinerea,11.5185185185185,284.703703703704
Woodland_Hill,scrub,Erica_cinerea,1,0
Woodland_Hill,woodland,Erica_cinerea,0,0
Woodland_Hill,heathland,Fagus_sylvatica,0,0
Woodland_Hill,scrub,Fagus_sylvatica,0,0
Woodland_Hill,woodland,Fagus_sylvatica,27.75,0
Woodland_Hill,heathland,Fragus_sylvatica,0,0
Woodland_Hill,scrub,Fragus_sylvatica,0,0
Woodland_Hill,woodland,Fragus_sylvatica,1,0
Woodland_Hill,heathland,Fraxinus_excelsior,0,0
Woodland_Hill,scrub,Fraxinus_excelsior,0,0
Woodland_Hill,woodland,Fraxinus_excelsior,1,0
Woodland_Hill,heathland,Galium_saxatile,1,0
Woodland_Hill,scrub,Galium_saxatile,2,0
Woodland_Hill,woodland,Galium_saxatile,0,0
Woodland_Hill,heathland,Grass,1,0
Woodland_Hill,scrub,Grass,1,0
Woodland_Hill,woodland,Grass,1,0
Woodland_Hill,heathland,Holcus_lanatus,0,0
Woodland_Hill,scrub,Holcus_lanatus,0,0
Woodland_Hill,woodland,Holcus_lanatus,1,1
Woodland_Hill,heathland,Ilex_aquifolium,0,0
Woodland_Hill,scrub,Ilex_aquifolium,1.83333333333333,0
Woodland_Hill,woodland,Ilex_aquifolium,2.07692307692308,0
Woodland_Hill,heathland,Lonicera_periclymenum,0,0
Woodland_Hill,scrub,Lonicera_periclymenum,0,0
Woodland_Hill,woodland,Lonicera_periclymenum,1,0
Woodland_Hill,heathland,Melampyrum_pratense,0,0
Woodland_Hill,scrub,Melampyrum_pratense,1,7
Woodland_Hill,woodland,Melampyrum_pratense,0,0
Woodland_Hill,heathland,Mercurialis_perennis,0,0
Woodland_Hill,scrub,Mercurialis_perennis,0,0
Woodland_Hill,woodland,Mercurialis_perennis,1,0
Woodland_Hill,heathland,Polygala_serpyllifolia,1,0
Woodland_Hill,scrub,Polygala_serpyllifolia,1,1
Woodland_Hill,woodland,Polygala_serpyllifolia,0,0
Woodland_Hill,heathland,Potentilla_erecta,1,0
Woodland_Hill,scrub,Potentilla_erecta,0,0
Woodland_Hill,woodland,Potentilla_erecta,0,0
Woodland_Hill,heathland,Pteridium_aquilinum,0,0
Woodland_Hill,scrub,Pteridium_aquilinum,1,1
Woodland_Hill,woodland,Pteridium_aquilinum,1,1
Woodland_Hill,heathland,Quercus_petraea,0,0
Woodland_Hill,scrub,Quercus_petraea,0,0
Woodland_Hill,woodland,Quercus_petraea,36,0
Woodland_Hill,heathland,Quercus_robur,1,0
Woodland_Hill,scrub,Quercus_robur,1,0
Woodland_Hill,woodland,Quercus_robur,3,0
