Site,Habitat,PlSpecies,CP,FU
Woolacombe,grassland,Achillea_millefolium,1,0
Woolacombe,sand_dune,Achillea_millefolium,1,0
Woolacombe,scrub,Achillea_millefolium,0,0
Woolacombe,grassland,Ammophila_sp.,0,0
Woolacombe,sand_dune,Ammophila_sp.,1,0
Woolacombe,scrub,Ammophila_sp.,0,0
Woolacombe,grassland,Anacamptis_pyramidalis,0,0
Woolacombe,sand_dune,Anacamptis_pyramidalis,1,0
Woolacombe,scrub,Anacamptis_pyramidalis,0,0
Woolacombe,grassland,Anagallis_arvensis,0,0
Woolacombe,sand_dune,Anagallis_arvensis,1,0
Woolacombe,scrub,Anagallis_arvensis,0,0
Woolacombe,grassland,Arum_maculatum,0,0
Woolacombe,sand_dune,Arum_maculatum,9,0
Woolacombe,scrub,Arum_maculatum,0,0
Woolacombe,grassland,Bellis_perennis,0,0
Woolacombe,sand_dune,Bellis_perennis,1,0
Woolacombe,scrub,Bellis_perennis,0,0
Woolacombe,grassland,Calluna_vulgaris,0,0
Woolacombe,sand_dune,Calluna_vulgaris,0,0
Woolacombe,scrub,Calluna_vulgaris,1,0
Woolacombe,grassland,Calystegia_soldanella,2,0
Woolacombe,sand_dune,Calystegia_soldanella,0,0
Woolacombe,scrub,Calystegia_soldanella,0,0
Woolacombe,grassland,Cerastium_fontanum,1,1
Woolacombe,sand_dune,Cerastium_fontanum,1,1.5
Woolacombe,scrub,Cerastium_fontanum,0,0
Woolacombe,grassland,Chamerion_angustifolium,0,0
Woolacombe,sand_dune,Chamerion_angustifolium,0,0
Woolacombe,scrub,Chamerion_angustifolium,3.66666666666667,0
Woolacombe,grassland,Cirsium_arvense,1.46153846153846,0.0769230769230769
Woolacombe,sand_dune,Cirsium_arvense,0.5,0
Woolacombe,scrub,Cirsium_arvense,0,0
Woolacombe,grassland,Cirsium_sp.,0,0
Woolacombe,sand_dune,Cirsium_sp.,0,0
Woolacombe,scrub,Cirsium_sp.,1,0
Woolacombe,grassland,Cirsium_vulgare,1,0
Woolacombe,sand_dune,Cirsium_vulgare,0,0
Woolacombe,scrub,Cirsium_vulgare,0,0
Woolacombe,grassland,Clematis_vitalba,0,0
Woolacombe,sand_dune,Clematis_vitalba,1,0
Woolacombe,scrub,Clematis_vitalba,0,0
Woolacombe,grassland,Convolvulus_soldanella,0,0
Woolacombe,sand_dune,Convolvulus_soldanella,0,0
Woolacombe,scrub,Convolvulus_soldanella,4,0
Woolacombe,grassland,Cornus_sanguinea,0,0
Woolacombe,sand_dune,Cornus_sanguinea,28,0
Woolacombe,scrub,Cornus_sanguinea,0,0
Woolacombe,grassland,Crepis_vesicaria,1.33333333333333,2.33333333333333
Woolacombe,sand_dune,Crepis_vesicaria,1,0
Woolacombe,scrub,Crepis_vesicaria,0,0
Woolacombe,grassland,Dead_grass,1,1
Woolacombe,sand_dune,Dead_grass,0,0
Woolacombe,scrub,Dead_grass,0,0
Woolacombe,grassland,Digitalis_purpurea,0,0
Woolacombe,sand_dune,Digitalis_purpurea,0,0
Woolacombe,scrub,Digitalis_purpurea,1,0
Woolacombe,grassland,Dryopteris_sp.,16,0
Woolacombe,sand_dune,Dryopteris_sp.,12,0
Woolacombe,scrub,Dryopteris_sp.,14.9166666666667,0
Woolacombe,grassland,Erica_cinerea,9,1092
Woolacombe,sand_dune,Erica_cinerea,0,0
Woolacombe,scrub,Erica_cinerea,1,0
Woolacombe,grassland,Erodium_cicutarium,0,0
Woolacombe,sand_dune,Erodium_cicutarium,1,0
Woolacombe,scrub,Erodium_cicutarium,0,0
Woolacombe,grassland,Eupatorium_cannabinum,0,0
Woolacombe,sand_dune,Eupatorium_cannabinum,1,1
Woolacombe,scrub,Eupatorium_cannabinum,2,0
Woolacombe,grassland,Euphorbia_paralias,0,0
Woolacombe,sand_dune,Euphorbia_paralias,1,0
Woolacombe,scrub,Euphorbia_paralias,0,0
Woolacombe,grassland,Euphrasia_nemorosa,4.5,59
Woolacombe,sand_dune,Euphrasia_nemorosa,0,0
Woolacombe,scrub,Euphrasia_nemorosa,0,0
Woolacombe,grassland,Fragaria_vesca,2,0
Woolacombe,sand_dune,Fragaria_vesca,0,0
Woolacombe,scrub,Fragaria_vesca,0,0
Woolacombe,grassland,Galium_aparine,1,3
Woolacombe,sand_dune,Galium_aparine,5,2.25
Woolacombe,scrub,Galium_aparine,0,0
Woolacombe,grassland,Galium_mollugo,0,0
Woolacombe,sand_dune,Galium_mollugo,0,0
Woolacombe,scrub,Galium_mollugo,2,0
Woolacombe,grassland,Galium_saxatile,0,0
Woolacombe,sand_dune,Galium_saxatile,0.5,10.5
Woolacombe,scrub,Galium_saxatile,0,0
Woolacombe,grassland,Galium_verum,1.4,0
Woolacombe,sand_dune,Galium_verum,1.28571428571429,0.142857142857143
Woolacombe,scrub,Galium_verum,1,0
Woolacombe,grassland,Geranium_molle,0,0
Woolacombe,sand_dune,Geranium_molle,1,0
Woolacombe,scrub,Geranium_molle,0,0
Woolacombe,grassland,Geranium_robertianum,1,0
Woolacombe,sand_dune,Geranium_robertianum,1,0
Woolacombe,scrub,Geranium_robertianum,0,0
Woolacombe,grassland,Grass,1,0
Woolacombe,sand_dune,Grass,1,0
Woolacombe,scrub,Grass,1,0
Woolacombe,grassland,Hedera_helix,2,0
Woolacombe,sand_dune,Hedera_helix,11.8333333333333,0
Woolacombe,scrub,Hedera_helix,3,0
Woolacombe,grassland,Heracleum_sphondylium,3.66666666666667,0
Woolacombe,sand_dune,Heracleum_sphondylium,1.5,0
Woolacombe,scrub,Heracleum_sphondylium,1,1
Woolacombe,grassland,Holcus_lanatus,1,1
Woolacombe,sand_dune,Holcus_lanatus,0,0
Woolacombe,scrub,Holcus_lanatus,1,1
Woolacombe,grassland,Hyacinthoides_non-scripta,2.5,6
Woolacombe,sand_dune,Hyacinthoides_non-scripta,3,0
Woolacombe,scrub,Hyacinthoides_non-scripta,15.4,4.2
Woolacombe,grassland,Hypochaeris_radicata,1,0
Woolacombe,sand_dune,Hypochaeris_radicata,0,0
Woolacombe,scrub,Hypochaeris_radicata,0,0
Woolacombe,grassland,Leontodon_hispidus,1,0
Woolacombe,sand_dune,Leontodon_hispidus,0,0
Woolacombe,scrub,Leontodon_hispidus,1,0
Woolacombe,grassland,Leontodon_saxatilis,0,0
Woolacombe,sand_dune,Leontodon_saxatilis,2,1
Woolacombe,scrub,Leontodon_saxatilis,0,0
Woolacombe,grassland,Leontodon_sp.,0,0
Woolacombe,sand_dune,Leontodon_sp.,1,0
Woolacombe,scrub,Leontodon_sp.,0,0
Woolacombe,grassland,Ligustrum_vulgare,0,0
Woolacombe,sand_dune,Ligustrum_vulgare,1,1
Woolacombe,scrub,Ligustrum_vulgare,0,0
Woolacombe,grassland,Limonium_vulgare,0,0
Woolacombe,sand_dune,Limonium_vulgare,12.625,3.8125
Woolacombe,scrub,Limonium_vulgare,0,0
Woolacombe,grassland,Lonicera_periclymenum,4,0
Woolacombe,sand_dune,Lonicera_periclymenum,11,0
Woolacombe,scrub,Lonicera_periclymenum,4,0
Woolacombe,grassland,Lotus_corniculatus,8,1.11111111111111
Woolacombe,sand_dune,Lotus_corniculatus,2,0
Woolacombe,scrub,Lotus_corniculatus,0,0
Woolacombe,grassland,Lotus_subbiflorus,0,0
Woolacombe,sand_dune,Lotus_subbiflorus,1,0
