Site,Habitat,PlSpecies,CP,FU
Wyeswood_Common,grassland,Achillea_millefolium,0.5,0
Wyeswood_Common,grassland,Anacamptis_morio,0,0
Wyeswood_Common,grassland,Anthriscus_sylvestris,4.8,0
Wyeswood_Common,grassland,Bellis_perennis,0,0
Wyeswood_Common,grassland,Cardamine_pratensis,0,0
Wyeswood_Common,grassland,Centaurea_nigra,9.06976744186047,1.02325581395349
Wyeswood_Common,grassland,Cerastium_fontanum,0.545454545454545,0.272727272727273
Wyeswood_Common,grassland,Chamerion_angustifolium,6,0
Wyeswood_Common,grassland,Cirsium_arvense,1.5,0
Wyeswood_Common,grassland,Cirsium_palustre,1,1
Wyeswood_Common,grassland,Crataegus_monogyna,2,0
Wyeswood_Common,grassland,Crepis_capillaris,5.75,1.5
Wyeswood_Common,grassland,Crepis_vesicaria,1,1
Wyeswood_Common,grassland,Dactylorhiza_fuchsii,0.714285714285714,0
Wyeswood_Common,grassland,Dactylorhiza_praetermissa,1,0
Wyeswood_Common,grassland,Dead_grass,1,1
Wyeswood_Common,grassland,Dead_leaf,1,1
Wyeswood_Common,grassland,Dryopteris_sp.,18.5555555555556,0
Wyeswood_Common,grassland,Euphrasia_nemorosa,2.2258064516129,16
Wyeswood_Common,grassland,Ficaria_verna,1,1
Wyeswood_Common,grassland,Geranium_pratense,1,0
Wyeswood_Common,grassland,Geranium_pusillum,1,0
Wyeswood_Common,grassland,Grass,32.4444444444444,0
Wyeswood_Common,grassland,Heracleum_sphondylium,2.45454545454545,0
Wyeswood_Common,grassland,Holcus_lanatus,1,1
Wyeswood_Common,grassland,Hyacinthoides_non-scripta,4,0
Wyeswood_Common,grassland,Hypericum_perforatum,1,0
Wyeswood_Common,grassland,Hypochaeris_radicata,1.375,0
Wyeswood_Common,grassland,Lathyrus_pratensis,2.64705882352941,0.117647058823529
Wyeswood_Common,grassland,Lathyrus_sylvestris,1.33333333333333,0
Wyeswood_Common,grassland,Leontodon_hispidus,8.3695652173913,0.239130434782609
Wyeswood_Common,grassland,Leontodon_saxatilis,1,0
Wyeswood_Common,grassland,Leontodon_sp.,2,0
Wyeswood_Common,grassland,Leucanthemum_vulgare,1,0
Wyeswood_Common,grassland,Linum_catharticum,1,0.666666666666667
Wyeswood_Common,grassland,Lotus_corniculatus,6.375,0.178571428571429
Wyeswood_Common,grassland,Luzula_campestris,2.9,3.8
Wyeswood_Common,grassland,Medicago_lupulina,4,2
Wyeswood_Common,grassland,Mercurialis_perennis,1,1
Wyeswood_Common,grassland,Ononis_repens,1,1
Wyeswood_Common,grassland,Pilosella_officinarum,1,1
Wyeswood_Common,grassland,Plantago_lanceolata,11.1911764705882,0.485714285714286
Wyeswood_Common,grassland,Plantago_major,10,0
Wyeswood_Common,grassland,Plantago_media,1,0
Wyeswood_Common,grassland,Polygala_vulgaris,0.333333333333333,0.666666666666667
Wyeswood_Common,grassland,Potentilla_erecta,1,1
Wyeswood_Common,grassland,Prunella_vulgaris,2.14285714285714,0
Wyeswood_Common,grassland,Prunus_spinosa,0.5,0
Wyeswood_Common,grassland,Pteridium_aquilinum,1,1
Wyeswood_Common,grassland,Quercus_robur,1,0
Wyeswood_Common,grassland,Ranunculus_acris,1.14285714285714,0
Wyeswood_Common,grassland,Ranunculus_bulbosus,6.27777777777778,0
Wyeswood_Common,grassland,Ranunculus_ficaria,2,0.5
Wyeswood_Common,grassland,Ranunculus_repens,4.27586206896552,0.0689655172413793
Wyeswood_Common,grassland,Ranunculus_sceleratus,0,0
Wyeswood_Common,grassland,Rhinanthus_minor,3.08163265306122,0
Wyeswood_Common,grassland,Rubus_fruiticosus,7.66666666666667,0
Wyeswood_Common,grassland,Rubus_fruticosus_agg.,1,1
Wyeswood_Common,grassland,Rumex_acetosa,0.333333333333333,0
Wyeswood_Common,grassland,Rumex_acetosella,2.54545454545455,0.434782608695652
Wyeswood_Common,grassland,Solidago_virgaurea,1,0
Wyeswood_Common,grassland,Stellaria_graminea,1.33333333333333,2.66666666666667
Wyeswood_Common,grassland,Stellaria_holostea,0,0
Wyeswood_Common,grassland,Taraxacum_agg.,1.75862068965517,0.275862068965517
Wyeswood_Common,grassland,Trifolium_pratense,6.21052631578947,0.0175438596491228
Wyeswood_Common,grassland,Trifolium_repens,6.23214285714286,0.178571428571429
Wyeswood_Common,grassland,Urtica_dioica,1,0
Wyeswood_Common,grassland,Veronica_chamaedrys,7,0
Wyeswood_Common,grassland,Vicia_cracca,3.25,0.5
