MDT	Site	grassland	plant_rich	openFU_abundance	log_FU_abundance	total_insect_sp_rich	total_insect_sp_abund	IE	CON	species_even_insects	species_even_plants		
3	Arne	N	44	55172	4.741718728	50	144	0.551346531	0.086153846	0.872852673	1.89838185		
2	Bodmin Moor	N	43	197	2.294466226	57	163	0.482403791	0.045739348	0.819252302	1.580553484		
2	Braunton Burrows	Y	84	44926	4.652497753	148	1043	0.49114684	0.032052766	0.766386418	1.173210382		
1	Burnham-on-Sea	N	17	55	1.740362689	50	379	0.397769087	0.122	0.549637029	2.143557995		
3	Bystock	Y	68	15955	4.202896809	92	378	0.518904497	0.034701857	0.855806629	1.349438359		
2	Chagford Common	Y	25	55789	4.746548577	45	135	0.560242429	0.107407407	0.823130007	2.143557995		
2	Cloud Hill	N	25	2343	3.369772289	69	273	0.472848277	0.068438003	0.759613291	1.81151666		
1	Dartmoor Scrub	N	21	64886	4.812151002	32	163	0.468998344	0.159722222	0.619395894	2.143557995		
3	Dolebury Warren	Y	77	2467	3.392169149	140	832	0.447189834	0.029197995	0.732642988	1.214672918		
1	Dunkery Hill	N	15	40388	4.606252348	45	191	0.599828272	0.122222222	0.855757661	2.005909363		
1	Forest of Dean	N	47	199	2.298853076	59	275	0.385496543	0.044067797	0.650638562	1.540285795		
3	Haddon Hill	N	33	162	2.209515015	61	170	0.549847933	0.069025022	0.877523053	1.89838185		
3	Hangman Hill	Y	35	25682	4.409628842	49	176	0.540715728	0.078571429	0.827980187	1.678602799		
2	Haytor	Y	21	26937	4.430349226	44	113	0.58948763	0.095779221	0.892748786	2.005909363		
1	Hells Mouth	N	63	110653	5.043963193	112	564	0.483547221	0.041905258	0.762150241	1.504432022		
1	Leigh Woods	N	34	34	1.531478917	46	357	0.399860407	0.069293478	0.681334951	1.89838185		
3	Lytchett Bay	N	48	902	2.955206538	42	118	0.538928337	0.075396825	0.844325684	1.81151666		
3	Merthyr Mawr	Y	88	1905	3.27989498	108	459	0.515360333	0.038038038	0.837714038	1.29584721		
2	North Hill	N	18	42130	4.624591459	37	133	0.610664413	0.172297297	0.855911324	2.143557995		
3	Oxwich Bay	Y	87	731	2.863917377	129	623	0.511008785	0.032983736	0.800621639	1.182854455		
2	Pembrey Beach	N	71	833	2.920645001	101	296	0.565417738	0.043847242	0.870569032	1.349438359		
1	Penhale Sands	N	64	664	2.822168079	106	515	0.517361907	0.036948489	0.750873186	1.2655879		
1	Pewsey Downs	Y	67	1326	3.122543524	171	858	0.549887963	0.040650407	0.825692433	1.251775287		
2	Seet Bridge	N	40	124	2.093421685	88	427	0.423280058	0.037965866	0.720000493	1.443126216		
2	Studland	N	45	4710	3.673020907	54	201	0.527265273	0.083877996	0.792321486	1.81151666		
2	Walborough	Y	61	1277	3.106190897	136	629	0.499726733	0.031758448	0.76766722	1.330307432		
1	Wheal Coates	N	28	43967	4.643126833	29	177	0.420339323	0.14137931	0.557152485	3.008864044		
3	Woodland Hill	N	32	11001	4.041432165	52	176	0.547546161	0.075910931	0.844924355	1.678602799		
3	Woolacombe	Y	79	2267	3.35545152	113	433	0.527684569	0.029618927	0.85555585	1.226383179		
1	Wyeswood Common	Y	58	704	2.847572659	186	1082	0.530883692	0.033448674	0.798196223	1.214672918		
