site,rep,pl_div,pl_phyl_div,conn,int_even,FRic_occ10,FEve_occ10,FDis_occ10,FDiv_occ10,FEve_abund10,FDis_abund10,FDiv_abund10
Arne,1,15,1367.944994,0.0880952380952381,0.509477243771378,8.16531629142127e-05,0.885839629461828,0.622584629135159,0.729695671588681,0.785860977922854,0.591520244132138,0.736967884320472
Bystock,1,39,2448.149657,0.041025641025641,0.536270959039297,0.0310609632011341,0.951571736438557,0.652983272030187,0.747781915585759,0.807048628788671,0.626078867124501,NA
Dolebury_Warren,1,33,2018.821612,0.0515873015873016,0.576875943835031,0.0731800980563833,0.917932122793748,0.639817813782415,NA,0.754806133904489,0.612511547463112,0.680834649946778
Haddon_Hill,1,18,1525.795013,0.0740740740740741,0.509272285438773,0.00148913683109825,0.948318971013765,0.615191703864089,0.767977095333095,0.840594411247865,0.591328258012859,0.785179996240876
Hangman_Hill,1,31,1630.589651,0.0568022440392707,0.575120317784027,0.00550283231892355,0.960523777049422,0.612383465968319,NA,0.816253301891845,0.586495735359449,0.740464477428769
Lytchett_Bay,1,16,1394.275011,0.0958333333333333,0.56331362458244,0.0010048984735821,0.921120956570146,0.642550457394636,0.762814701537296,0.817207369528582,0.610434886408264,0.753209211466338
Merthyr_Mawr,1,35,1977.006736,0.0469924812030075,0.558027813367489,0.0096390841332423,0.912594390679449,0.64076998276917,NA,0.775639093619562,0.621667312978114,0.727326974011321
Oxwich_Bay,1,33,1797.040889,0.053030303030303,0.583642635176495,0.0874452934790844,0.924576023768286,0.639823972191249,0.755787844042565,0.774222766927921,0.614872265349489,0.743445925274408
Woodland_Hill,1,17,1573.095019,0.0852941176470588,0.543494820184315,0.00305885576993578,0.872578105423376,0.630443243906669,0.749149549540994,0.802501431816796,0.611122844771937,NA
Woolacombe,1,31,1697.675893,0.0492142266335815,0.582274896595832,0.0530497217971222,0.946768778289619,0.634769828037391,0.75272809388063,0.8080147373778,0.612180477905234,0.73793473378132
Arne,2,15,1338.744995,0.0873563218390805,0.530034767414514,0.000508066139224911,0.916517325425789,0.628149172692557,NA,0.833038986077204,0.604534985725149,0.714969134793895
Bystock,2,42,2392.675369,0.036672140120416,0.542364736608191,0.052932384186521,0.926717571172832,0.655604110835963,0.764758184276328,0.792695569155162,0.629998719545466,0.698033979553835
Dolebury_Warren,2,38,2206.1859,0.0473684210526316,0.583453804010636,0.0783740983316737,0.942086696853018,0.642774947649965,0.75530285266737,0.782023330203368,0.612982921154908,0.71836810889236
Haddon_Hill,2,17,1395.845015,0.0827205882352941,0.564859693341011,0.000335756587554229,0.847066044442587,0.626126504225649,0.749980769041334,0.736489074616803,0.595958304380401,NA
Hangman_Hill,2,28,1526.41536,0.0564285714285714,0.568988546543643,0.00650313209206205,0.931300350704596,0.628157585679969,NA,0.78995573089641,0.594698616117763,NA
Lytchett_Bay,2,19,1522.240003,0.0723684210526316,0.512321941864647,0.00122775291713383,0.896834318090484,0.636579516805828,0.726845330616815,0.799253605886409,0.612240182832962,0.725909041165079
Merthyr_Mawr,2,39,2218.744644,0.0405712431028887,0.555059577554991,0.0368741710407955,0.941630531539082,0.640885451293068,0.775830499264364,0.824824559543363,0.615385017972486,0.774278820239354
Oxwich_Bay,2,30,1651.745892,0.0592156862745098,0.587685146750155,0.101503907531291,0.927567450917178,0.637946728894871,0.742215392811314,0.78934511638549,0.610929603793756,0.77604063918653
Woodland_Hill,2,19,1580.99085,0.0660954712362301,0.524096195727551,0.0135870308853512,0.891150960774505,0.640774846540122,0.754364455454728,0.815192472364789,0.625341983778511,NA
Woolacombe,2,35,1924.255897,0.0446886446886447,0.575494026981004,0.0593605869268744,0.956709753898464,0.631882024919632,NA,0.799575348588539,0.606599723778682,0.794095158476217
Arne,3,14,1179.594996,0.108571428571429,0.537363134683776,3.1928280650762e-05,0.907627756382576,0.619013247438912,0.744909207626767,0.822991014902091,0.574520148375284,0.721509365840241
Bystock,3,39,2363.885369,0.039252928141817,0.528935271236061,0.0530500967943098,0.928348462347939,0.646894176937912,NA,0.795609651309188,0.624534424676619,0.720935614122542
Dolebury_Warren,3,36,2251.229658,0.0450542005420054,0.568553985918343,0.159681948312738,0.9472235835765,0.645728853727098,0.765679555559107,0.795198102804463,0.621477820647691,0.734865234377923
Haddon_Hill,3,17,1494.795009,0.0730837789661319,0.53286118328008,0.00173156872714192,0.917603193377684,0.635219646711869,0.73964982119189,0.85649081516669,0.617498414271551,0.710753599685205
Hangman_Hill,3,28,1672.369653,0.0553935860058309,0.564207474816515,0.00458804903529957,0.94135065897848,0.628028193162569,NA,0.795693560447662,0.596327760377641,NA
Lytchett_Bay,3,19,1493.440003,0.0824561403508772,0.554629306231331,0.00454229699650452,0.942861098248833,0.630836875172092,NA,0.824875606784939,0.599184627438977,NA
Merthyr_Mawr,3,32,1593.480898,0.0519425675675676,0.567227694012442,0.00973031734356684,0.930182110890586,0.645479158295108,0.745995483196129,0.788483455652835,0.616176946832427,0.735075204703549
Oxwich_Bay,3,33,1760.1316,0.0562770562770563,0.573937724269892,0.0757320769661179,0.922549208444404,0.631148555213494,NA,0.756771584257674,0.605353994711865,0.741751529289453
Woodland_Hill,3,17,1533.245006,0.0866013071895425,0.532408988118362,0.00656221239265235,0.921738608486703,0.629727537938777,NA,0.794935653967062,0.596514189694889,NA
Woolacombe,3,33,1801.60589,0.0474481658692185,0.579434223856673,0.0435372469746141,0.944263331034501,0.639981261249913,0.776464821286602,0.811503374285989,0.616906483534144,0.739982902896327
Arne,4,16,1426.495011,0.0892857142857143,0.532712071133859,0.000200707152296291,0.889907045020085,0.622232454578266,0.752614498037095,0.766307375965232,0.574532218172541,0.73474035671393
Bystock,4,41,2435.885368,0.0372704850644012,0.541012441502916,0.0948811439455621,0.910675812093766,0.651407103459828,NA,0.775309755868758,0.625276167950245,0.693568260656016
Dolebury_Warren,4,36,2091.829644,0.0434472934472935,0.554066787880784,0.0395086196675035,0.930888174240431,0.64738618315185,0.757731575173036,0.798630316471816,0.621766390808827,NA
Haddon_Hill,4,14,1228.695015,0.0993788819875776,0.527144314708364,1.30189770004801e-05,0.945545761400211,0.622101723909992,0.757673162955122,0.852261192213408,0.597092697219715,NA
Hangman_Hill,4,20,1188.669646,0.0853658536585366,0.598801398447147,0.00711860291161606,0.956649884173813,0.62370390160581,0.801057636275276,0.782352326391672,0.594845814878319,NA
