Taxon name
Crataegus laevigata
Heracleum mantegazzianum
Hieracium amplexicaule
Hieracium diaphanoides
Hieracium glaucinum
Hieracium lachenalii
Hieracium maculatum
Hieracium murorum
Hieracium pilosum
Hieracium prenanthoides
Hieracium sabaudum
Hieracium schmidtii
Hieracium umbellatum
Hieracium vulgatum
Oenanthe aquatica
Oenanthe fistulosa
Oenanthe fluviatilis
Oenanthe lachenalii
Oenanthe pimpinelloides
Oenanthe silaifolia
Oenothera biennis
Oenothera biennis x glazoviana (O. x fallax)
Oenothera cambrica
Oenothera fallax
Oenothera parviflora
Oxalis articulata
Oxalis corniculata
Oxalis debilis
Oxalis exilis
Oxalis incarnata
Oxalis latifolia
Oxalis stricta
Primula acaulis
Primula elatior
Primula farinosa
Primula vulgaris
Ranunculus aconitifolius
Ranunculus aquatilis
Ranunculus arvensis
Ranunculus auricomus
Ranunculus baudotii
Ranunculus circinatus
Ranunculus ficaria
Ranunculus fluitans
Ranunculus hederaceus
Ranunculus lingua
Ranunculus omiophyllus
Ranunculus ophioglossifolius
Ranunculus paludosus
Ranunculus parviflorus
Ranunculus peltatus
Ranunculus penicillatus
Ranunculus reptans
Ranunculus sardous
Ranunculus trichophyllus
Ranunculus tripartitus
Ranunculus auricomus aggr.
Hieracium alpinum
Hieracium onosmoides
Oxalis pes-caprae
Primula auricula
