"miss_plant_list"	"solution"	"which"
"Ammophila_sp."	"N"	NA
"Centaurium_eritrea"	"typo"	"Centaurium_erythraea"
"Chamerion_angustifolium"	"typo"	"Epilobium_angustifolium"
"Dead_grass"	"N"	NA
"Dead_leaf"	"N"	NA
"Deschampia_flexuosa"	"typo"	"Deschampsia_flexuosa"
"Dryopteris_sp."	"genus"	"Dryopteris"
"Ficaria_verna"	"typo"	"Ranunculus_ficaria"
"Galeopsis_angustifolium"	"typo"	"Galeopsis_angustifolia"
"Grass"	"N"	NA
"Grass_1"	"N"	NA
"Grass_10"	"N"	NA
"Grass_11"	"N"	NA
"Grass_15"	"N"	NA
"Grass_21"	"N"	NA
"Grass_3"	"N"	NA
"Grass_34"	"N"	NA
"Grass_4"	"N"	NA
"Grass_9"	"N"	NA
"Grass_A"	"N"	NA
"Grass_B"	"N"	NA
"Juncus_sp."	"genus"	"Juncus"
"Lotus_pendunculatus"	"typo"	"Lotus_pedunculatus"
"moss"	"N"	NA
"Pilosella_officinarum"	"typo"	"Hieracium_pilosella"
"ranunculus_acris"	"typo"	"Ranunculus_acris"
"Rhododendron_sp."	"genus"	"Rhododendron"
"Rubus_ceasius"	"typo"	"Rubus_caesius"
"Rubus_fruticosus_agg."	"typo"	"Rubus_fruticosus"
"Taraxacum_agg."	"genus"	"Taraxacum"
"Thymus_polytrichus"	"genus"	"Thymus"
"Triglochin_maritima"	"typo"	"Triglochin_maritimum"
"Ulex_galii"	"typo"	"Ulex_gallii"
"Viccia_sativa"	"typo"	"Vicia_sativa"
"Convolvulus_vulgaria"	"alternative"	"Convolvulus_cantabrica"
"Crataegus_sp."	"alternative"	"Crataegus_laevigata"
"Heracleum_sp."	"alternative"	"Heracleum_mantegazzianum"
"Hieracium_agg."	"alternative"	"Hieracium_sabaudum"
"Hieracium_agg."	"alternative"	"Hieracium_umbellatum"
"Hieracium_agg."	"alternative"	"Hieracium_maculatum"
"Oenanthe_sp."	"alternative"	"Oenanthe_pimpinelloides"
"Oenanthe_sp."	"alternative"	"Oenanthe_fistulosa"
"Oenanthe_sp."	"alternative"	"Oenanthe_lachenalii"
"Oenothera_sp."	"alternative"	"Oenothera_cambrica"
"Oxalis_perennis"	"alternative"	"Oxalis_corniculata"
"Primula_arvensis"	"alternative"	"Primula_vulgaris"
"Ranunculus_sp."	"alternative"	"Ranunculus_auricomus"
"Ranunculus_sp."	"alternative"	"Ranunculus_omiophyllus"
"Ranunculus_sp."	"alternative"	"Ranunculus_aquatilis"
