SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11,Prop12,Prop13,Prop14,Prop15,Prop16,Prop17,Prop18,Prop19,Prop20,Prop21,Prop22,Prop23,Prop24,Prop25,Prop26,Prop27,Prop28,Prop29,Prop30,Prop31,Prop32,Prop33,Prop34,Prop35,Prop36,Prop37,Prop38,Prop39,Prop40,Prop41,Prop42,Prop43,Prop44,Prop45,Prop46
1,0.25,0,1,0.994898,0.9795918,0.9642857,0.9540816,0.9438776,0.9387755,0.9234694,0.9183673,0.9081633,0.8979592,0.8826531,0.872449,0.8622449,0.8418367,0.8367347,0.8010204,0.744898,0.7244898,0.7193878,0.7091837,0.6785714,0.6326531,0.6173469,0.5663265,0.5612245,0.4693878,0.4591837,0.4132653,0.3979592,0.3826531,0.372449,0.3673469,0.3571429,0.3520408,0.3265306,0.2397959,0.2295918,0.2193878,0.1989796,0.1836735,0.1020408,0.07653061,0.04081633,0.01530612,0.005102041,0
2,0.25,0,1,0.9846939,0.9336735,0.9285714,0.9183673,0.9081633,0.8979592,0.8928571,0.8877551,0.8826531,0.8673469,0.8520408,0.8010204,0.7857143,0.7806122,0.7704082,0.7653061,0.7346939,0.6836735,0.6785714,0.6683673,0.6581633,0.6479592,0.5969388,0.5714286,0.4846939,0.4642857,0.4234694,0.3877551,0.3622449,0.3520408,0.3265306,0.3112245,0.2959184,0.2908163,0.2857143,0.2755102,0.2653061,0.2602041,0.2142857,0.1887755,0.1785714,0.1632653,0.1326531,0.1071429,0.04081633,0
3,0.25,0,1,0.9693878,0.9336735,0.9183673,0.9030612,0.877551,0.8622449,0.8571429,0.8367347,0.8265306,0.7806122,0.7142857,0.6887755,0.6734694,0.6683673,0.6632653,0.6581633,0.6530612,0.6377551,0.627551,0.6173469,0.6071429,0.5969388,0.5765306,0.5561224,0.5204082,0.494898,0.4846939,0.4030612,0.377551,0.372449,0.3469388,0.3061224,0.3010204,0.2959184,0.2091837,0.2040816,0.1836735,0.1734694,0.1530612,0.1377551,0.1173469,0.09693878,0.08673469,0.06632653,0.01020408,0
4,0.25,0,1,0.9897959,0.9795918,0.9438776,0.9183673,0.9132653,0.9030612,0.8928571,0.8826531,0.8622449,0.8571429,0.8418367,0.8367347,0.8112245,0.7704082,0.755102,0.744898,0.7397959,0.7193878,0.7142857,0.7040816,0.6377551,0.622449,0.5765306,0.5102041,0.4183673,0.4132653,0.4030612,0.372449,0.3214286,0.3010204,0.2857143,0.2755102,0.2653061,0.255102,0.25,0.2397959,0.2091837,0.1989796,0.1785714,0.1683673,0.1581633,0.08163265,0.05612245,0.03571429,0.01530612,0
5,0.25,0,1,0.9846939,0.9642857,0.9591837,0.9081633,0.877551,0.8418367,0.8163265,0.8061224,0.8010204,0.7806122,0.7704082,0.7653061,0.7602041,0.75,0.7346939,0.7142857,0.6989796,0.6938776,0.6734694,0.5765306,0.5714286,0.5612245,0.5561224,0.5408163,0.5357143,0.5255102,0.5153061,0.494898,0.4846939,0.4642857,0.4438776,0.4183673,0.4030612,0.3979592,0.3571429,0.3316327,0.2653061,0.2397959,0.1683673,0.1326531,0.09693878,0.09183673,0.03571429,0.0255102,0.01530612,0
6,0.25,0,1,0.9897959,0.9693878,0.9642857,0.9591837,0.9489796,0.9387755,0.8826531,0.8622449,0.8469388,0.8061224,0.7857143,0.7755102,0.7653061,0.7397959,0.7244898,0.7193878,0.6989796,0.6581633,0.6530612,0.6479592,0.5765306,0.5612245,0.4744898,0.4693878,0.4642857,0.4540816,0.4438776,0.4183673,0.4081633,0.3673469,0.3316327,0.2704082,0.244898,0.2346939,0.2142857,0.1938776,0.1785714,0.1530612,0.1479592,0.1326531,0.127551,0.1173469,0.08163265,0.06122449,0.05612245,0
7,0.25,0,1,0.9846939,0.9795918,0.9693878,0.9489796,0.9438776,0.9336735,0.9285714,0.9081633,0.8979592,0.8877551,0.8826531,0.877551,0.8673469,0.8622449,0.8214286,0.8112245,0.8010204,0.7908163,0.7755102,0.7142857,0.6989796,0.6683673,0.6326531,0.622449,0.5918367,0.5510204,0.4540816,0.4438776,0.4285714,0.3673469,0.3469388,0.3010204,0.2908163,0.2704082,0.255102,0.2346939,0.2295918,0.2193878,0.2040816,0.127551,0.1122449,0.08163265,0.05612245,0.03061224,0.02040816,0
8,0.25,0,1,0.994898,0.9795918,0.9693878,0.9591837,0.9438776,0.9336735,0.9285714,0.9234694,0.9183673,0.9081633,0.8622449,0.8571429,0.8418367,0.8214286,0.8010204,0.7959184,0.7908163,0.7857143,0.7704082,0.7602041,0.7397959,0.7193878,0.6938776,0.6836735,0.6785714,0.5867347,0.5459184,0.4591837,0.4285714,0.3826531,0.3469388,0.3316327,0.3265306,0.3061224,0.2806122,0.2653061,0.2397959,0.2295918,0.2193878,0.2091837,0.1989796,0.1938776,0.1785714,0.1071429,0.0255102,0
9,0.25,0,1,0.9489796,0.9183673,0.9132653,0.8622449,0.8418367,0.8316327,0.8163265,0.7959184,0.7908163,0.7755102,0.7602041,0.755102,0.7397959,0.7295918,0.7142857,0.6683673,0.6632653,0.6581633,0.6479592,0.627551,0.6071429,0.5969388,0.5867347,0.5612245,0.5561224,0.5510204,0.5408163,0.5306122,0.5153061,0.4489796,0.4438776,0.4183673,0.3979592,0.3877551,0.3214286,0.2142857,0.1989796,0.1836735,0.1683673,0.1632653,0.1479592,0.1428571,0.122449,0.1020408,0.06632653,0
10,0.25,0,1,0.9897959,0.9846939,0.9693878,0.9642857,0.9438776,0.9387755,0.9285714,0.9183673,0.877551,0.8469388,0.8214286,0.8061224,0.7959184,0.7857143,0.7806122,0.7755102,0.7704082,0.755102,0.744898,0.7295918,0.7193878,0.6734694,0.6683673,0.6377551,0.5357143,0.5153061,0.4795918,0.4642857,0.4336735,0.3979592,0.3877551,0.377551,0.3673469,0.3520408,0.3418367,0.3316327,0.3214286,0.3163265,0.244898,0.2193878,0.1989796,0.1734694,0.08163265,0.07142857,0.05612245,0
11,0.25,0,1,0.9846939,0.9744898,0.9693878,0.9591837,0.9438776,0.9387755,0.9285714,0.9234694,0.9081633,0.9030612,0.8877551,0.8826531,0.8673469,0.8469388,0.8010204,0.7806122,0.7653061,0.75,0.7295918,0.7244898,0.7193878,0.7091837,0.6989796,0.6887755,0.6785714,0.6683673,0.6428571,0.6326531,0.6071429,0.6020408,0.5918367,0.5765306,0.505102,0.4897959,0.3979592,0.3622449,0.3010204,0.255102,0.2040816,0.1989796,0.1734694,0.1683673,0.1326531,0.05102041,0.04081633,0.01020408
12,0.25,0,1,0.9591837,0.9438776,0.9336735,0.9285714,0.9132653,0.8928571,0.8826531,0.877551,0.872449,0.8571429,0.8520408,0.8418367,0.8316327,0.8214286,0.7908163,0.744898,0.7295918,0.6785714,0.6479592,0.622449,0.6173469,0.6071429,0.5969388,0.5255102,0.494898,0.4897959,0.4846939,0.4744898,0.4693878,0.4132653,0.3877551,0.377551,0.3673469,0.3520408,0.3214286,0.3163265,0.3061224,0.3010204,0.2857143,0.255102,0.2397959,0.1581633,0.1530612,0.1326531,0.09183673,0
13,0.25,0,1,0.9897959,0.9795918,0.9744898,0.9693878,0.8826531,0.877551,0.8622449,0.8520408,0.8469388,0.8265306,0.8163265,0.8010204,0.7602041,0.75,0.7346939,0.7142857,0.6836735,0.6428571,0.6377551,0.622449,0.5612245,0.5561224,0.5510204,0.5204082,0.4744898,0.4642857,0.4489796,0.4438776,0.4336735,0.4234694,0.3826531,0.377551,0.3622449,0.3367347,0.3112245,0.2908163,0.2755102,0.255102,0.244898,0.2397959,0.2295918,0.1683673,0.1479592,0.06632653,0.03061224,0
14,0.25,0,1,0.9897959,0.9693878,0.9642857,0.9132653,0.9030612,0.8877551,0.877551,0.8673469,0.8571429,0.8112245,0.8061224,0.7806122,0.7602041,0.744898,0.7397959,0.7346939,0.7295918,0.6734694,0.6581633,0.6479592,0.5561224,0.5306122,0.5255102,0.5102041,0.505102,0.4846939,0.4387755,0.377551,0.3673469,0.3520408,0.3367347,0.3316327,0.3214286,0.3010204,0.2806122,0.25,0.2397959,0.2295918,0.2040816,0.1734694,0.127551,0.05612245,0.03571429,0.0255102,0.02040816,0
15,0.25,0,1,0.994898,0.9744898,0.9438776,0.9081633,0.8979592,0.8877551,0.877551,0.8622449,0.8520408,0.8418367,0.8061224,0.744898,0.7244898,0.7193878,0.6530612,0.6326531,0.622449,0.6071429,0.5969388,0.5816327,0.5714286,0.5561224,0.5204082,0.5102041,0.5,0.4744898,0.4693878,0.4642857,0.4336735,0.4234694,0.4183673,0.4132653,0.3928571,0.372449,0.3622449,0.3520408,0.3469388,0.2959184,0.2653061,0.2602041,0.255102,0.2346939,0.1887755,0.1122449,0.02040816,0
16,0.25,0,1,0.994898,0.9897959,0.9591837,0.877551,0.8622449,0.8163265,0.7959184,0.7755102,0.7704082,0.75,0.6989796,0.6734694,0.6632653,0.6530612,0.6377551,0.627551,0.622449,0.6173469,0.6122449,0.6020408,0.5816327,0.5765306,0.5459184,0.5204082,0.5153061,0.494898,0.4438776,0.4387755,0.3673469,0.3469388,0.3367347,0.3112245,0.3010204,0.2908163,0.2653061,0.255102,0.2295918,0.1989796,0.1683673,0.1581633,0.1479592,0.1428571,0.05612245,0.03061224,0.02040816,0
17,0.25,0,1,0.9897959,0.9744898,0.9693878,0.9591837,0.9540816,0.9489796,0.8979592,0.877551,0.872449,0.8622449,0.8520408,0.8367347,0.8163265,0.7959184,0.7908163,0.7602041,0.6989796,0.6428571,0.6122449,0.6071429,0.5408163,0.5357143,0.5255102,0.5102041,0.494898,0.4846939,0.4744898,0.4591837,0.4438776,0.4234694,0.4183673,0.4030612,0.377551,0.2806122,0.255102,0.2295918,0.2193878,0.1887755,0.1785714,0.122449,0.1020408,0.08673469,0.08163265,0.07653061,0.02040816,0
18,0.25,0,1,0.9897959,0.9846939,0.9438776,0.9336735,0.9234694,0.9183673,0.8877551,0.877551,0.872449,0.8418367,0.75,0.7295918,0.7091837,0.7040816,0.6989796,0.6428571,0.5918367,0.5102041,0.5,0.4744898,0.4693878,0.4540816,0.3622449,0.3469388,0.3265306,0.3163265,0.3061224,0.2908163,0.2653061,0.25,0.244898,0.2346939,0.2244898,0.1989796,0.1887755,0.1734694,0.1632653,0.1377551,0.1326531,0.122449,0.1020408,0.07142857,0.05102041,0.0255102,0.01020408,0
19,0.25,0,1,0.994898,0.9846939,0.9795918,0.9744898,0.9591837,0.9438776,0.9234694,0.9183673,0.9132653,0.877551,0.8622449,0.8367347,0.8265306,0.8214286,0.8061224,0.7806122,0.7755102,0.7602041,0.7397959,0.7193878,0.7091837,0.6989796,0.6122449,0.5867347,0.5765306,0.5612245,0.5255102,0.4693878,0.4591837,0.4489796,0.4387755,0.4030612,0.3163265,0.2959184,0.2755102,0.1938776,0.1683673,0.1632653,0.1581633,0.1377551,0.127551,0.1071429,0.08673469,0.07142857,0.01530612,0
