SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8
1,0.25,0,1,0.8965517,0.7068966,0.5862069,0.5,0.3965517,0.2586207,0.137931,0
2,0.25,0,1,0.8965517,0.6206897,0.5517241,0.4655172,0.4310345,0.3103448,0.1551724,0
3,0.25,0,1,0.8793103,0.7931034,0.6896552,0.6551724,0.5344828,0.3103448,0.1034483,0
4,0.25,0,1,0.8793103,0.7586207,0.6551724,0.4310345,0.3448276,0.137931,0.0862069,0
5,0.25,0,1,0.8965517,0.7586207,0.6724138,0.6034483,0.4482759,0.3275862,0.137931,0
6,0.25,0,1,0.8965517,0.6206897,0.5862069,0.5172414,0.362069,0.2413793,0.1551724,0
7,0.25,0,1,0.8793103,0.8103448,0.7068966,0.5172414,0.4827586,0.3275862,0.1206897,0
8,0.25,0,1,0.8275862,0.7586207,0.637931,0.6034483,0.5172414,0.362069,0.2413793,0
9,0.25,0,1,0.8965517,0.7241379,0.6896552,0.6034483,0.4310345,0.2758621,0.1551724,0
10,0.25,0,1,0.8793103,0.8448276,0.7413793,0.5517241,0.4137931,0.3275862,0.2068966,0
11,0.25,0,1,0.8965517,0.7758621,0.6551724,0.6206897,0.5172414,0.3103448,0.1896552,0
12,0.25,0,1,0.9655172,0.8448276,0.7413793,0.637931,0.5172414,0.3103448,0.2241379,0.1034483
13,0.25,0,1,0.9310345,0.8965517,0.7931034,0.6034483,0.4827586,0.3275862,0.2068966,0
14,0.25,0,1,0.8793103,0.7758621,0.6896552,0.637931,0.5172414,0.2068966,0.1206897,0
15,0.25,0,1,0.9310345,0.8965517,0.8103448,0.6724138,0.5517241,0.4310345,0.2241379,0.1034483
16,0.25,0,1,0.9310345,0.8965517,0.7931034,0.5172414,0.3965517,0.2413793,0.1551724,0
17,0.25,0,1,0.8793103,0.8103448,0.6896552,0.5862069,0.3448276,0.2931034,0.0862069,0
18,0.25,0,1,0.8965517,0.7586207,0.6724138,0.5517241,0.4310345,0.3275862,0.2068966,0
19,0.25,0,1,0.8793103,0.7931034,0.7241379,0.5517241,0.3965517,0.2586207,0.137931,0
20,0.25,0,1,0.9137931,0.7413793,0.6724138,0.637931,0.5344828,0.3103448,0.1551724,0
21,0.25,0,1,0.8965517,0.7241379,0.6896552,0.5172414,0.4310345,0.3103448,0.137931,0
22,0.25,0,1,0.9310345,0.7586207,0.7241379,0.637931,0.5172414,0.362069,0.2413793,0
23,0.25,0,1,0.9137931,0.7931034,0.6206897,0.4655172,0.362069,0.1896552,0.1551724,0
24,0.25,0,1,0.8793103,0.7068966,0.5862069,0.4655172,0.2758621,0.1724138,0.03448276,0
25,0.25,0,1,0.8793103,0.7758621,0.6896552,0.5689655,0.2586207,0.137931,0.03448276,0
26,0.25,0,1,0.8965517,0.7758621,0.6896552,0.5689655,0.2758621,0.137931,0.1034483,0
27,0.25,0,1,0.9310345,0.8448276,0.7068966,0.5862069,0.362069,0.1551724,0.03448276,0
28,0.25,0,1,0.8275862,0.7241379,0.4655172,0.3448276,0.2758621,0.137931,0.03448276,0
29,0.25,0,1,0.8965517,0.7068966,0.6724138,0.5,0.362069,0.2586207,0.137931,0
30,0.25,0,1,0.8965517,0.7758621,0.5517241,0.4655172,0.362069,0.3275862,0.137931,0
31,0.25,0,1,0.9137931,0.8793103,0.8103448,0.7068966,0.4482759,0.3275862,0.137931,0
32,0.25,0,1,0.8793103,0.7758621,0.6034483,0.4655172,0.362069,0.1551724,0.03448276,0
33,0.25,0,1,0.9655172,0.862069,0.7413793,0.6206897,0.4310345,0.3103448,0.1034483,0
34,0.25,0,1,0.8793103,0.7586207,0.6896552,0.4827586,0.3965517,0.2931034,0.03448276,0
35,0.25,0,1,0.9137931,0.7931034,0.6896552,0.5172414,0.3965517,0.2413793,0.2068966,0
