SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11,Prop12,Prop13,Prop14,Prop15,Prop16,Prop17,Prop18,Prop19,Prop20,Prop21,Prop22,Prop23,Prop24,Prop25,Prop26,Prop27,Prop28,Prop29,Prop30,Prop31,Prop32,Prop33,Prop34,Prop35,Prop36,Prop37,Prop38,Prop39
1,0.25,0,1,0.9924242,0.9545455,0.9469697,0.9318182,0.9090909,0.9015152,0.8863636,0.8712121,0.8560606,0.8484848,0.8333333,0.8181818,0.7878788,0.7727273,0.7651515,0.7045455,0.6893939,0.6666667,0.6060606,0.5909091,0.5833333,0.5757576,0.5378788,0.5075758,0.4772727,0.3560606,0.3409091,0.3257576,0.3106061,0.219697,0.2045455,0.1212121,0.1060606,0.06818182,0.0530303,0.03787879,0.02272727,0.01515152,0
2,0.25,0,1,0.9924242,0.9772727,0.9393939,0.9318182,0.9166667,0.9090909,0.9015152,0.8787879,0.7727273,0.7651515,0.75,0.6893939,0.6742424,0.6515152,0.6212121,0.6060606,0.5984848,0.5833333,0.5757576,0.5606061,0.5454545,0.5,0.4318182,0.4015152,0.3863636,0.3636364,0.3333333,0.3106061,0.2727273,0.2575758,0.2424242,0.2272727,0.1590909,0.1439394,0.1287879,0.1212121,0.1060606,0.03030303,0
3,0.25,0,1,0.9848485,0.9772727,0.969697,0.9469697,0.9318182,0.9090909,0.8106061,0.75,0.7424242,0.7272727,0.719697,0.6893939,0.6287879,0.6136364,0.5984848,0.5757576,0.5530303,0.530303,0.4469697,0.4393939,0.4242424,0.4166667,0.3863636,0.3712121,0.3560606,0.3409091,0.3030303,0.2878788,0.2651515,0.1818182,0.1363636,0.1212121,0.1136364,0.09848485,0.08333333,0.0530303,0.03030303,0.01515152,0
4,0.25,0,1,0.9848485,0.969697,0.9545455,0.9469697,0.8939394,0.8863636,0.8712121,0.8560606,0.8333333,0.8257576,0.8106061,0.780303,0.7651515,0.75,0.7348485,0.7272727,0.6212121,0.6060606,0.5833333,0.4924242,0.4848485,0.4772727,0.4621212,0.3787879,0.3636364,0.3560606,0.3257576,0.3106061,0.2954545,0.2575758,0.2424242,0.2272727,0.2121212,0.2045455,0.1893939,0.1439394,0.1136364,0.08333333,0
5,0.25,0,1,0.9545455,0.9318182,0.9166667,0.9015152,0.8939394,0.8636364,0.8484848,0.8333333,0.8257576,0.8030303,0.7878788,0.7348485,0.719697,0.7121212,0.6742424,0.6666667,0.6515152,0.6136364,0.5984848,0.5909091,0.5757576,0.5606061,0.5454545,0.5151515,0.4848485,0.4621212,0.4545455,0.3712121,0.3333333,0.2045455,0.1742424,0.1590909,0.1439394,0.1287879,0.1060606,0.03030303,0.02272727,0.01515152,0
6,0.25,0,1,0.9848485,0.9621212,0.9318182,0.9242424,0.8863636,0.8636364,0.8484848,0.8333333,0.75,0.7424242,0.7272727,0.7121212,0.6818182,0.6590909,0.6439394,0.6287879,0.6212121,0.6136364,0.5909091,0.5833333,0.5681818,0.5075758,0.4924242,0.4848485,0.469697,0.3484848,0.3409091,0.25,0.2348485,0.219697,0.2045455,0.1893939,0.1060606,0.09848485,0.07575758,0.06818182,0.04545455,0.01515152,0
7,0.25,0,1,0.9772727,0.9621212,0.9393939,0.8787879,0.8560606,0.8409091,0.780303,0.7424242,0.7272727,0.719697,0.7045455,0.6893939,0.6742424,0.6439394,0.6212121,0.6136364,0.6060606,0.5757576,0.5151515,0.4924242,0.4772727,0.4545455,0.4015152,0.3863636,0.3787879,0.3636364,0.3484848,0.3333333,0.3030303,0.2954545,0.280303,0.2424242,0.2272727,0.219697,0.2045455,0.1969697,0.1742424,0.01515152,0
8,0.25,0,1,0.9090909,0.9015152,0.8863636,0.8712121,0.8409091,0.8257576,0.8181818,0.7954545,0.7727273,0.7575758,0.7424242,0.7348485,0.719697,0.7045455,0.6666667,0.6287879,0.6136364,0.6060606,0.5681818,0.5151515,0.5,0.4772727,0.4621212,0.4318182,0.4166667,0.3409091,0.3257576,0.3106061,0.3030303,0.2954545,0.280303,0.2651515,0.1742424,0.1515152,0.1363636,0.1212121,0.04545455,0.03030303,0
9,0.25,0,1,0.9848485,0.969697,0.9318182,0.9166667,0.8257576,0.8181818,0.8030303,0.7878788,0.7651515,0.75,0.7348485,0.6818182,0.6742424,0.6590909,0.6439394,0.6212121,0.5530303,0.5454545,0.5075758,0.5,0.4848485,0.469697,0.4166667,0.3939394,0.3712121,0.3636364,0.3333333,0.3181818,0.3030303,0.2727273,0.2651515,0.25,0.1742424,0.1590909,0.06060606,0.0530303,0.02272727,0.01515152,0
10,0.25,0,1,0.9924242,0.9469697,0.9393939,0.9166667,0.8636364,0.8560606,0.8409091,0.8257576,0.8181818,0.6969697,0.6818182,0.6439394,0.5833333,0.5757576,0.5681818,0.5530303,0.5378788,0.5227273,0.5151515,0.4318182,0.4166667,0.3863636,0.3787879,0.3712121,0.3560606,0.3484848,0.3333333,0.280303,0.2651515,0.25,0.2424242,0.2272727,0.1969697,0.1666667,0.1363636,0.09090909,0.07575758,0.01515152,0
