SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10
1,0.25,0,1,0.9272727,0.6727273,0.6181818,0.5818182,0.5272727,0.5090909,0.1272727,0.09090909,0.05454545,0
2,0.25,0,1,0.9636364,0.6727273,0.3636364,0.3272727,0.2909091,0.2363636,0.2,0.1272727,0.09090909,0
3,0.25,0,1,0.9818182,0.9090909,0.6181818,0.5636364,0.5272727,0.4909091,0.1454545,0.09090909,0.05454545,0.01818182
4,0.25,0,1,0.9454545,0.6545455,0.6181818,0.3090909,0.2545455,0.2181818,0.1636364,0.1272727,0.01818182,0
5,0.25,0,1,0.9636364,0.9272727,0.8545455,0.8363636,0.8,0.7636364,0.7272727,0.4363636,0.3818182,0.01818182
6,0.25,0,1,0.7090909,0.6727273,0.3636364,0.3090909,0.2545455,0.2181818,0.1818182,0.1272727,0.09090909,0
7,0.25,0,1,0.9636364,0.9090909,0.8545455,0.5636364,0.5454545,0.5090909,0.1818182,0.07272727,0.03636364,0
8,0.25,0,1,0.9636364,0.9454545,0.6545455,0.6363636,0.5818182,0.2363636,0.1818182,0.07272727,0.03636364,0
9,0.25,0,1,0.9454545,0.9090909,0.6181818,0.3090909,0.2545455,0.2181818,0.1818182,0.1272727,0.03636364,0
10,0.25,0,1,0.9272727,0.6727273,0.6181818,0.5454545,0.5090909,0.4545455,0.4363636,0.4,0.03636364,0
11,0.25,0,1,0.9818182,0.9636364,0.8909091,0.8545455,0.5636364,0.5090909,0.4727273,0.4,0.3636364,0
12,0.25,0,1,0.7636364,0.6909091,0.6363636,0.2909091,0.1818182,0.1454545,0.09090909,0.07272727,0.03636364,0
13,0.25,0,1,0.9636364,0.9454545,0.6909091,0.6,0.5636364,0.2,0.1090909,0.07272727,0.03636364,0
14,0.25,0,1,0.9636364,0.9272727,0.6181818,0.5636364,0.5272727,0.4545455,0.1090909,0.07272727,0.03636364,0
15,0.25,0,1,0.9636364,0.9090909,0.6181818,0.5454545,0.5090909,0.4909091,0.4545455,0.09090909,0.03636364,0
16,0.25,0,1,0.7636364,0.7090909,0.6545455,0.5636364,0.5090909,0.4909091,0.4545455,0.4,0.03636364,0
17,0.25,0,1,0.9818182,0.9636364,0.8909091,0.8545455,0.8181818,0.5454545,0.4545455,0.09090909,0.05454545,0.01818182
18,0.25,0,1,0.9454545,0.9090909,0.6,0.5818182,0.5090909,0.4909091,0.4545455,0.4181818,0.3818182,0.01818182
19,0.25,0,1,0.9636364,0.9272727,0.9090909,0.8727273,0.8363636,0.7636364,0.4727273,0.4,0.3636364,0
20,0.25,0,1,0.9818182,0.9090909,0.8909091,0.8545455,0.8,0.7636364,0.7272727,0.4363636,0.05454545,0.01818182
21,0.25,0,1,0.9454545,0.8727273,0.6,0.5454545,0.5090909,0.1272727,0.09090909,0.05454545,0.03636364,0
22,0.25,0,1,0.7636364,0.6727273,0.6363636,0.6,0.5636364,0.5272727,0.4727273,0.4363636,0.3636364,0
23,0.25,0,1,0.9818182,0.9272727,0.8909091,0.8545455,0.5818182,0.5272727,0.1818182,0.1454545,0.09090909,0
24,0.25,0,1,0.7090909,0.6909091,0.6727273,0.6,0.5454545,0.5090909,0.4727273,0.4363636,0.05454545,0
25,0.25,0,1,0.7636364,0.7090909,0.6181818,0.6,0.5454545,0.1818182,0.1454545,0.1090909,0.05454545,0
