SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11,Prop12,Prop13,Prop14,Prop15,Prop16,Prop17,Prop18,Prop19,Prop20,Prop21,Prop22,Prop23,Prop24,Prop25,Prop26,Prop27,Prop28
1,0.25,0,1,0.8521127,0.8380282,0.7253521,0.6830986,0.6549296,0.6267606,0.5985915,0.584507,0.5704225,0.556338,0.5422535,0.5352113,0.4859155,0.4788732,0.471831,0.4577465,0.443662,0.4295775,0.3521127,0.3028169,0.2816901,0.1901408,0.1690141,0.1549296,0.09859155,0.02816901,0.01408451,0
2,0.25,0,1,0.9788732,0.9647887,0.9577465,0.8732394,0.8521127,0.7957746,0.7112676,0.5140845,0.4859155,0.4295775,0.415493,0.3591549,0.2957746,0.2816901,0.2746479,0.2535211,0.2394366,0.2253521,0.1760563,0.1619718,0.1549296,0.1408451,0.1267606,0.04225352,0.03521127,0.02112676,0.01408451,0
3,0.25,0,1,0.9859155,0.9577465,0.9295775,0.8450704,0.8309859,0.8169014,0.7746479,0.5915493,0.5704225,0.556338,0.5492958,0.4507042,0.4225352,0.415493,0.4084507,0.3239437,0.2676056,0.1971831,0.1830986,0.1690141,0.1619718,0.1126761,0.09859155,0.08450704,0.07746479,0.06338028,0.01408451,0
4,0.25,0,1,0.8521127,0.8098592,0.8028169,0.6830986,0.6549296,0.6338028,0.6056338,0.584507,0.5704225,0.556338,0.5492958,0.5422535,0.4859155,0.3380282,0.2464789,0.2394366,0.1901408,0.1760563,0.1619718,0.1478873,0.1338028,0.1197183,0.1056338,0.05633803,0.04225352,0.02816901,0.01408451,0
5,0.25,0,1,0.9929577,0.9084507,0.8873239,0.8732394,0.8591549,0.8521127,0.7887324,0.7816901,0.5915493,0.584507,0.5704225,0.5140845,0.4859155,0.4577465,0.3450704,0.2746479,0.2112676,0.1971831,0.1830986,0.1338028,0.1197183,0.1056338,0.0915493,0.08450704,0.07042254,0.05633803,0.04929577,0
6,0.25,0,1,0.9929577,0.9507042,0.915493,0.9014085,0.8943662,0.8732394,0.6830986,0.6690141,0.6619718,0.5633803,0.5422535,0.4788732,0.415493,0.4084507,0.3943662,0.3732394,0.3661972,0.3380282,0.3169014,0.2394366,0.2253521,0.2112676,0.1971831,0.1478873,0.1338028,0.1197183,0.1126761,0.01408451
7,0.25,0,1,0.8521127,0.7394366,0.7253521,0.6830986,0.6690141,0.6478873,0.6267606,0.6126761,0.5985915,0.5704225,0.556338,0.5352113,0.5211268,0.5140845,0.4577465,0.3873239,0.3380282,0.2605634,0.2464789,0.2253521,0.2183099,0.2042254,0.1901408,0.09859155,0.07042254,0.06338028,0.04929577,0
8,0.25,0,1,0.915493,0.7394366,0.6830986,0.6197183,0.5774648,0.5633803,0.5352113,0.528169,0.5070423,0.471831,0.4507042,0.443662,0.4225352,0.3732394,0.3591549,0.3450704,0.3380282,0.3239437,0.2464789,0.1549296,0.1267606,0.1126761,0.09859155,0.08450704,0.07746479,0.06338028,0.04929577,0
9,0.25,0,1,0.9929577,0.971831,0.915493,0.8380282,0.8028169,0.7887324,0.6197183,0.528169,0.4788732,0.4295775,0.4225352,0.4084507,0.3380282,0.3239437,0.3098592,0.2957746,0.2887324,0.1830986,0.1619718,0.1478873,0.1408451,0.1338028,0.07042254,0.05633803,0.04225352,0.02816901,0.01408451,0
10,0.25,0,1,0.8521127,0.7394366,0.7112676,0.6267606,0.5985915,0.584507,0.5070423,0.4859155,0.4225352,0.3521127,0.3450704,0.3309859,0.3098592,0.2535211,0.2323944,0.2183099,0.2042254,0.1549296,0.1478873,0.1338028,0.1197183,0.1056338,0.09859155,0.0915493,0.07746479,0.02816901,0.01408451,0
11,0.25,0,1,0.8521127,0.8450704,0.7323944,0.7253521,0.6760563,0.6619718,0.6338028,0.6267606,0.528169,0.4929577,0.471831,0.4507042,0.4295775,0.4225352,0.3380282,0.3309859,0.3169014,0.3028169,0.2535211,0.1971831,0.1267606,0.1126761,0.09859155,0.08450704,0.07042254,0.06338028,0.01408451,0
12,0.25,0,1,0.971831,0.8098592,0.7042254,0.6830986,0.6619718,0.5633803,0.5070423,0.4929577,0.4859155,0.4788732,0.471831,0.4225352,0.4084507,0.3943662,0.3380282,0.2746479,0.2605634,0.2535211,0.2394366,0.2253521,0.2042254,0.1197183,0.1056338,0.0915493,0.07746479,0.06338028,0.01408451,0
