SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11,Prop12,Prop13,Prop14,Prop15,Prop16,Prop17,Prop18,Prop19,Prop20,Prop21,Prop22,Prop23,Prop24,Prop25,Prop26,Prop27,Prop28,Prop29,Prop30,Prop31,Prop32,Prop33,Prop34,Prop35,Prop36,Prop37,Prop38,Prop39,Prop40,Prop41
1,0.25,0,1,0.9766082,0.9649123,0.9532164,0.9415205,0.9064327,0.877193,0.8538012,0.8245614,0.8070175,0.7660819,0.748538,0.7426901,0.7309942,0.6549708,0.6374269,0.6140351,0.5964912,0.5789474,0.5497076,0.497076,0.4853801,0.4736842,0.4385965,0.4210526,0.4093567,0.3976608,0.3859649,0.3625731,0.3450292,0.1988304,0.1578947,0.0994152,0.09356725,0.07602339,0.06432749,0.05263158,0.04678363,0.03508772,0.02339181,0.005847953,0
2,0.25,0,1,0.9824561,0.9649123,0.9415205,0.9298246,0.9181287,0.8888889,0.8538012,0.8128655,0.8011696,0.7836257,0.7719298,0.6959064,0.6842105,0.6725146,0.6608187,0.6549708,0.6491228,0.619883,0.6023392,0.5847953,0.5672515,0.5497076,0.5204678,0.4619883,0.4502924,0.4269006,0.3625731,0.2397661,0.1988304,0.1578947,0.1461988,0.1403509,0.1345029,0.122807,0.1111111,0.0994152,0.08187135,0.06432749,0.02339181,0.01754386,0
3,0.25,0,1,0.994152,0.9824561,0.9415205,0.9122807,0.8947368,0.877193,0.8538012,0.8304094,0.8011696,0.7894737,0.7660819,0.7368421,0.7134503,0.6725146,0.6374269,0.6081871,0.5964912,0.5263158,0.5204678,0.5146199,0.502924,0.4444444,0.4269006,0.4035088,0.2690058,0.2222222,0.1929825,0.1812865,0.1695906,0.1637427,0.1520468,0.1403509,0.122807,0.1169591,0.0994152,0.08187135,0.04093567,0.02923977,0.01754386,0.01169591,0
4,0.25,0,1,0.9824561,0.9590643,0.9298246,0.9064327,0.8888889,0.877193,0.8479532,0.8128655,0.7953216,0.7251462,0.7192982,0.6842105,0.6725146,0.6549708,0.5964912,0.5789474,0.5672515,0.5555556,0.4502924,0.4093567,0.3859649,0.3625731,0.3508772,0.2807018,0.2573099,0.245614,0.2397661,0.1812865,0.1754386,0.1637427,0.1578947,0.1403509,0.122807,0.1169591,0.0994152,0.0877193,0.07017544,0.05263158,0.04678363,0.03508772,0
5,0.25,0,1,0.9883041,0.9766082,0.9590643,0.9473684,0.9239766,0.8947368,0.8654971,0.8362573,0.7894737,0.7251462,0.7076023,0.6959064,0.6549708,0.6140351,0.5964912,0.5789474,0.5672515,0.5497076,0.4795322,0.4736842,0.4502924,0.4444444,0.4327485,0.4210526,0.3976608,0.374269,0.3625731,0.3450292,0.3274854,0.3099415,0.2982456,0.2865497,0.2807018,0.2690058,0.2222222,0.2105263,0.1812865,0.05263158,0.01754386,0.005847953,0
6,0.25,0,1,0.994152,0.9824561,0.9649123,0.9532164,0.9181287,0.8947368,0.877193,0.7953216,0.7368421,0.7251462,0.7076023,0.6900585,0.6432749,0.625731,0.6081871,0.5906433,0.5789474,0.5672515,0.5438596,0.5087719,0.4736842,0.4385965,0.4210526,0.4093567,0.3976608,0.2923977,0.2573099,0.2163743,0.2105263,0.2046784,0.1929825,0.1403509,0.0994152,0.07602339,0.06432749,0.05263158,0.04093567,0.02923977,0.01754386,0.005847953,0
7,0.25,0,1,0.9766082,0.9649123,0.9532164,0.9356725,0.8479532,0.8011696,0.7777778,0.7660819,0.7309942,0.6959064,0.6900585,0.6783626,0.6491228,0.5906433,0.5730994,0.5614035,0.5380117,0.5146199,0.4795322,0.4269006,0.3684211,0.2923977,0.2807018,0.251462,0.2397661,0.2046784,0.1871345,0.1695906,0.1520468,0.1403509,0.122807,0.1111111,0.0994152,0.0877193,0.08187135,0.07017544,0.06432749,0.05263158,0.02923977,0.01754386,0
8,0.25,0,1,0.9766082,0.9590643,0.9473684,0.9356725,0.9122807,0.8830409,0.871345,0.8479532,0.8362573,0.8245614,0.8070175,0.8011696,0.7777778,0.6783626,0.5614035,0.5380117,0.5146199,0.4795322,0.4678363,0.4502924,0.4385965,0.3976608,0.3859649,0.380117,0.3333333,0.3274854,0.3157895,0.245614,0.2280702,0.2222222,0.1929825,0.1812865,0.122807,0.0994152,0.07602339,0.06432749,0.05263158,0.03508772,0.02339181,0.01169591,0
9,0.25,0,1,0.9824561,0.9649123,0.9298246,0.9005848,0.8362573,0.8187135,0.8011696,0.7251462,0.7076023,0.6959064,0.6608187,0.6491228,0.6374269,0.6140351,0.6023392,0.5906433,0.5321637,0.5263158,0.5146199,0.4795322,0.4678363,0.4619883,0.4502924,0.4093567,0.3918129,0.374269,0.3508772,0.3450292,0.3274854,0.1929825,0.1461988,0.122807,0.1111111,0.09356725,0.06432749,0.04678363,0.04093567,0.02923977,0.01754386,0.01169591,0
10,0.25,0,1,0.9883041,0.9649123,0.9239766,0.9122807,0.9064327,0.8888889,0.877193,0.8362573,0.8128655,0.7894737,0.7660819,0.754386,0.6842105,0.6783626,0.6549708,0.6374269,0.6140351,0.5964912,0.5789474,0.5672515,0.5321637,0.5263158,0.5146199,0.4561404,0.4444444,0.4327485,0.3976608,0.3274854,0.1929825,0.1520468,0.1461988,0.1403509,0.1345029,0.122807,0.1169591,0.0994152,0.08187135,0.04678363,0.02923977,0.01169591,0
