SimNo,ExtThrs,FlexThrs,Prop0,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10
1,0.25,0,1,0.9230769,0.8717949,0.8205128,0.6923077,0.6410256,0.5897436,0.5128205,0.4615385,0.4102564,0
2,0.25,0,1,0.9487179,0.9230769,0.8461538,0.7948718,0.7435897,0.6410256,0.5897436,0.5384615,0.1538462,0
3,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.7179487,0.6410256,0.5897436,0.2820513,0.1538462,0
4,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7948718,0.7692308,0.6410256,0.5897436,0.2820513,0.1538462,0
5,0.25,0,1,0.9487179,0.8717949,0.8461538,0.7948718,0.7435897,0.6923077,0.6666667,0.5384615,0.1538462,0
6,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7435897,0.6923077,0.5897436,0.5384615,0.1538462,0
7,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7179487,0.6666667,0.6153846,0.5384615,0.4102564,0
8,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
9,0.25,0,1,0.9487179,0.9230769,0.8974359,0.8461538,0.7948718,0.7179487,0.5897436,0.5384615,0.4102564,0
10,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.7435897,0.7179487,0.5897436,0.4615385,0.4102564,0
11,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7948718,0.7179487,0.6923077,0.6666667,0.5384615,0.1538462,0
12,0.25,0,1,0.9487179,0.8717949,0.7948718,0.7435897,0.4615385,0.4102564,0.3333333,0.2820513,0.05128205,0
13,0.25,0,1,0.9230769,0.8974359,0.8461538,0.7948718,0.7692308,0.7179487,0.5897436,0.2820513,0.05128205,0
14,0.25,0,1,0.974359,0.9230769,0.8461538,0.7435897,0.6923077,0.6410256,0.5897436,0.2820513,0.05128205,0
15,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7948718,0.7179487,0.6666667,0.5384615,0.1538462,0
16,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
17,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7948718,0.7692308,0.7435897,0.6153846,0.5384615,0.4102564,0
18,0.25,0,1,0.8717949,0.8205128,0.7948718,0.7435897,0.6923077,0.6153846,0.5128205,0.4615385,0.4102564,0
19,0.25,0,1,0.9230769,0.8461538,0.7948718,0.7435897,0.6923077,0.6410256,0.5897436,0.2820513,0.05128205,0
20,0.25,0,1,0.9487179,0.9230769,0.8974359,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
21,0.25,0,1,0.9487179,0.9230769,0.8717949,0.7692308,0.6923077,0.6410256,0.5897436,0.5384615,0.1538462,0
22,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.6410256,0.5641026,0.5128205,0.4615385,0.4102564,0
23,0.25,0,1,0.9487179,0.8974359,0.8461538,0.7692308,0.7179487,0.6410256,0.5897436,0.4615385,0.05128205,0
24,0.25,0,1,0.9487179,0.8974359,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.4615385,0.4102564,0
25,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
26,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.2051282,0.1538462,0
27,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8461538,0.7692308,0.7179487,0.5897436,0.4615385,0.05128205,0
28,0.25,0,1,0.9487179,0.8974359,0.8717949,0.7435897,0.6666667,0.5641026,0.5128205,0.4615385,0.4102564,0
29,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7179487,0.6666667,0.5897436,0.4615385,0.05128205,0
30,0.25,0,1,0.9487179,0.8717949,0.8205128,0.7692308,0.6923077,0.6410256,0.5897436,0.4615385,0.4102564,0
31,0.25,0,1,0.9230769,0.8717949,0.8205128,0.7692308,0.7179487,0.6410256,0.5897436,0.5384615,0.4102564,0
32,0.25,0,1,0.974359,0.9230769,0.8205128,0.7435897,0.6923077,0.6410256,0.5897436,0.5384615,0.4102564,0
33,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7692308,0.7435897,0.6666667,0.2820513,0.1538462,0
34,0.25,0,1,0.9487179,0.8717949,0.5897436,0.5384615,0.5128205,0.4615385,0.3333333,0.1025641,0.05128205,0
35,0.25,0,1,0.9487179,0.8974359,0.8461538,0.8205128,0.7435897,0.7179487,0.5897436,0.5384615,0.1538462,0
36,0.25,0,1,0.974359,0.9230769,0.8717949,0.8205128,0.7435897,0.6923077,0.5641026,0.5384615,0.4102564,0
37,0.25,0,1,0.9487179,0.9230769,0.8717949,0.8205128,0.7435897,0.7179487,0.5897436,0.5384615,0.4102564,0
38,0.25,0,1,0.9487179,0.8717949,0.8461538,0.7435897,0.6923077,0.5641026,0.5128205,0.4615385,0.4102564,0
39,0.25,0,1,0.974359,0.9230769,0.8717949,0.8205128,0.7435897,0.6923077,0.6666667,0.5384615,0.4102564,0
