monad,triad,habitat,SC_monad,SC_triad,n2sample
Pewsey_Downs,Dolebury_Warren,grassland,0.6719,0.6119,238
Wyeswood_Common,Dolebury_Warren,grassland,0.7093,0.6119,198
Pewsey_Downs,Merthyr_Mawr,grassland,0.6719,0.6358,272
Wyeswood_Common,Merthyr_Mawr,grassland,0.7093,0.6358,235
Pewsey_Downs,Woolacombe,grassland,0.6719,0.7466,NA
Wyeswood_Common,Woolacombe,grassland,0.7093,0.7466,NA
Pewsey_Downs,Oxwich_Bay,grassland,0.6719,0.4126,84
Wyeswood_Common,Oxwich_Bay,grassland,0.7093,0.4126,62
Pewsey_Downs,Hangman_Hill,grassland,0.6719,0.5961,218
Wyeswood_Common,Hangman_Hill,grassland,0.7093,0.5961,178
Pewsey_Downs,Bystock,grassland,0.6719,0.6738,NA
Wyeswood_Common,Bystock,grassland,0.7093,0.6738,316
Dunkery_Hill,Haddon_Hill,heathland,0.8664,0.6244,35
Wheal_Coates,Haddon_Hill,heathland,0.8365,0.6244,8
Dunkery_Hill,Woodland_Hill,heathland,0.8664,0.9131,NA
Wheal_Coates,Woodland_Hill,heathland,0.8365,0.9131,NA
Dunkery_Hill,Arne,heathland,0.8664,0.6681,42
Wheal_Coates,Arne,heathland,0.8365,0.6681,12
Dunkery_Hill,Hangman_Hill,heathland,0.8664,0.3524,12
Wheal_Coates,Hangman_Hill,heathland,0.8365,0.3524,2
Dunkery_Hill,Bystock,heathland,0.8664,0.8673,NA
Wheal_Coates,Bystock,heathland,0.8365,0.8673,NA
Burnham-on-Sea,Merthyr_Mawr,salt_marsh,0.8824,0.8454,83
Burnham-on-Sea,Lytchett_Bay,salt_marsh,0.8824,0.5058,3
Burnham-on-Sea,Arne,salt_marsh,0.8824,0.5707,4
Penhale_Sands,Merthyr_Mawr,sand_dune,0.8025,0.6609,76
Penhale_Sands,Woolacombe,sand_dune,0.8025,0.4618,23
Penhale_Sands,Oxwich_Bay,sand_dune,0.8025,0.6188,57
Hells_Mouth,Haddon_Hill,scrub,0.7864,0.2843,7
Dartmoor_Scrub,Haddon_Hill,scrub,0.8377,0.2843,2
Hells_Mouth,Dolebury_Warren,scrub,0.7864,0.6165,57
Dartmoor_Scrub,Dolebury_Warren,scrub,0.8377,0.6165,17
Hells_Mouth,Woolacombe,scrub,0.7864,0.6632,84
Dartmoor_Scrub,Woolacombe,scrub,0.8377,0.6632,24
Hells_Mouth,Lytchett_Bay,scrub,0.7864,0.6269,62
Dartmoor_Scrub,Lytchett_Bay,scrub,0.8377,0.6269,18
Hells_Mouth,Woodland_Hill,scrub,0.7864,0.6095,54
Dartmoor_Scrub,Woodland_Hill,scrub,0.8377,0.6095,16
Hells_Mouth,Oxwich_Bay,scrub,0.7864,0.5805,43
Dartmoor_Scrub,Oxwich_Bay,scrub,0.8377,0.5805,12
Hells_Mouth,Hangman_Hill,scrub,0.7864,0.6538,78
Dartmoor_Scrub,Hangman_Hill,scrub,0.8377,0.6538,22
Leigh_Woods,Haddon_Hill,woodland,0.7662,0.4238,6
Forest_of_Dean,Haddon_Hill,woodland,0.789,0.4238,1
Leigh_Woods,Dolebury_Warren,woodland,0.7662,0.5031,12
Forest_of_Dean,Dolebury_Warren,woodland,0.789,0.5031,2
Leigh_Woods,Bystock,woodland,0.7662,0.7076,44
Forest_of_Dean,Bystock,woodland,0.789,0.7076,57
Leigh_Woods,Lytchett_Bay,woodland,0.7662,0.5923,23
Forest_of_Dean,Lytchett_Bay,woodland,0.789,0.5923,3
Leigh_Woods,Woodland_Hill,woodland,0.7662,0.5646,20
Forest_of_Dean,Woodland_Hill,woodland,0.789,0.5646,2
Leigh_Woods,Arne,woodland,0.7662,1,NA
Forest_of_Dean,Arne,woodland,0.789,1,NA
