monad,triad,habitat,n_pl_monad,n_pl_triad,SC_triad,SC_monad_mean,SC_monad_sd,n2sample_mean,n2sample_sd
Burnham-on-Sea,Merthyr_Mawr,salt_marsh,8,4,0.8454,0.800997,0.141835194913539,40.51,21.8204310709301
Burnham-on-Sea,Lytchett_Bay,salt_marsh,8,3,0.5058,0.766778,0.174518344716033,5.79,6.12874498992372
Burnham-on-Sea,Arne,salt_marsh,8,3,0.5707,0.752839,0.176796019480192,9.73,10.3600388049661
Dartmoor_Scrub,Haddon_Hill,scrub,6,5,0.2843,0.804184,0.100061922969144,1.54,1.15836875899611
Dartmoor_Scrub,Dolebury_Warren,scrub,6,15,NA,NA,NA,NA,NA
Dartmoor_Scrub,Woolacombe,scrub,6,6,0.6632,0.8377,0,24,0
Dartmoor_Scrub,Lytchett_Bay,scrub,6,10,NA,NA,NA,NA,NA
Dartmoor_Scrub,Woodland_Hill,scrub,6,5,0.6095,0.823886,0.0829361188024868,15.44,9.56774885653978
Dartmoor_Scrub,Oxwich_Bay,scrub,6,20,NA,NA,NA,NA,NA
Dartmoor_Scrub,Hangman_Hill,scrub,6,6,0.6538,0.8377,0,22,0
Dunkery_Hill,Haddon_Hill,heathland,6,5,0.6244,0.868791,0.029270563332088,28.46,2.91086435842196
Dunkery_Hill,Woodland_Hill,heathland,6,2,0.9131,0.814685,0.156442395488118,44.03,21.3079655044632
Dunkery_Hill,Arne,heathland,6,3,0.6681,0.851135,0.0882323852852869,22.36,6.02104054901886
Dunkery_Hill,Hangman_Hill,heathland,6,4,0.3524,0.857016,0.0468673557430269,8.12,1.24137427918018
Dunkery_Hill,Bystock,heathland,6,4,0.8673,0.854442,0.0492700314182932,86.97,22.0506556397177
Forest_of_Dean,Haddon_Hill,woodland,16,5,0.4238,0.580515,0.275147276770353,10.39,8.61979750869526
Forest_of_Dean,Dolebury_Warren,woodland,16,6,0.5031,0.58482,0.244968874543174,14.68,10.9838081012024
Forest_of_Dean,Bystock,woodland,16,10,0.7076,0.657985,0.237953873118979,18.33,16.6963705001652
Forest_of_Dean,Lytchett_Bay,woodland,16,1,0.5923,0.578564,0.231756802835658,3.22,2.14890152817149
Forest_of_Dean,Woodland_Hill,woodland,16,5,0.5646,0.541087,0.267820629200315,12.51,8.48944085677061
Forest_of_Dean,Arne,woodland,16,1,1,0.532449,0.23421250710378,9.48,22.7695880817845
Hells_Mouth,Haddon_Hill,scrub,19,5,0.2843,0.652167,0.171115309373592,5.4,3.54480698567024
Hells_Mouth,Dolebury_Warren,scrub,19,15,0.6165,0.762691,0.0738516258822685,52.02,19.6180601188875
Hells_Mouth,Woolacombe,scrub,19,6,0.6632,0.70035,0.145250672558814,34.08,15.0034878099943
Hells_Mouth,Lytchett_Bay,scrub,19,10,0.6269,0.735246,0.108325411756998,42,19.9514562390971
Hells_Mouth,Woodland_Hill,scrub,19,5,0.6095,0.669831,0.193307053435928,21.48,12.0482866882064
