Site,Type,Plant_Species,FU_Open
Arne,tri,Anthriscus_sylvestris,0
Arne,tri,Armeria_maritima,0
Arne,tri,Aster_tripolium,0
Arne,tri,Betula_pendula,0
Arne,tri,Calluna_vulgaris,54530
Arne,tri,Castanea_sativa,0
Arne,tri,Cochlearia_anglica,0
Arne,tri,Cochlearia_officinalis,6
Arne,tri,Cuscuta_epithymum,0
Arne,tri,Digitalis_purpurea,0
Arne,tri,Dryopteris_sp.,0
Arne,tri,Erica_cinerea,511
Arne,tri,Erica_tetralix,0
Arne,tri,Fraxinus_excelsior,0
Arne,tri,Galium_saxatile,41
Arne,tri,Glaux_maritima,0
Arne,tri,Grass,0
Arne,tri,Halimione_portulacoides,0
Arne,tri,Hedera_helix,0
Arne,tri,Ilex_aquifolium,0
Arne,tri,Limonium_vulgare,0
Arne,tri,Lonicera_periclymenum,0
Arne,tri,Pinus_nigra,0
Arne,tri,Plantago_maritima,0
Arne,tri,Potentilla_erecta,0
Arne,tri,Quercus_petraea,0
Arne,tri,Rubus_fruiticosus,0
Arne,tri,Rumex_acetosa,45
Arne,tri,Rumex_acetosella,4
Arne,tri,Rush,0
Arne,tri,Salicornia_europaea,0
Arne,tri,Salicornia_perennis,0
Arne,tri,Sarcocornia_perennis,0
Arne,tri,Sedge,0
Arne,tri,Sorbus_aucuparia,0
Arne,tri,Spartina_anglica,1
Arne,tri,Spergularia_media,24
Arne,tri,Suaeda_maritima,0
Arne,tri,Teucrium_scorodonia,0
Arne,tri,Triglochin_maritima,0
Arne,tri,Ulex_europaeus,10
Arne,tri,Urtica_dioica,0
Arne,tri,Viola_canina,0
Bodmin.Moor,di,Acer_pseudoplatanus,0
Bodmin.Moor,di,Aethusa_cynapium,0
Bodmin.Moor,di,Ajuga_reptans,0
Bodmin.Moor,di,Anemone_nemorosa,8
Bodmin.Moor,di,Bare_ground_only,0
Bodmin.Moor,di,Betula_pendula,0
Bodmin.Moor,di,Cirsium_palustre,0
Bodmin.Moor,di,Corylus_avellana,0
Bodmin.Moor,di,Crataegus_monogyna,0
Bodmin.Moor,di,Dryopteris_sp.,0
Bodmin.Moor,di,Euphrasia_nemorosa,4
Bodmin.Moor,di,Fagus_sylvatica,0
Bodmin.Moor,di,Fragaria_vesca,0
Bodmin.Moor,di,Fraxinus_excelsior,0
Bodmin.Moor,di,Galium_mollugo,0
Bodmin.Moor,di,Galium_sp,0
Bodmin.Moor,di,Grass,0
Bodmin.Moor,di,Hedera_helix,0
Bodmin.Moor,di,Hyacinthoides_non-scripta,2
Bodmin.Moor,di,Ilex_aquifolium,7
Bodmin.Moor,di,Lonicera_periclymenum,0
Bodmin.Moor,di,Luzula_campestris,2
Bodmin.Moor,di,Melampyrum_pratense,0
Bodmin.Moor,di,Oxalis_acetosella,1
Bodmin.Moor,di,Polygala_serpyllifolia,29
Bodmin.Moor,di,Potentilla_erecta,140
Bodmin.Moor,di,Quercus_robur,0
Bodmin.Moor,di,Rubus_fruiticosus,0
Bodmin.Moor,di,Rubus_fruticosus,0
Bodmin.Moor,di,Rumex_acetosella,0
Bodmin.Moor,di,Sedge,0
Bodmin.Moor,di,Sorbus_aucuparia,0
Bodmin.Moor,di,Stellaria_holostea,0
Bodmin.Moor,di,Teucrium_scorodonia,0
Bodmin.Moor,di,Ulex_europaeus,0
Bodmin.Moor,di,Umbilicus_rupestris,0
Bodmin.Moor,di,Unidentified_D,0
Bodmin.Moor,di,Vaccinium_myrtillus,0
Bodmin.Moor,di,Veronica_chamaedrys,0
Bodmin.Moor,di,Veronica_officinalis,0
Bodmin.Moor,di,Viola_reichenbachiana,4
Bodmin.Moor,di,Viola_riviniana,0
Braunton.Burrows,di,Achillea_millefolium,3
Braunton.Burrows,di,Agrimonia_eupatoria,1
Braunton.Burrows,di,Ammophila_sp.,0
Braunton.Burrows,di,Anacamptis_pyramidalis,219
Braunton.Burrows,di,Bellis_perennis,0
Braunton.Burrows,di,Centaurea_nigra,0
Braunton.Burrows,di,Centaurium_erythraea,1
Braunton.Burrows,di,Cerastium_fontanum,70
Braunton.Burrows,di,Crataegus_monogyna,0
Braunton.Burrows,di,Crepis_capillaris,13
Braunton.Burrows,di,Crepis_vesicaria,67
Braunton.Burrows,di,Dactylorhiza_praetermissa,0
Braunton.Burrows,di,Daucus_carota,31
Braunton.Burrows,di,Digitalis_purpurea,0
Braunton.Burrows,di,Echium_vulgare,192
Braunton.Burrows,di,Epipactis_palustris,0
Braunton.Burrows,di,Erodium_cicutarium,7
Braunton.Burrows,di,Euphorbia_portlandica,11
Braunton.Burrows,di,Euphrasia_nemorosa,1861
Braunton.Burrows,di,Filipendula_ulmaria,0
Braunton.Burrows,di,Fragaria_vesca,0
Braunton.Burrows,di,Galeopsis_angustifolia,142
Braunton.Burrows,di,Galium_verum,36007
Braunton.Burrows,di,Geranium_columbinum,1
Braunton.Burrows,di,Geranium_molle,0
Braunton.Burrows,di,Grass,0
Braunton.Burrows,di,Hippurus_vulgaris,0
Braunton.Burrows,di,Hypericum_perforatum,0
Braunton.Burrows,di,Hypochaeris_radicata,20
Braunton.Burrows,di,Iris_foetidissima,0
Braunton.Burrows,di,Lamium_purpureum,0
Braunton.Burrows,di,Leontodon_hispidus,2
Braunton.Burrows,di,Leontodon_saxatilis,3
Braunton.Burrows,di,Limonium_vulgare,6
Braunton.Burrows,di,Linum_catharticum,5
Braunton.Burrows,di,Lotus_corniculatus,12
Braunton.Burrows,di,Lotus_subbiflorus,2
Braunton.Burrows,di,Luzula_campestris,34
Braunton.Burrows,di,Lythrum_salicaria,0
Braunton.Burrows,di,Medicago_lupulina,8
Braunton.Burrows,di,Melilotus_officinalis,1638
Braunton.Burrows,di,Mentha_aquatica,0
Braunton.Burrows,di,Myosotis_ramosissima,1
Braunton.Burrows,di,Oenothera_glasiovana,0
Braunton.Burrows,di,Oenothera_glazioviana,2
Braunton.Burrows,di,Ononis_repens,4085
Braunton.Burrows,di,Otanthus_maritimus,0
Braunton.Burrows,di,Pilosella_officinarum,0
Braunton.Burrows,di,Plantago_lanceolata,6
Braunton.Burrows,di,Polygala_serpyllifolia,0
Braunton.Burrows,di,Potentilla_anserina,0
Braunton.Burrows,di,Potentilla_reptans,3
Braunton.Burrows,di,Primula_vulgaris,0
Braunton.Burrows,di,Prunella_vulgaris,0
Braunton.Burrows,di,Ranunculus_acris,0
Braunton.Burrows,di,Ranunculus_bulbosus,0
Braunton.Burrows,di,Ranunculus_repens,0
Braunton.Burrows,di,Rhinanthus_minor,48
Braunton.Burrows,di,Rubus_fruiticosus,10
Braunton.Burrows,di,Rubus_fruticosus,0
Braunton.Burrows,di,Rumex_acetosa,0
Braunton.Burrows,di,Rumex_acetosella,0
Braunton.Burrows,di,Salix_caprea,0
Braunton.Burrows,di,Salix_repens,0
Braunton.Burrows,di,Sanguisorba_minor,18
Braunton.Burrows,di,Sedge,0
Braunton.Burrows,di,Sedum_acre,0
Braunton.Burrows,di,Senecio_crassifolius,0
Braunton.Burrows,di,Senecio_jacobaea,67
Braunton.Burrows,di,Solidago_virgaurea,6
Braunton.Burrows,di,Stellaria_graminea,6
Braunton.Burrows,di,Taraxacum_agg.,2
Braunton.Burrows,di,Teucrium_scorodonia,0
Braunton.Burrows,di,Thymus_polytrichus,287
Braunton.Burrows,di,Trifolium_arvense,4
Braunton.Burrows,di,Trifolium_pratense,3
Braunton.Burrows,di,Trifolium_repens,20
Braunton.Burrows,di,Veronica_chamaedrys,0
Braunton.Burrows,di,Veronica_filiformis,1
Braunton.Burrows,di,Veronica_persica,0
Braunton.Burrows,di,Vicia_cracca,0
Braunton.Burrows,di,Vicia_sativa,0
Braunton.Burrows,di,Viola_canina,1
Braunton.Burrows,di,Viola_tricolor,0
Burnham.on.Sea,mon,Armeria_maritima,0
Burnham.on.Sea,mon,Aster_tripolium,0
Burnham.on.Sea,mon,Atriplex_hastata,0
Burnham.on.Sea,mon,Beta_vulgaris,0
Burnham.on.Sea,mon,Cochlearia_anglica,20
Burnham.on.Sea,mon,Cochlearia_officinalis,1
Burnham.on.Sea,mon,Glaux_maritima,0
Burnham.on.Sea,mon,Grass,0
Burnham.on.Sea,mon,Halimione_portulacoides,0
Burnham.on.Sea,mon,Limonium_vulgare,0
Burnham.on.Sea,mon,Plantago_maritima,5
Burnham.on.Sea,mon,Salicornia_perennis,0
Burnham.on.Sea,mon,Sarcocornia_perennis,0
Burnham.on.Sea,mon,Spartina_anglica,24
Burnham.on.Sea,mon,Spergularia_media,4
Burnham.on.Sea,mon,Triglochin_anglicum,0
Burnham.on.Sea,mon,Triglochin_maritima,1
Bystock,tri,Acer_pseudoplatanus,0
Bystock,tri,Achillea_millefolium,0
Bystock,tri,Ajuga_reptans,0
Bystock,tri,Arum_maculatum,0
Bystock,tri,Betula_pendula,0
Bystock,tri,Calluna_vulgaris,15
Bystock,tri,Centaurium_erythraea,0
Bystock,tri,Centaurium_pulchellum,0
Bystock,tri,Cerastium_fontanum,2
Bystock,tri,Circaea_lutetiana,0
Bystock,tri,Cirsium_vulgare,0
Bystock,tri,Corylus_avellana,0
Bystock,tri,Crataegus_monogyna,0
Bystock,tri,Crepis_capillaris,0
Bystock,tri,Crepis_vesicaria,5
Bystock,tri,Dactylorhiza_fuchsii,0
Bystock,tri,Dryopteris_sp.,0
Bystock,tri,Erica_cinerea,15363
Bystock,tri,Erica_tetralix,105
Bystock,tri,Eupatorium_cannabinum,0
Bystock,tri,Euphrasia_nemorosa,55
Bystock,tri,Fagus_sylvatica,0
Bystock,tri,Fragaria_vesca,0
Bystock,tri,Fraxinus_excelsior,0
Bystock,tri,Galium_mollugo,0
Bystock,tri,Grass,0
Bystock,tri,Hedera_helix,0
Bystock,tri,Hyacinthoides_non-scripta,0
Bystock,tri,Hypericum_pulchrum,0
Bystock,tri,Hypochaeris_radicata,0
Bystock,tri,Ilex_aquifolium,0
Bystock,tri,Iris_sp.,0
Bystock,tri,Leontodon_hispidus,0
Bystock,tri,Lonicera_periclymenum,0
Bystock,tri,Lotus_corniculatus,42
Bystock,tri,Lotus_pedunculatus,23
Bystock,tri,Lotus_subbiflorus,0
Bystock,tri,Mercurialis_perennis,61
Bystock,tri,Pinus_sylvestris,0
Bystock,tri,Plantago_lanceolata,2
Bystock,tri,Polygala_calcarea,0
Bystock,tri,Polygala_serpyllifolia,16
Bystock,tri,Polygala_vulgaris,5
Bystock,tri,Potentilla_erecta,0
Bystock,tri,Potentilla_reptans,0
Bystock,tri,Prunella_vulgaris,10
Bystock,tri,Prunus_laurocerasus,0
Bystock,tri,Quercus_cerris,0
Bystock,tri,Quercus_robur,0
Bystock,tri,Ranunculus_acris,3
Bystock,tri,Ranunculus_bulbosus,0
Bystock,tri,Ranunculus_repens,3
Bystock,tri,Rubus_fruiticosus,2
Bystock,tri,Rubus_fruticosus,2
Bystock,tri,Rumex_acetosa,0
Bystock,tri,Rumex_acetosella,177
Bystock,tri,Rush,0
Bystock,tri,Salix_repens,0
Bystock,tri,Taraxacum_agg.,0
Bystock,tri,Teucrium_scorodonia,0
Bystock,tri,Trifolium_pratense,0
Bystock,tri,Trifolium_repens,2
Bystock,tri,Ulex_europaeus,7
Bystock,tri,Veronica_chamaedrys,17
Bystock,tri,Veronica_montana,33
Bystock,tri,Veronica_officinalis,5
Bystock,tri,Vicia_sativa,0
Bystock,tri,Viola_riviniana,0
Chagford.Common,di,Calluna_vulgaris,28858
Chagford.Common,di,Cirsium_palustre,0
Chagford.Common,di,Convolvulus_sp.,0
Chagford.Common,di,Drosera_rotundifolia,0
Chagford.Common,di,Erica_cinerea,0
Chagford.Common,di,Erica_tetralix,33
Chagford.Common,di,Eriophorum angustifolium,0
Chagford.Common,di,Galium_mollugo,0
Chagford.Common,di,Galium_saxatile,26651
Chagford.Common,di,Grass,0
Chagford.Common,di,Hedera_helix,0
Chagford.Common,di,Hypericum_elodes,0
Chagford.Common,di,Narthecium_ossifragum,0
Chagford.Common,di,Pedicularis_palustris,0
Chagford.Common,di,Polygala_serpyllifolia,4
Chagford.Common,di,Potentilla_erecta,50
Chagford.Common,di,Rush,0
Chagford.Common,di,Sedge,0
Chagford.Common,di,Solidago_virgaurea,0
Chagford.Common,di,Sorbus_aucuparia,0
Chagford.Common,di,Ulex_europaeus,114
Chagford.Common,di,Vaccinium_myrtillus,79
Chagford.Common,di,Viola_canina,0
Chagford.Common,di,Viola_palustris,0
Cloud.Hill,di,Calluna_vulgaris,91
Cloud.Hill,di,Cardamine_flexuosa,8
Cloud.Hill,di,Carex_nigra,0
Cloud.Hill,di,Corylus_avellana,0
Cloud.Hill,di,Dactylorhiza_fuchsii,0
Cloud.Hill,di,Dryopteris_sp.,0
Cloud.Hill,di,Erica_cinerea,2122
Cloud.Hill,di,Erica_tetralix,0
Cloud.Hill,di,Galium_mollugo,0
Cloud.Hill,di,Grass,0
Cloud.Hill,di,Ilex_aquifolium,0
Cloud.Hill,di,Melampyrum_pratense,78
Cloud.Hill,di,Oxalis_acetosella,0
Cloud.Hill,di,Potentilla_erecta,44
Cloud.Hill,di,Quercus_petraea,0
Cloud.Hill,di,Quercus_robur,0
Cloud.Hill,di,Rhododendron_ponticum,0
Cloud.Hill,di,Rubus_fruiticosus,0
Cloud.Hill,di,Rubus_fruticosus,0
Cloud.Hill,di,Rumex_acetosa,0
Cloud.Hill,di,Sorbus_aucuparia,0
Cloud.Hill,di,Stellaria_sp.,0
Cloud.Hill,di,Ulex_europaeus,0
Cloud.Hill,di,Vaccinium_myrtillus,0
Dartmoor,mon,Betula_pendula,0
Dartmoor,mon,Calluna_vulgaris,48864
Dartmoor,mon,Cuscuta_epithymum,97
Dartmoor,mon,Dryopteris_sp.,0
Dartmoor,mon,Erica,0
Dartmoor,mon,Erica_cinerea,10826
Dartmoor,mon,Erica_tetralix,48
Dartmoor,mon,Euphrasia_nemorosa,6
Dartmoor,mon,Galium_saxatile,0
Dartmoor,mon,Grass,0
Dartmoor,mon,Ilex_aquifolium,0
Dartmoor,mon,Leontodon_hispidus,0
Dartmoor,mon,Polygala_serpyllifolia,17
Dartmoor,mon,Potentilla_erecta,16
Dartmoor,mon,Pteridium_sp.,0
Dartmoor,mon,Rubus_fruiticosus,0
Dartmoor,mon,Rubus_fruticosus,0
Dartmoor,mon,Senecio_jacobaea,0
Dartmoor,mon,Taraxacum_agg.,0
Dartmoor,mon,Ulex_europaeus,5012
Dartmoor,mon,Vaccinium_myrtillus,0
Dolebury.Warren,tri,Achillea_millefolium,0
Dolebury.Warren,tri,Ajuga_reptans,0
Dolebury.Warren,tri,Arum_maculatum,0
Dolebury.Warren,tri,Bellis_perennis,2
Dolebury.Warren,tri,Blackstonia_perfoliata,0
Dolebury.Warren,tri,Campanula_rotundifolia,1
Dolebury.Warren,tri,Centaurium_erythraea,0
Dolebury.Warren,tri,Cerastium_fontanum,2
Dolebury.Warren,tri,Circaea_lutetiana,0
Dolebury.Warren,tri,Cirsium_arvense,0
Dolebury.Warren,tri,Cirsium_eriophorum,0
Dolebury.Warren,tri,Cirsium_palustre,0
Dolebury.Warren,tri,Cirsium_vulgare,0
Dolebury.Warren,tri,Convolvulus_arvensis,0
Dolebury.Warren,tri,Crataegus_monogyna,0
Dolebury.Warren,tri,Crepis_capillaris,2
Dolebury.Warren,tri,Dryopteris_sp.,0
Dolebury.Warren,tri,Erica_cinerea,1526
Dolebury.Warren,tri,Euphrasia_nemorosa,78
Dolebury.Warren,tri,Fragaria_vesca,6
Dolebury.Warren,tri,Fraxinus_excelsior,0
Dolebury.Warren,tri,Galium_aparine,0
Dolebury.Warren,tri,Galium_verum,88
Dolebury.Warren,tri,Geranium_columbinum,0
Dolebury.Warren,tri,Geranium_robertianum,0
Dolebury.Warren,tri,Glechoma_hederacea,0
Dolebury.Warren,tri,Grass,0
Dolebury.Warren,tri,Hedera_helix,0
Dolebury.Warren,tri,Hyacinthoides_non-scripta,2
Dolebury.Warren,tri,Hypochaeris_radicata,0
Dolebury.Warren,tri,Ilex_aquifolium,0
Dolebury.Warren,tri,Lathyrus_pratensis,0
Dolebury.Warren,tri,Leontodon_hispidus,1
Dolebury.Warren,tri,Limonium_vulgare,0
Dolebury.Warren,tri,Linum_catharticum,77
Dolebury.Warren,tri,Lonicera_periclymenum,0
Dolebury.Warren,tri,Lotus_corniculatus,385
Dolebury.Warren,tri,Medicago_lupulina,0
Dolebury.Warren,tri,Melilotus_officinalis,3
Dolebury.Warren,tri,Melittis_melissophyllum,0
