Site,Habitat,Type,Code,Achillea.millefolium,Agrimonia.eupatoria,Anacamptis.pyramidalis,Anagallis.arvensis,Anemone.nemorosa,Anthyllis.vulneraria,Arais.hirsuta,Armeria.maritima,Asperula.cynanchica,Aster.tripolium,Atriplex.hastata,Bellis.perennis,Beta.vulgaris,Bunium.bulbocastanum,Calluna.vulgaris,Campanula.rotundifolia,Cardamine.flexuosa,Centaurea.nigra,Centaurium.erythraea,Cerastium.fontanum,Cirsium.arvense,Cirsium.sp,Cochlearia.anglica,Cochlearia.officinalis,Crepis.capillaris,Crepis.vesicaria,Cuscuta.epithymum,Daucus.carota,Echium.vulgare,Epilobium.montanum,Erica.cinerea,Erica.tetralix,Erodium.cicutarium,Euphorbia.amygdaloides,Euphorbia.paralias,Euphorbia.portlandica,Euphrasia.nemorosa,Euphrasia.sp,Filipendula.ulmaria,Fragaria.vesca,Frankenia.laevis,Fraxinus.excelsior,Galeopsis.angustifolia,Galium.aparine,Galium.mollugo,Galium.saxatile,Galium.verum,Geranium.columbinum,Geranium.lucidum,Geranium.molle,Geranium.robertianum,Geranium.sanguineum,Glaux.maritima,Glechoma.hederacea,Halimione.portulacoides,Helianthemum.nummularium,Hieracium.sp,Hippocrepis.comosa,Hyacinthoides.non-scripta,Hypericum.perforatum,Hypochaeris.radicata,Ilex.aquifolium,Jasione.montana,Knautia.arvensis,Lathyrus.pratensis,Leontodon.hispidus,Leontodon.saxatilis,Limonium.vulgare,Linum.catharticum,Lotus.corniculatus,Lotus.pedunculatus,Lotus.subbiflorus,Luzula.campestris,Lysimachia.nemorum,Medicago.lupulina,Melampyrum.pratense,Melilotus.officinalis,Mercurialis.perennis,Myosotis.arvensis,Myosotis.ramosissima,Oenothera.glazioviana,Ononis.repens,Oxalis.acetosella,Pedicularis.palustris,Pedicularis.sylvatica,Pilosella.officinarum,Pimpinella.saxifraga,Plantago.lanceolata,Plantago.maritima,Polygala.calcarea,Polygala.serpyllifolia,Polygala.sp,Polygala.vulgaris,Potentilla.anserina,Potentilla.erecta,Potentilla.reptans,Potentilla.sterilis,Primula.veris,Prunella.vulgaris,Prunus.spinosa,Ranunculus.acris,Ranunculus.arvensis,Ranunculus.bulbosus,Ranunculus.ficaria,Ranunculus.repens,Rhinanthus.minor,Rosa.spinosissima,Rubus.fruticosus,Rumex.acetosa,Rumex.acetosella,Salicornia.europaea,Salicornia.perennis,Sanguisorba.minor,Saxifraga.oppositifolia,Scabiosa.columbaria,Scilla.verna,Senecio.jacobaea,Silene.uniflora,Silene.vulgaris,Solanum.dulcamara,Solidago.virgaurea,Spartina.anglica,Spergularia.media,Stellaria.graminea,Stellaria.holostea,Suaeda.maritima,Succisa.pratensis,Taraxacum.agg,Teucrium.scorodonia,Thymus.polytrichus,Trifolium.arvense,Trifolium.dubium,Trifolium.pratense,Trifolium.repens,Triglochin.maritima,Ulex.europaeus,Ulex.minor,Unidentified.B,Unidentified.C,Urtica.dioica,Vaccinium.myrtillus,Valerianella.locusta,Veronica.chamaedrys,Veronica.filiformis,Veronica.montana,Veronica.officinalis,Veronica.sp,Vicia.cracca,Vicia.sativa,Viola.arvensis,Viola.canina,Viola.reichenbachiana,Viola.riviniana,Viola.tricolor
Arne,heathland,tri,Arne_heathland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne,salt.marsh,tri,Arne_salt_marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne,woodland,tri,Arne_woodland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bodmin.Moor,scrub,di,Bodmin_Moor_scrub,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Bodmin.Moor,woodland,di,Bodmin_Moor_woodland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braunton.Burrows,grassland,di,Braunton_Burrows_grassland,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,142,0,0,0,19568,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,6,0,0,5,0,8,0,1638,0,0,0,0,507,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,185,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braunton.Burrows,sand.dune,di,Braunton_Burrows_sand_dune,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,12,66,0,31,192,0,0,0,7,0,0,11,1228,0,0,0,0,0,0,0,0,0,16439,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,2,6,4,6,0,2,29,0,0,0,0,0,0,1,2,3578,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,10,0,0,0,0,18,0,0,0,67,0,0,0,6,0,0,6,0,0,0,1,0,102,4,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Burnham.on.Sea,salt.marsh,mon,Burnham-on-Sea_salt_marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bystock,grassland,tri,Bystock_grassland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,10,0,3,0,0,0,3,0,0,2,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,18,5,0,0,0,0,0,0,0,0
Bystock,heathland,tri,Bystock_heathland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15363,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
