Date	Round	Time	Name	Site	Habitat	Transect	Quadrat	Site_trans_quad	Plant_Species	FU_Bud	FU_Open	FU_Wilt	Seeds	FlowersperFU_Bud	FlowersperFU_Open	FlowersperFU_Wilt	Cross_Points	Veg_Cover	Comments	
15 May 2014	1	12:15	NED	Walborough	grassland	1	1	Walb.gra.1.1	Ranunculus_acris	3	1	1					3	2		
15 May 2014	1	12:15	NED	Walborough	grassland	1	1	Walb.gra.1.1	Vicia_sativa	1	0	0					1	1		
15 May 2014	1	12:15	NED	Walborough	grassland	1	1	Walb.gra.1.1	Grass								29	4	Holcus_lenatus	Grass
15 May 2014	1	12:15	NED	Walborough	grassland	1	1	Walb.gra.1.1	Grass								28	4		Grass
15 May 2014	1	12:15	NED	Walborough	grassland	1	2	Walb.gra.1.2	Grass								36	4	Red_stems	Grass
15 May 2014	1	12:15	NED	Walborough	grassland	1	2	Walb.gra.1.2	Grass								2	2		Grass
15 May 2014	1	12:15	NED	Walborough	grassland	1	3	Walb.gra.1.3	Grass								13	3	very_fine	Grass
15 May 2014	1	12:15	NED	Walborough	grassland	1	3	Walb.gra.1.3	Grass								26	4		Grass
15 May 2014	1	12:15	NED	Walborough	grassland	1	3	Walb.gra.1.3	Grass								0	1	Wide_leaves	Grass
15 May 2014	1	12:15	NED	Walborough	grassland	1	4	Walb.gra.1.4	Grass								36	4		Grass
15 May 2014	1	12:15	NED	Walborough	grassland	1	4	Walb.gra.1.4	Grass								6	2		Grass
15 May 2014	1	15:25	NED	Walborough	grassland	2	1	Walb.gra.2.1	Ranunculus_bulbosus	19	17	4					6	3		
15 May 2014	1	15:25	NED	Walborough	grassland	2	1	Walb.gra.2.1	Cirsium_palustre	0	0	0					3	2		
15 May 2014	1	15:25	NED	Walborough	grassland	2	1	Walb.gra.2.1	Plantago_lanceolata	2	0	0		114	0	0	4	2		
15 May 2014	1	15:25	NED	Walborough	grassland	2	1	Walb.gra.2.1	Trifolium_repens	0	0	0					19	4		
15 May 2014	1	15:25	NED	Walborough	grassland	2	1	Walb.gra.2.1	Grass								32	4	oat?	Grass
15 May 2014	1	15:25	NED	Walborough	grassland	2	1	Walb.gra.2.1	Grass								6	2		Grass
15 May 2014	1	15:25	NED	Walborough	grassland	2	2	Walb.gra.2.2	Bellis_perennis	1	2	0		112	44	0	1	1		
15 May 2014	1	15:25	NED	Walborough	grassland	2	2	Walb.gra.2.2	Ranunculus_bulbosus	7	6	2					2	2		
15 May 2014	1	15:25	NED	Walborough	grassland	2	2	Walb.gra.2.2	Plantago_lanceolata	4	0	0		124	0	0	2	2		
15 May 2014	1	15:25	NED	Walborough	grassland	2	2	Walb.gra.2.2	Trifolium_repens	0	0	0					16	4		
15 May 2014	1	15:25	NED	Walborough	grassland	2	2	Walb.gra.2.2	Grass								36	4		Grass
15 May 2014	1	15:25	NED	Walborough	grassland	2	2	Walb.gra.2.2	Rumex_obtusifolius	0	0	0					0	1		
15 May 2014	1	15:25	NED	Walborough	grassland	2	2	Walb.gra.2.2	Ranunculus_repens	0	0	0					3	2		
15 May 2014	1	15:25	NED	Walborough	grassland	2	3	Walb.gra.2.3	Bellis_perennis	4	4	2		0	128	0	4	2		
15 May 2014	1	15:25	NED	Walborough	grassland	2	3	Walb.gra.2.3	Trifolium_repens	0	0	0					24	4		
15 May 2014	1	15:25	NED	Walborough	grassland	2	3	Walb.gra.2.3	Taraxacum_agg.	0	1	0		58	48	0	1	1		
15 May 2014	1	15:25	NED	Walborough	grassland	2	3	Walb.gra.2.3	Ranunculus_bulbosus	8	16	5					10	3		
15 May 2014	1	15:25	NED	Walborough	grassland	2	3	Walb.gra.2.3	Ranunculus_repens	0	0	0					6	2		
15 May 2014	1	15:25	NED	Walborough	grassland	2	3	Walb.gra.2.3	Plantago_lanceolata	2	0	0		116	0	0	11	3		
15 May 2014	1	15:25	NED	Walborough	grassland	2	3	Walb.gra.2.3	Grass								26	4		Grass
15 May 2014	1	15:25	NED	Walborough	grassland	2	3	Walb.gra.2.3	Grass								30	4		Grass
15 May 2014	1	15:25	NED	Walborough	grassland	2	4	Walb.gra.2.4	Ranunculus_bulbosus	3	1	0					2	2		
15 May 2014	1	15:25	NED	Walborough	grassland	2	4	Walb.gra.2.4	Plantago_lanceolata	0	0	0					1	1		
15 May 2014	1	15:25	NED	Walborough	grassland	2	4	Walb.gra.2.4	Grass								34	1		Grass
15 May 2014	1	15:25	NED	Walborough	grassland	2	4	Walb.gra.2.4	Grass								9	3		Grass
15 May 2014	1	15:25	NED	Walborough	grassland	2	4	Walb.gra.2.4	Trifolium_repens	0	0	0					7	3		
