"Site"	"Plant_Species"	"FU_Open"
"1"	"Arne"	"Anthriscus_sylvestris"	0
"2"	"Arne"	"Armeria_maritima"	0
"3"	"Arne"	"Aster_tripolium"	0
"4"	"Arne"	"Betula_pendula"	0
"5"	"Arne"	"Calluna_vulgaris"	54530
"6"	"Arne"	"Castanea_sativa"	0
"7"	"Arne"	"Cochlearia_anglica"	0
"8"	"Arne"	"Cochlearia_officinalis"	6
"9"	"Arne"	"Cuscuta_epithymum"	0
"10"	"Arne"	"Digitalis_purpurea"	0
"11"	"Arne"	"Dryopteris_sp."	0
"12"	"Arne"	"Erica_cinerea"	511
"13"	"Arne"	"Erica_tetralix"	0
"14"	"Arne"	"Fraxinus_excelsior"	0
"15"	"Arne"	"Galium_saxatile"	41
"16"	"Arne"	"Glaux_maritima"	0
"17"	"Arne"	"Grass"	0
"18"	"Arne"	"Halimione_portulacoides"	0
"19"	"Arne"	"Hedera_helix"	0
"20"	"Arne"	"Ilex_aquifolium"	0
"21"	"Arne"	"Limonium_vulgare"	0
"22"	"Arne"	"Lonicera_periclymenum"	0
"23"	"Arne"	"Pinus_nigra"	0
"24"	"Arne"	"Plantago_maritima"	0
"25"	"Arne"	"Potentilla_erecta"	0
"26"	"Arne"	"Quercus_petraea"	0
"27"	"Arne"	"Rubus_fruiticosus"	0
"28"	"Arne"	"Rumex_acetosa"	45
"29"	"Arne"	"Rumex_acetosella"	4
"30"	"Arne"	"Rush"	0
"31"	"Arne"	"Salicornia_europaea"	0
"32"	"Arne"	"Salicornia_perennis"	0
"33"	"Arne"	"Sarcocornia_perennis"	0
"34"	"Arne"	"Sedge"	0
"35"	"Arne"	"Sorbus_aucuparia"	0
"36"	"Arne"	"Spartina_anglica"	1
"37"	"Arne"	"Spergularia_media"	24
"38"	"Arne"	"Suaeda_maritima"	0
"39"	"Arne"	"Teucrium_scorodonia"	0
"40"	"Arne"	"Triglochin_maritima"	0
"41"	"Arne"	"Ulex_europaeus"	10
"42"	"Arne"	"Urtica_dioica"	0
"43"	"Arne"	"Viola_canina"	0
"44"	"Arne"	NA	0
"45"	"Bodmin_Moor"	"Acer_pseudoplatanus"	0
"46"	"Bodmin_Moor"	"Aethusa_cynapium"	0
"47"	"Bodmin_Moor"	"Ajuga_reptans"	0
"48"	"Bodmin_Moor"	"Anemone_nemorosa"	8
"49"	"Bodmin_Moor"	"Bare_ground_only"	0
"50"	"Bodmin_Moor"	"Betula_pendula"	0
"51"	"Bodmin_Moor"	"Cirsium_palustre"	0
"52"	"Bodmin_Moor"	"Corylus_avellana"	0
"53"	"Bodmin_Moor"	"Crataegus_monogyna"	0
"54"	"Bodmin_Moor"	"Dryopteris_sp."	0
"55"	"Bodmin_Moor"	"Euphrasia_nemorosa"	4
"56"	"Bodmin_Moor"	"Fagus_sylvatica"	0
"57"	"Bodmin_Moor"	"Fragaria_vesca"	0
"58"	"Bodmin_Moor"	"Fraxinus_excelsior"	0
"59"	"Bodmin_Moor"	"Galium_mollugo"	0
"60"	"Bodmin_Moor"	"Galium_sp"	0
"61"	"Bodmin_Moor"	"Grass"	0
"62"	"Bodmin_Moor"	"Hedera_helix"	0
"63"	"Bodmin_Moor"	"Hyacinthoides_non-scripta"	2
"64"	"Bodmin_Moor"	"Ilex_aquifolium"	7
"65"	"Bodmin_Moor"	"Lonicera_periclymenum"	0
"66"	"Bodmin_Moor"	"Luzula_campestris"	2
"67"	"Bodmin_Moor"	"Melampyrum_pratense"	0
"68"	"Bodmin_Moor"	"Oxalis_acetosella"	1
"69"	"Bodmin_Moor"	"Polygala_serpyllifolia"	29
"70"	"Bodmin_Moor"	"Potentilla_erecta"	140
"71"	"Bodmin_Moor"	"Quercus_robur"	0
"72"	"Bodmin_Moor"	"Rubus_fruiticosus"	0
"73"	"Bodmin_Moor"	"Rubus_fruticosus"	0
"74"	"Bodmin_Moor"	"Rumex_acetosella"	0
