""	"MDT"	""	""
"1"	"Arne"	"3"	"0.872852672845627"	"1.89838184966078"
"2"	"Bodmin_Moor"	"2"	"0.819252301702872"	"1.58055348416844"
"3"	"Braunton_Burrows"	"2"	"0.766386418280187"	"1.17321038196645"
"4"	"Burnham-on-Sea"	"1"	"0.549637028637678"	"2.14355799483787"
"5"	"Bystock"	"3"	"0.855806629476513"	"1.3494383594479"
"6"	"Chagford_Common"	"2"	"0.823130006791778"	"2.14355799483787"
"7"	"Cloud_Hill"	"2"	"0.759613291447216"	"1.81151666009437"
"8"	"Dartmoor_Scrub"	"1"	"0.619395893880754"	"2.14355799483787"
"9"	"Dolebury_Warren"	"3"	"0.732642987971502"	"1.21467291776617"
"10"	"Dunkery_Hill"	"1"	"0.855757661496573"	"2.005909362508"
"11"	"Forest_of_Dean"	"1"	"0.650638561711096"	"1.54028579512519"
"12"	"Haddon_Hill"	"3"	"0.877523053029232"	"1.89838184966078"
"13"	"Hangman_Hill"	"3"	"0.827980187331789"	"1.67860279886149"
"14"	"Haytor"	"2"	"0.89274878599608"	"2.005909362508"
"15"	"Hells_Mouth"	"1"	"0.762150241383319"	"1.504432021881"
"16"	"Leigh_Woods"	"1"	"0.681334950772686"	"1.89838184966078"
"17"	"Lytchett_Bay"	"3"	"0.844325684210245"	"1.81151666009437"
"18"	"Merthyr_Mawr"	"3"	"0.837714037628219"	"1.29584721007821"
"19"	"North_Hill"	"2"	"0.85591132394083"	"2.14355799483787"
"20"	"Oxwich_Bay"	"3"	"0.80062163884398"	"1.18285445521702"
"21"	"Pembrey"	"2"	"0.87056903208485"	"1.3494383594479"
"22"	"Penhale_Sands"	"1"	"0.750873185539851"	"1.26558789977385"
"23"	"Pewsey_Downs"	"1"	"0.825692432560944"	"1.25177528705294"
"24"	"Seet_Bridge"	"2"	"0.720000492529405"	"1.44312621580546"
"25"	"Studland"	"2"	"0.792321486415908"	"1.81151666009437"
"26"	"Walborough"	"2"	"0.767667219702808"	"1.33030743161732"
"27"	"Wheal_Coates"	"1"	"0.557152484576084"	"3.008864043762"
"28"	"Woodland_Hill"	"3"	"0.844924354560006"	"1.67860279886149"
"29"	"Woolacombe"	"3"	"0.855555849518679"	"1.22638317897482"
"30"	"Wyeswood_Common"	"1"	"0.79819622298679"	"1.21467291776617"
